,MemeID,CommentScore
0,y53072,"[0.9545454545454546, 0.045454545454545456, 0.0]"
1,y2gkdv,"[1.0, 0.0, 0.0]"
2,y00bzo,"[0.8514851485148515, 0.1485148514851485, 0.0]"
3,xywniu,"[0.9375, 0.0625, 0.0]"
4,xz6wlm,"[0.8604651162790697, 0.13953488372093023, 0.0]"
5,y4e5u4,"[1.0, 0.0, 0.0]"
6,y49c8e,"[0.8514851485148515, 0.1485148514851485, 0.0]"
7,y2560m,"[1.0, 0.0, 0.0]"
8,xyq88k,"[0.6363636363636364, 0.36363636363636365, 0.0]"
9,y4m84z,"[0.75, 0.25, 0.0]"
10,y0jjem,"[0.875, 0.125, 0.0]"
11,y535ml,"[0.625, 0.375, 0.0]"
12,y36sgd,"[0.84, 0.16, 0.0]"
13,y0zp7f,"[0.75, 0.25, 0.0]"
14,y6e1df,"[0.8333333333333334, 0.16666666666666666, 0.0]"
15,xzuxpa,"[0.95, 0.05, 0.0]"
16,xzvdak,"[0.8421052631578947, 0.15789473684210525, 0.0]"
17,y4ybuk,"[1.0, 0.0, 0.0]"
18,y1glnp,"[0.7045454545454546, 0.29545454545454547, 0.0]"
19,xzwfrt,"[1.0, 0.0, 0.0]"
20,y1nl04,"[0.8888888888888888, 0.1111111111111111, 0.0]"
21,y6b6qd,"[0.6, 0.4, 0.0]"
22,y02rgx,"[0.7777777777777778, 0.2222222222222222, 0.0]"
23,xyum7q,"[0.7142857142857143, 0.2857142857142857, 0.0]"
24,y5o7c8,"[0.875, 0.125, 0.0]"
25,y0ik6b,"[0.9166666666666666, 0.08333333333333333, 0.0]"
26,xyihrq,"[0.9166666666666666, 0.08333333333333333, 0.0]"
27,y383gh,"[1.0, 0.0, 0.0]"
28,y1nox1,"[1.0, 0.0, 0.0]"
29,xzx89u,"[0.6923076923076923, 0.3076923076923077, 0.0]"
30,y5vvx7,"[1.0, 0.0, 0.0]"
31,y4dc73,"[1.0, 0.0, 0.0]"
32,xz9p7p,"[0.9210526315789473, 0.07894736842105263, 0.0]"
33,xytd72,"[0.5555555555555556, 0.4444444444444444, 0.0]"
34,xynoeq,"[0.7142857142857143, 0.2857142857142857, 0.0]"
35,y2iasz,"[1.0, 0.0, 0.0]"
36,y4jtyj,"[0.9545454545454546, 0.045454545454545456, 0.0]"
37,y4mugl,"[0.5833333333333334, 0.4166666666666667, 0.0]"
38,y1b1ao,"[0.9090909090909091, 0.09090909090909091, 0.0]"
39,y2megj,"[1.0, 0.0, 0.0]"
40,y4okbq,"[1.0, 0.0, 0.0]"
41,xyoo34,"[0.8472222222222222, 0.1527777777777778, 0.0]"
42,xybyps,"[0.7021276595744681, 0.2978723404255319, 0.0]"
43,y3v0mk,"[0.6666666666666666, 0.3333333333333333, 0.0]"
44,y4gvz4,"[1.0, 0.0, 0.0]"
