,MemeID,CommentScore
0,ny7aqg,"[0.0, 1.0, 0.0]"
1,p33kei,"[0.0, 1.0, 0.0]"
2,pa8g4z,"[0.0, 1.0, 0.0]"
3,kmtcku,"[0.0, 1.0, 0.0]"
4,ts2b5z,"[0.0, 1.0, 0.0]"
5,p4ec32,"[0.0, 1.0, 0.0]"
6,ndj6hv,"[0.0, 1.0, 0.0]"
7,mdvpwm,"[0.0, 1.0, 0.0]"
8,ktoem4,"[0.0, 1.0, 0.0]"
9,ln6hif,"[0.0, 1.0, 0.0]"
10,sgg5tk,"[0.029411764705882353, 0.9705882352941176, 0.0]"
11,o9z9e9,"[0.0, 1.0, 0.0]"
12,xtpncx,"[0.0, 1.0, 0.0]"
13,r5srcy,"[0.0, 1.0, 0.0]"
14,wdqcsr,"[0.0, 1.0, 0.0]"
15,r2lq3s,"[0.0, 1.0, 0.0]"
16,kyjwn7,"[0.0, 1.0, 0.0]"
17,qd6yli,"[0.0, 1.0, 0.0]"
18,q57qv9,"[0.1, 0.9, 0.0]"
19,nj27r3,"[0.0, 1.0, 0.0]"
20,vjp6m6,"[0.0, 1.0, 0.0]"
21,lkliz2,"[0.0, 1.0, 0.0]"
22,mlzyub,"[0.0, 1.0, 0.0]"
23,s78l7n,"[0.0, 1.0, 0.0]"
24,mcm7rk,"[0.0, 1.0, 0.0]"
25,nzu4am,"[0.0, 1.0, 0.0]"
26,m5ktxu,"[0.0, 1.0, 0.0]"
27,v8xeas,"[0.0, 1.0, 0.0]"
28,l0amba,"[0.0, 1.0, 0.0]"
29,khz0va,"[0, 0, 0]"
30,lf6cgh,"[0.0, 1.0, 0.0]"
31,q06zsw,"[0.0, 1.0, 0.0]"
32,vdxut5,"[0.0, 1.0, 0.0]"
33,krcfa6,"[0.0, 1.0, 0.0]"
34,pqlpoz,"[0.027777777777777776, 0.9722222222222222, 0.0]"
35,lbepaf,"[0.0, 1.0, 0.0]"
36,sp4eyd,"[0.0, 1.0, 0.0]"
37,sla7j6,"[0.06666666666666667, 0.9333333333333333, 0.0]"
38,nnbwhi,"[0.0, 1.0, 0.0]"
39,x99a3m,"[0.0, 1.0, 0.0]"
40,mux2dp,"[0.0, 1.0, 0.0]"
41,moka8v,"[0.0, 1.0, 0.0]"
42,mdficb,"[0.0, 1.0, 0.0]"
43,rpzcbv,"[0.0, 1.0, 0.0]"
44,pantyz,"[0.0, 1.0, 0.0]"
45,oax3u8,"[0.0, 1.0, 0.0]"
46,y29cj5,"[0.0, 1.0, 0.0]"
47,mrgh2g,"[0.0, 1.0, 0.0]"
48,lvglh1,"[0.012987012987012988, 0.987012987012987, 0.0]"
49,q9rnck,"[0.0, 1.0, 0.0]"
50,s1wu88,"[0.0, 1.0, 0.0]"
51,momec6,"[0.0, 1.0, 0.0]"
52,pb6ubz,"[0.0, 1.0, 0.0]"
53,kleuf5,"[0.0, 1.0, 0.0]"
54,luix7d,"[0.0, 1.0, 0.0]"
55,koc60a,"[0.0, 1.0, 0.0]"
56,koncvf,"[0.0, 1.0, 0.0]"
57,v74o5i,"[0.0, 1.0, 0.0]"
58,sk3m3o,"[0.0, 1.0, 0.0]"
59,mbx5rl,"[0.0, 1.0, 0.0]"
60,txudnw,"[0.0, 1.0, 0.0]"
61,xkl2f6,"[0.0, 1.0, 0.0]"
62,qfy464,"[0.0, 1.0, 0.0]"
63,kvoqwb,"[0.0, 1.0, 0.0]"
64,ojken0,"[0.0, 1.0, 0.0]"
65,qjexge,"[0.0, 1.0, 0.0]"
66,onowp4,"[0.017241379310344827, 0.9827586206896551, 0.0]"
67,rj30ag,"[0.0, 1.0, 0.0]"
68,vayj1o,"[0.0, 1.0, 0.0]"
69,kvhzbn,"[0.0, 1.0, 0.0]"
70,nm3l34,"[0.0, 1.0, 0.0]"
71,laz4r5,"[0.0, 1.0, 0.0]"
72,n6nq92,"[0.0, 1.0, 0.0]"
73,sl2bz7,"[0.0, 1.0, 0.0]"
74,lk03pv,"[0.0, 1.0, 0.0]"
75,muvlpm,"[0, 0, 0]"
76,t339jm,"[0.0, 1.0, 0.0]"
77,l3vyfi,"[0.0, 1.0, 0.0]"
78,mb2saf,"[0.0, 1.0, 0.0]"
79,v0rnt6,"[0.0, 1.0, 0.0]"
80,phzzxc,"[0.0, 1.0, 0.0]"
81,vtrjyk,"[0.043478260869565216, 0.9565217391304348, 0.0]"
82,vrhdah,"[0.0, 1.0, 0.0]"
83,kj8v62,"[0.0, 1.0, 0.0]"
84,lskvh1,"[0.0, 1.0, 0.0]"
85,xfsh7i,"[0.0, 1.0, 0.0]"
86,kmhwx0,"[0.0, 1.0, 0.0]"
87,r51euk,"[0.0, 1.0, 0.0]"
88,kw3xou,"[0, 0, 0]"
89,oyvhet,"[0.0, 1.0, 0.0]"
90,mz4csi,"[0.0, 1.0, 0.0]"
91,vvifo7,"[0.0, 1.0, 0.0]"
92,ovzqk1,"[0.0, 1.0, 0.0]"
93,kp37nj,"[0.0, 1.0, 0.0]"
94,w5s538,"[0.0, 1.0, 0.0]"
95,q3hff0,"[0.0, 1.0, 0.0]"
96,x0dc4l,"[0.0, 1.0, 0.0]"
97,v81j27,"[0.0, 1.0, 0.0]"
98,nk919v,"[0.0, 1.0, 0.0]"
99,xp8f8u,"[0.0, 1.0, 0.0]"
100,ua5imr,"[0.0, 1.0, 0.0]"
101,sdmdua,"[0.0, 1.0, 0.0]"
102,tqawtn,"[0.0, 1.0, 0.0]"
103,wgiopp,"[0.0, 1.0, 0.0]"
104,ryoeet,"[0.0, 1.0, 0.0]"
105,phy2qn,"[0.0, 1.0, 0.0]"
106,jxvu3y,"[0.0, 1.0, 0.0]"
107,wzdt4q,"[0.05263157894736842, 0.9473684210526315, 0.0]"
108,ren0hg,"[0.0, 1.0, 0.0]"
109,l2u7ok,"[0.0, 1.0, 0.0]"
110,pqkepw,"[0.0, 1.0, 0.0]"
111,mgcrj0,"[0.0, 1.0, 0.0]"
112,q4jv9t,"[0.0, 1.0, 0.0]"
113,wlx0e0,"[0.0, 1.0, 0.0]"
114,oltvmo,"[0.0, 1.0, 0.0]"
115,tuvdjp,"[0.0, 1.0, 0.0]"
116,m4kpd4,"[0.0, 1.0, 0.0]"
117,rsitfh,"[0.0, 1.0, 0.0]"
118,o4duul,"[0.0, 1.0, 0.0]"
119,op8ptu,"[0.0, 1.0, 0.0]"
120,qjc3n7,"[0.0, 1.0, 0.0]"
121,khb49m,"[0.0, 1.0, 0.0]"
122,qef02x,"[0.0, 1.0, 0.0]"
123,lzmoya,"[0.0, 1.0, 0.0]"
124,sjnmtn,"[0.0, 1.0, 0.0]"
125,nvhxiz,"[0.0, 1.0, 0.0]"
126,o2w96v,"[0.0, 1.0, 0.0]"
127,mc1lto,"[0.0, 1.0, 0.0]"
128,kqct1p,"[0.0, 1.0, 0.0]"
129,lcnayg,"[0.0, 1.0, 0.0]"
130,ktr955,"[0.0, 1.0, 0.0]"
131,ky1m8e,"[0.0, 1.0, 0.0]"
132,kw3akk,"[0.0, 1.0, 0.0]"
133,o0ktjo,"[0.0, 1.0, 0.0]"
134,kg5bva,"[0.0, 1.0, 0.0]"
135,l8521j,"[0.0, 1.0, 0.0]"
136,n1w6p5,"[0.0, 1.0, 0.0]"
