,MemeID,CommentScore
0,xsjbd6,"[0.0, 1.0, 0.0]"
1,xwnvoq,"[0.0, 1.0, 0.0]"
2,y1zmkc,"[0.0594059405940594, 0.9405940594059405, 0.0]"
3,xvuai1,"[0.02631578947368421, 0.9736842105263158, 0.0]"
4,xrzh7f,"[0.0, 1.0, 0.0]"
5,xajs30,"[0.0, 1.0, 0.0]"
6,xd1tyg,"[0.0, 1.0, 0.0]"
7,xuumqu,"[0.011627906976744186, 0.9883720930232558, 0.0]"
8,x85ur3,"[0.0625, 0.9375, 0.0]"
9,xf16lr,"[0.0625, 0.9375, 0.0]"
10,xcflxn,"[0.0297029702970297, 0.9702970297029703, 0.0]"
11,xd94n0,"[0.0, 1.0, 0.0]"
12,xqdpv3,"[0.0, 1.0, 0.0]"
13,y5me5v,"[0.017241379310344827, 0.9827586206896551, 0.0]"
14,xfxjli,"[0.01818181818181818, 0.9818181818181818, 0.0]"
15,xuzj73,"[0.04950495049504951, 0.9504950495049505, 0.0]"
16,xx71r9,"[0.058823529411764705, 0.9411764705882353, 0.0]"
17,xa1vgl,"[0.019801980198019802, 0.9801980198019802, 0.0]"
18,y40b05,"[0.0, 1.0, 0.0]"
19,xbn7ye,"[0.0, 1.0, 0.0]"
20,xtjyg8,"[0.0, 1.0, 0.0]"
21,xw2r4w,"[0.0, 1.0, 0.0]"
22,y281ia,"[0.0, 1.0, 0.0]"
23,xaaw4e,"[0.109375, 0.890625, 0.0]"
24,x83azu,"[0.039603960396039604, 0.9603960396039604, 0.0]"
25,xpnw9y,"[0.0, 1.0, 0.0]"
26,x8qmo8,"[0.0, 1.0, 0.0]"
27,xqybui,"[0.0, 1.0, 0.0]"
28,y6f8rc,"[0.0, 1.0, 0.0]"
29,x7js0z,"[0.0, 1.0, 0.0]"
30,x6ikyo,"[0.0, 1.0, 0.0]"
31,y5mx56,"[0.0, 1.0, 0.0]"
32,xg6ppd,"[0.0, 1.0, 0.0]"
33,y46qyf,"[0.03225806451612903, 0.967741935483871, 0.0]"
34,xqa5li,"[0.0, 1.0, 0.0]"
35,xboqzb,"[0.0, 1.0, 0.0]"
36,x88wyz,"[0.0, 1.0, 0.0]"
37,xi6e2y,"[0.0, 1.0, 0.0]"
38,xcfi6o,"[0.0, 1.0, 0.0]"
39,xtbo3o,"[0.2222222222222222, 0.7777777777777778, 0.0]"
40,xm0jal,"[0.0, 1.0, 0.0]"
41,xdn1u8,"[0.019801980198019802, 0.9801980198019802, 0.0]"
42,y1loue,"[0.08333333333333333, 0.9166666666666666, 0.0]"
43,xomtnu,"[0.0, 1.0, 0.0]"
44,xas6rr,"[0.0, 1.0, 0.0]"
45,xgqym2,"[0.0, 1.0, 0.0]"
46,xbxu8f,"[0.0, 1.0, 0.0]"
47,xte97q,"[0.0, 1.0, 0.0]"
48,xmlgit,"[0.0, 1.0, 0.0]"
49,x7owle,"[0.0, 1.0, 0.0]"
50,xydzbo,"[0.0, 1.0, 0.0]"
51,y0pxr6,"[0.06666666666666667, 0.9333333333333333, 0.0]"
52,xo9aup,"[0.0, 1.0, 0.0]"
53,xx6zfa,"[0.0, 1.0, 0.0]"
54,xlp893,"[0.06493506493506493, 0.935064935064935, 0.0]"
55,xuqkgt,"[0.1, 0.9, 0.0]"
56,xt5mn3,"[0.06, 0.94, 0.0]"
57,xg93v0,"[0.02, 0.98, 0.0]"
58,xp7u3e,"[0.0, 1.0, 0.0]"
59,y0n2ln,"[0.0, 1.0, 0.0]"
60,xqu5eh,"[0.0, 1.0, 0.0]"
61,y5211r,"[0.0297029702970297, 0.9702970297029703, 0.0]"
62,y1svgr,"[0.09090909090909091, 0.9090909090909091, 0.0]"
63,xg6hud,"[0.019801980198019802, 0.9801980198019802, 0.0]"
64,xgnzso,"[0.0, 1.0, 0.0]"
65,xjq3dc,"[0.0, 1.0, 0.0]"
66,y50uen,"[0.0, 1.0, 0.0]"
67,x9ffdh,"[0.014925373134328358, 0.9850746268656716, 0.0]"
68,xpv9wj,"[0.046875, 0.953125, 0.0]"
69,xvfkc6,"[0.0, 1.0, 0.0]"
70,y3l1wm,"[0.0, 1.0, 0.0]"
71,xkk2mv,"[0.019801980198019802, 0.9801980198019802, 0.0]"
72,xbwt9q,"[0.02564102564102564, 0.9743589743589743, 0.0]"
73,xvhrhn,"[0.0, 1.0, 0.0]"
74,xl38qm,"[0.0, 1.0, 0.0]"
75,xzoald,"[0.0, 1.0, 0.0]"
76,xjysho,"[0.011627906976744186, 0.9883720930232558, 0.0]"
77,xdb3hp,"[0.0, 1.0, 0.0]"
78,xg60wv,"[0.0297029702970297, 0.9702970297029703, 0.0]"
79,xzopqq,"[0.14285714285714285, 0.8571428571428571, 0.0]"
80,y5zucw,"[0.12, 0.88, 0.0]"
81,xx8y4v,"[0.0, 1.0, 0.0]"
82,xtpauf,"[0.0, 1.0, 0.0]"
83,y468aq,"[0.0, 1.0, 0.0]"
84,xxp53x,"[0.058823529411764705, 0.9411764705882353, 0.0]"
85,xlcccc,"[0.03125, 0.96875, 0.0]"
86,y05wm4,"[0.0, 1.0, 0.0]"
87,xwaxoc,"[0.0425531914893617, 0.9574468085106383, 0.0]"
88,xkhqkv,"[0.0, 1.0, 0.0]"
89,xv0jp6,"[0.0, 1.0, 0.0]"
90,y3yrls,"[0.0125, 0.9875, 0.0]"
91,xgxm5t,"[0.0, 1.0, 0.0]"
92,xz9gr5,"[0.0, 1.0, 0.0]"
93,xtre7n,"[0.025, 0.975, 0.0]"
94,xmcwv7,"[0.0, 1.0, 0.0]"
95,xyq3u1,"[0.0, 1.0, 0.0]"
96,xq57o0,"[0.0, 1.0, 0.0]"
97,xyc276,"[0.0, 1.0, 0.0]"
98,y215ge,"[0.03225806451612903, 0.967741935483871, 0.0]"
99,x9mfmb,"[0.0, 1.0, 0.0]"
100,x83k8q,"[0.0, 1.0, 0.0]"
101,xnycbt,"[0.07142857142857142, 0.9285714285714286, 0.0]"
102,xl7gzn,"[0.0, 1.0, 0.0]"
103,xam1tm,"[0.21951219512195122, 0.7804878048780488, 0.0]"
104,x9ktt8,"[0.0, 1.0, 0.0]"
105,xmq0fh,"[0.0, 1.0, 0.0]"
106,xycl7j,"[0.0, 1.0, 0.0]"
107,xu5vlo,"[0.0, 1.0, 0.0]"
108,y28azv,"[0.019801980198019802, 0.9801980198019802, 0.0]"
109,xs84dm,"[0.0, 1.0, 0.0]"
110,xs4ghz,"[0.0, 1.0, 0.0]"
111,x6flu5,"[0.0297029702970297, 0.9702970297029703, 0.0]"
112,xppera,"[0.0, 1.0, 0.0]"
113,xz888b,"[0.0, 1.0, 0.0]"
114,y0u1sl,"[0.0, 1.0, 0.0]"
115,xbq7ng,"[0.13333333333333333, 0.8666666666666667, 0.0]"
116,xdb0wg,"[0.0, 1.0, 0.0]"
117,y32apf,"[0.0, 1.0, 0.0]"
118,xgw7mx,"[0.0, 1.0, 0.0]"
119,xn97ve,"[0.0, 1.0, 0.0]"
120,xmsv25,"[0.02857142857142857, 0.9714285714285714, 0.0]"
121,xxnsts,"[0.022727272727272728, 0.9772727272727273, 0.0]"
122,xp791e,"[0.0, 1.0, 0.0]"
123,xu4xps,"[0.0, 1.0, 0.0]"
124,y2it3k,"[0.16666666666666666, 0.8333333333333334, 0.0]"
125,xnoxfh,"[0.0, 1.0, 0.0]"
126,y2qy0k,"[0.0, 1.0, 0.0]"
127,xuj4i9,"[0.06451612903225806, 0.9354838709677419, 0.0]"
128,xwhv25,"[0.009900990099009901, 0.9900990099009901, 0.0]"
129,xz3kdo,"[0.0, 1.0, 0.0]"
