,MemeID,CommentScore
0,y0ah51,"[0.0, 1.0, 0.0]"
1,y52kug,"[0.07920792079207921, 0.9207920792079208, 0.0]"
2,y5bfgf,"[0.011363636363636364, 0.9886363636363636, 0.0]"
3,y41iio,"[0.09900990099009901, 0.900990099009901, 0.0]"
4,y4zt99,"[0.14285714285714285, 0.8571428571428571, 0.0]"
5,xx77fb,"[0, 0, 0]"
6,y3jmy7,"[0.0297029702970297, 0.9702970297029703, 0.0]"
7,y32nih,"[0.0, 1.0, 0.0]"
8,y47se3,"[0.019801980198019802, 0.9801980198019802, 0.0]"
9,xvm3su,"[0.027777777777777776, 0.9722222222222222, 0.0]"
10,xv1ohe,"[0.023255813953488372, 0.9767441860465116, 0.0]"
11,xxqjfj,"[0.06930693069306931, 0.9306930693069307, 0.0]"
12,xzkecq,"[0.0297029702970297, 0.9702970297029703, 0.0]"
13,xwfp3n,"[0.1282051282051282, 0.8717948717948718, 0.0]"
14,xt1e51,"[0.0, 1.0, 0.0]"
15,y23a7e,"[0.03125, 0.96875, 0.0]"
16,xxp2cg,"[0.0, 1.0, 0.0]"
17,xv281p,"[0.0, 1.0, 0.0]"
18,xuoe1r,"[0.11764705882352941, 0.8823529411764706, 0.0]"
19,xzegs9,"[0.08333333333333333, 0.9166666666666666, 0.0]"
20,y61ih2,"[0.0, 1.0, 0.0]"
21,y4ymnm,"[0.0, 1.0, 0.0]"
22,y1rl24,"[0.08888888888888889, 0.9111111111111111, 0.0]"
23,y4asbi,"[0.0, 1.0, 0.0]"
24,xw7zco,"[0.020833333333333332, 0.9791666666666666, 0.0]"
25,xuiidt,"[0.0, 1.0, 0.0]"
26,y4r572,"[0.0, 1.0, 0.0]"
27,xt7tap,"[0.09090909090909091, 0.9090909090909091, 0.0]"
28,y307gl,"[0.009900990099009901, 0.9900990099009901, 0.0]"
29,y4ryf2,"[0.0, 1.0, 0.0]"
30,xy02nu,"[0.07865168539325842, 0.9213483146067416, 0.0]"
31,y1es5k,"[0.2857142857142857, 0.7142857142857143, 0.0]"
32,xwpo0w,"[0.0, 1.0, 0.0]"
33,xw8f6n,"[0.0297029702970297, 0.9702970297029703, 0.0]"
34,xyrabm,"[0.039603960396039604, 0.9603960396039604, 0.0]"
35,xvq6pb,"[0.12121212121212122, 0.8787878787878788, 0.0]"
36,y0nh6m,"[0.06666666666666667, 0.9333333333333333, 0.0]"
37,y2hb48,"[0.039603960396039604, 0.9603960396039604, 0.0]"
38,xutg4c,"[0.047619047619047616, 0.9523809523809523, 0.0]"
39,y0l7td,"[0.0594059405940594, 0.9405940594059405, 0.0]"
40,xyco1q,"[0.06896551724137931, 0.9310344827586207, 0.0]"
41,y4v5bs,"[0.047619047619047616, 0.9523809523809523, 0.0]"
42,y2c035,"[0.0, 1.0, 0.0]"
43,xurt57,"[0.0594059405940594, 0.9405940594059405, 0.0]"
44,xu4uwg,"[0.08695652173913043, 0.9130434782608695, 0.0]"
45,y3bdbn,"[0.09523809523809523, 0.9047619047619048, 0.0]"
46,xy8lfb,"[0.08333333333333333, 0.9166666666666666, 0.0]"
47,y3tapr,"[0.019801980198019802, 0.9801980198019802, 0.0]"
48,xurxdn,"[0.019801980198019802, 0.9801980198019802, 0.0]"
49,y62bil,"[0.015151515151515152, 0.9848484848484849, 0.0]"
50,y4cidy,"[0.13333333333333333, 0.8666666666666667, 0.0]"
51,xwnoov,"[0.16666666666666666, 0.8333333333333334, 0.0]"
52,xy14w3,"[0.043478260869565216, 0.9565217391304348, 0.0]"
53,xuhsvj,"[0.18181818181818182, 0.8181818181818182, 0.0]"
54,xtwzxd,"[0.0, 1.0, 0.0]"
55,y3ecpg,"[0.07317073170731707, 0.926829268292683, 0.0]"
56,y4cn4v,"[0.0, 1.0, 0.0]"
57,xuqcuu,"[0.0, 1.0, 0.0]"
58,xu6u3h,"[0.09090909090909091, 0.9090909090909091, 0.0]"
59,xzyccr,"[0.0, 1.0, 0.0]"
60,y3h9xu,"[0.021739130434782608, 0.9782608695652174, 0.0]"
61,y427ep,"[0.0297029702970297, 0.9702970297029703, 0.0]"
62,xstrkb,"[0.0297029702970297, 0.9702970297029703, 0.0]"
63,xxhjdx,"[0.2222222222222222, 0.7777777777777778, 0.0]"
64,y5zcp7,"[0.04950495049504951, 0.9504950495049505, 0.0]"
65,xztuzm,"[0.13861386138613863, 0.8613861386138614, 0.0]"
66,xv6zzk,"[0.0, 1.0, 0.0]"
67,xyc1k1,"[0.06930693069306931, 0.9306930693069307, 0.0]"
68,xuva08,"[0.2, 0.8, 0.0]"
69,y058um,"[0.019801980198019802, 0.9801980198019802, 0.0]"
70,xuojul,"[0.031914893617021274, 0.9680851063829787, 0.0]"
71,y2zq3s,"[0.04950495049504951, 0.9504950495049505, 0.0]"
72,xx4m6n,"[0.06930693069306931, 0.9306930693069307, 0.0]"
73,xu6i0m,"[0.08333333333333333, 0.9166666666666666, 0.0]"
74,xul5ck,"[0.014285714285714285, 0.9857142857142858, 0.0]"
75,xt1cj6,"[0.058823529411764705, 0.9411764705882353, 0.0]"
76,y0ho0h,"[0.0, 1.0, 0.0]"
77,xud009,"[0.07692307692307693, 0.9230769230769231, 0.0]"
78,xzj04e,"[0.09090909090909091, 0.9090909090909091, 0.0]"
79,y55h9i,"[0.039603960396039604, 0.9603960396039604, 0.0]"
80,xtjuth,"[0.037037037037037035, 0.9629629629629629, 0.0]"
81,xvhoeh,"[0.07920792079207921, 0.9207920792079208, 0.0]"
82,y3409u,"[0.0594059405940594, 0.9405940594059405, 0.0]"
83,y1eqmb,"[0.05263157894736842, 0.9473684210526315, 0.0]"
84,xzb63f,"[0.07692307692307693, 0.9230769230769231, 0.0]"
85,xwaa22,"[0.05405405405405406, 0.9459459459459459, 0.0]"
86,xwrgpu,"[0.0891089108910891, 0.9108910891089109, 0.0]"
87,y3vzpb,"[0.0, 1.0, 0.0]"
88,xtvt94,"[0.05, 0.95, 0.0]"
89,y3p3ab,"[0.06666666666666667, 0.9333333333333333, 0.0]"
90,y5ldeq,"[0.009900990099009901, 0.9900990099009901, 0.0]"
91,xvsjps,"[0.0, 1.0, 0.0]"
92,y0gx9g,"[0.0594059405940594, 0.9405940594059405, 0.0]"
93,y01ft0,"[0.05555555555555555, 0.9444444444444444, 0.0]"
94,y4770e,"[0.18181818181818182, 0.8181818181818182, 0.0]"
95,y0rbwl,"[0.022727272727272728, 0.9772727272727273, 0.0]"
96,y0ev17,"[0.09523809523809523, 0.9047619047619048, 0.0]"
97,y3dqjh,"[0.0297029702970297, 0.9702970297029703, 0.0]"
98,xzt12x,"[0.03571428571428571, 0.9642857142857143, 0.0]"
99,xzkg6r,"[0.10810810810810811, 0.8918918918918919, 0.0]"
100,xz48i2,"[0.25, 0.75, 0.0]"
101,y4wylp,"[0.05263157894736842, 0.9473684210526315, 0.0]"
102,xwu7iy,"[0.0, 1.0, 0.0]"
103,xvn16t,"[0.046511627906976744, 0.9534883720930233, 0.0]"
104,xsybzt,"[0.07692307692307693, 0.9230769230769231, 0.0]"
105,xzx956,"[0.0, 1.0, 0.0]"
106,y59042,"[0.11764705882352941, 0.8823529411764706, 0.0]"
107,xtqi7z,"[0.04950495049504951, 0.9504950495049505, 0.0]"
108,xtxrj6,"[0.2, 0.8, 0.0]"
109,xwoqnp,"[0.0, 1.0, 0.0]"
110,xu70jr,"[0.0, 1.0, 0.0]"
111,xv8qqr,"[0.039603960396039604, 0.9603960396039604, 0.0]"
112,y0msw8,"[0.06930693069306931, 0.9306930693069307, 0.0]"
113,xt3kfx,"[0.125, 0.875, 0.0]"
114,xv018w,"[0.05172413793103448, 0.9482758620689655, 0.0]"
115,xzl4zb,"[0.039603960396039604, 0.9603960396039604, 0.0]"
116,xyx5qk,"[0.019801980198019802, 0.9801980198019802, 0.0]"
117,xzu8ch,"[0.0, 1.0, 0.0]"
118,xy1072,"[0.11764705882352941, 0.8823529411764706, 0.0]"
119,xzk8g8,"[0.0297029702970297, 0.9702970297029703, 0.0]"
120,xx8nkc,"[0.0297029702970297, 0.9702970297029703, 0.0]"
121,xzx7os,"[0.0410958904109589, 0.958904109589041, 0.0]"
122,xtfjn7,"[0.04950495049504951, 0.9504950495049505, 0.0]"
123,xtugf6,"[0.019801980198019802, 0.9801980198019802, 0.0]"
124,xtcna2,"[0.009900990099009901, 0.9900990099009901, 0.0]"
125,xvhm47,"[0.03333333333333333, 0.9666666666666667, 0.0]"
126,xvwfgv,"[0.019801980198019802, 0.9801980198019802, 0.0]"
127,y3hmvf,"[0.03125, 0.96875, 0.0]"
128,y1859k,"[0.019801980198019802, 0.9801980198019802, 0.0]"
129,y6fiu3,"[0.0, 1.0, 0.0]"
130,xxwqvs,"[0.0, 1.0, 0.0]"
131,xxzs0f,"[0.0, 1.0, 0.0]"
132,y52wvd,"[0.0297029702970297, 0.9702970297029703, 0.0]"
133,y35esw,"[0.0, 1.0, 0.0]"
134,y037fw,"[0.18181818181818182, 0.8181818181818182, 0.0]"
135,xwdu59,"[0.0, 1.0, 0.0]"
136,y4sejl,"[0.10256410256410256, 0.8974358974358975, 0.0]"
137,y3ygq2,"[0.033707865168539325, 0.9662921348314607, 0.0]"
138,y5awt2,"[0.09090909090909091, 0.9090909090909091, 0.0]"
139,y5hta9,"[0.14285714285714285, 0.8571428571428571, 0.0]"
140,xzk2sc,"[0.19230769230769232, 0.8076923076923077, 0.0]"
141,y3hgn3,"[0.019801980198019802, 0.9801980198019802, 0.0]"
142,y418i5,"[0.029411764705882353, 0.9705882352941176, 0.0]"
143,y2h7z1,"[0.061855670103092786, 0.9381443298969072, 0.0]"
144,y02thl,"[0.06666666666666667, 0.9333333333333333, 0.0]"
145,y10mvf,"[0.05, 0.95, 0.0]"
146,y4k7vz,"[0.07920792079207921, 0.9207920792079208, 0.0]"
147,y42r27,"[0.125, 0.875, 0.0]"
148,xz8d19,"[0.05405405405405406, 0.9459459459459459, 0.0]"
149,xxumw2,"[0.06451612903225806, 0.9354838709677419, 0.0]"
150,xumbu2,"[0.12727272727272726, 0.8727272727272727, 0.0]"
151,xwqyol,"[0.05555555555555555, 0.9444444444444444, 0.0]"
152,xx4vw3,"[0.11538461538461539, 0.8846153846153846, 0.0]"
153,y4sjip,"[0.0, 1.0, 0.0]"
154,xy75ei,"[0.11538461538461539, 0.8846153846153846, 0.0]"
155,xz00zm,"[0.07920792079207921, 0.9207920792079208, 0.0]"
156,y454ze,"[0.019801980198019802, 0.9801980198019802, 0.0]"
157,xyzg71,"[0.041666666666666664, 0.9583333333333334, 0.0]"
158,xxkx3s,"[0.07692307692307693, 0.9230769230769231, 0.0]"
159,xvd0q5,"[0.23809523809523808, 0.7619047619047619, 0.0]"
160,xz9epv,"[0.09900990099009901, 0.900990099009901, 0.0]"
161,y4zs1d,"[0.07920792079207921, 0.9207920792079208, 0.0]"
162,xvho5y,"[0.10344827586206896, 0.896551724137931, 0.0]"
163,xygn91,"[0.1, 0.9, 0.0]"
164,y4o6gw,"[0.0594059405940594, 0.9405940594059405, 0.0]"
165,y42p8r,"[0.0, 1.0, 0.0]"
166,y441v9,"[0.04950495049504951, 0.9504950495049505, 0.0]"
167,xy780g,"[0.0, 1.0, 0.0]"
168,y40ied,"[0.0, 1.0, 0.0]"
169,xumw43,"[0.0594059405940594, 0.9405940594059405, 0.0]"
170,y566v6,"[0.039603960396039604, 0.9603960396039604, 0.0]"
171,xxlnwp,"[0.02, 0.98, 0.0]"
172,xvshsr,"[0.0297029702970297, 0.9702970297029703, 0.0]"
173,y1qvd8,"[0.0297029702970297, 0.9702970297029703, 0.0]"
174,xznaln,"[0.05, 0.95, 0.0]"
175,y5tn1n,"[0.0297029702970297, 0.9702970297029703, 0.0]"
176,y18g58,"[0.045454545454545456, 0.9545454545454546, 0.0]"
177,xwwsfw,"[0.0784313725490196, 0.9215686274509803, 0.0]"
178,y4cy68,"[0.3333333333333333, 0.6666666666666666, 0.0]"
179,xulpq5,"[0.2, 0.8, 0.0]"
180,xvgdi0,"[0.04950495049504951, 0.9504950495049505, 0.0]"
181,xz8o1f,"[0.039603960396039604, 0.9603960396039604, 0.0]"
182,xvc3f3,"[0.0, 1.0, 0.0]"
183,y312gf,"[0.0, 1.0, 0.0]"
184,xxxsqo,"[0.058823529411764705, 0.9411764705882353, 0.0]"
185,xwoa6m,"[0.039603960396039604, 0.9603960396039604, 0.0]"
186,xz41l2,"[0.009900990099009901, 0.9900990099009901, 0.0]"
187,xz6dez,"[0.015384615384615385, 0.9846153846153847, 0.0]"
188,y0jxw4,"[0.08, 0.92, 0.0]"
189,y1bj0w,"[0.039603960396039604, 0.9603960396039604, 0.0]"
190,y0jyat,"[0.3333333333333333, 0.6666666666666666, 0.0]"
191,xxc24y,"[0.05, 0.95, 0.0]"
192,xyt8qd,"[0.07142857142857142, 0.9285714285714286, 0.0]"
193,xu6kzz,"[0.16666666666666666, 0.8333333333333334, 0.0]"
194,xtqeo9,"[0.009900990099009901, 0.9900990099009901, 0.0]"
195,xuyxx5,"[0.0594059405940594, 0.9405940594059405, 0.0]"
196,xtalli,"[0.0297029702970297, 0.9702970297029703, 0.0]"
197,xstlo5,"[0.06521739130434782, 0.9347826086956522, 0.0]"
198,xyu9ch,"[0.05, 0.95, 0.0]"
199,y5kd67,"[0.06930693069306931, 0.9306930693069307, 0.0]"
200,xvhzel,"[0.044444444444444446, 0.9555555555555556, 0.0]"
201,xx1y76,"[0.07407407407407407, 0.9259259259259259, 0.0]"
202,y08vlm,"[0.03389830508474576, 0.9661016949152542, 0.0]"
203,y6f2hs,"[0.09375, 0.90625, 0.0]"
204,xwf1mm,"[0.07407407407407407, 0.9259259259259259, 0.0]"
205,y65r9v,"[0.009900990099009901, 0.9900990099009901, 0.0]"
206,y0lycx,"[0.037037037037037035, 0.9629629629629629, 0.0]"
207,y4o5nd,"[0.0, 1.0, 0.0]"
208,xx0fvc,"[0.25, 0.75, 0.0]"
209,xzkt74,"[0.019801980198019802, 0.9801980198019802, 0.0]"
210,y4rtes,"[0.08333333333333333, 0.9166666666666666, 0.0]"
211,y0ngs4,"[0.0891089108910891, 0.9108910891089109, 0.0]"
212,xw1jgy,"[0.0594059405940594, 0.9405940594059405, 0.0]"
213,xu5zsa,"[0.1388888888888889, 0.8611111111111112, 0.0]"
214,xtkooq,"[0.0425531914893617, 0.9574468085106383, 0.0]"
215,xuw2ca,"[0.0, 1.0, 0.0]"
216,xta9iu,"[0.0, 1.0, 0.0]"
217,xxujps,"[0.2222222222222222, 0.7777777777777778, 0.0]"
218,y11o35,"[0.04, 0.96, 0.0]"
219,xvgnv2,"[0.0, 1.0, 0.0]"
220,y2k6kw,"[0.0, 1.0, 0.0]"
221,y1ehd2,"[0.06930693069306931, 0.9306930693069307, 0.0]"
222,y2778d,"[0.0, 1.0, 0.0]"
223,y0l1jr,"[0.0, 1.0, 0.0]"
224,xuogey,"[0.0, 1.0, 0.0]"
225,y4bz65,"[0.0, 1.0, 0.0]"
226,y598v4,"[0.009900990099009901, 0.9900990099009901, 0.0]"
227,xyytzq,"[0.4, 0.6, 0.0]"
228,xt12qi,"[0.039603960396039604, 0.9603960396039604, 0.0]"
229,xyfqdr,"[0.125, 0.875, 0.0]"
230,xzrbzk,"[0.09900990099009901, 0.900990099009901, 0.0]"
231,xsh4bj,"[0.06930693069306931, 0.9306930693069307, 0.0]"
232,y36ucw,"[0.1, 0.9, 0.0]"
233,xxbqpy,"[0.0594059405940594, 0.9405940594059405, 0.0]"
234,xuvuqu,"[0.011904761904761904, 0.9880952380952381, 0.0]"
235,xv7cua,"[0.06930693069306931, 0.9306930693069307, 0.0]"
236,y4ox0v,"[0.009900990099009901, 0.9900990099009901, 0.0]"
237,xzbplw,"[0.125, 0.875, 0.0]"
238,xx6qv2,"[0.0, 1.0, 0.0]"
239,y0tsvn,"[0.5, 0.5, 0.0]"
240,xwbymp,"[0.02702702702702703, 0.972972972972973, 0.0]"
241,y1jq5e,"[0.039603960396039604, 0.9603960396039604, 0.0]"
242,xu99yn,"[0.10344827586206896, 0.896551724137931, 0.0]"
243,y209z8,"[0.019801980198019802, 0.9801980198019802, 0.0]"
244,xubl3n,"[0.09523809523809523, 0.9047619047619048, 0.0]"
245,xstehw,"[0.04838709677419355, 0.9516129032258065, 0.0]"
246,y4nrob,"[0.009900990099009901, 0.9900990099009901, 0.0]"
247,y350ql,"[0.045454545454545456, 0.9545454545454546, 0.0]"
248,xycv6r,"[0.15384615384615385, 0.8461538461538461, 0.0]"
249,xxx58l,"[0.0, 1.0, 0.0]"
250,xzme9z,"[0.06, 0.94, 0.0]"
251,y620r1,"[0.1, 0.9, 0.0]"
252,xw6nqy,"[0.019801980198019802, 0.9801980198019802, 0.0]"
253,y003nc,"[0.0, 1.0, 0.0]"
254,y4tcbj,"[0.039603960396039604, 0.9603960396039604, 0.0]"
255,y4vs2a,"[0.06896551724137931, 0.9310344827586207, 0.0]"
256,xy0xr9,"[0.04, 0.96, 0.0]"
257,xt5juq,"[0.125, 0.875, 0.0]"
258,y2b61h,"[0.019801980198019802, 0.9801980198019802, 0.0]"
259,xxxt4w,"[0.0, 1.0, 0.0]"
260,xzyv39,"[0.04819277108433735, 0.9518072289156626, 0.0]"
261,xwgbqk,"[0.0297029702970297, 0.9702970297029703, 0.0]"
262,y40eze,"[0.42857142857142855, 0.5714285714285714, 0.0]"
263,y4vl26,"[0.0, 1.0, 0.0]"
264,xzrs7x,"[0.043478260869565216, 0.9565217391304348, 0.0]"
265,y40sqt,"[0.039603960396039604, 0.9603960396039604, 0.0]"
266,y4x6rk,"[0.08333333333333333, 0.9166666666666666, 0.0]"
267,xw7j5u,"[0.12871287128712872, 0.8712871287128713, 0.0]"
268,y5xl8q,"[0.0, 1.0, 0.0]"
269,xz0e3a,"[0.07692307692307693, 0.9230769230769231, 0.0]"
270,y13oh1,"[0.0594059405940594, 0.9405940594059405, 0.0]"
271,xunnds,"[0.0, 1.0, 0.0]"
272,xt21s6,"[0.0, 1.0, 0.0]"
273,y2d9ap,"[0.04081632653061224, 0.9591836734693877, 0.0]"
274,xumvkl,"[0.0, 1.0, 0.0]"
275,y1s1r7,"[0.05357142857142857, 0.9464285714285714, 0.0]"
276,xtdfex,"[0.0, 1.0, 0.0]"
277,xxq7h4,"[0.041666666666666664, 0.9583333333333334, 0.0]"
278,xxtsbk,"[0.009900990099009901, 0.9900990099009901, 0.0]"
279,xvgd0p,"[0.2222222222222222, 0.7777777777777778, 0.0]"
280,y4vskz,"[0.06930693069306931, 0.9306930693069307, 0.0]"
281,xsqozv,"[0.1, 0.9, 0.0]"
282,xv28fs,"[0.0, 1.0, 0.0]"
283,xthofe,"[0.014705882352941176, 0.9852941176470589, 0.0]"
284,xwf2dq,"[0.0, 1.0, 0.0]"
285,xy88wv,"[0.04950495049504951, 0.9504950495049505, 0.0]"
286,xuaj4s,"[0.019801980198019802, 0.9801980198019802, 0.0]"
287,xyswph,"[0.09900990099009901, 0.900990099009901, 0.0]"
288,xtfvwf,"[0.058823529411764705, 0.9411764705882353, 0.0]"
289,xxxzc6,"[0.15, 0.85, 0.0]"
290,y67vld,"[0.09090909090909091, 0.9090909090909091, 0.0]"
291,y2i59z,"[0.0449438202247191, 0.9550561797752809, 0.0]"
292,xxydwk,"[0.05263157894736842, 0.9473684210526315, 0.0]"
293,xxmihw,"[0.10714285714285714, 0.8928571428571429, 0.0]"
294,y0oq5q,"[0.034482758620689655, 0.9655172413793104, 0.0]"
295,xux9sf,"[0.0594059405940594, 0.9405940594059405, 0.0]"
296,y30kmq,"[0.039603960396039604, 0.9603960396039604, 0.0]"
297,xuau55,"[0.018867924528301886, 0.9811320754716981, 0.0]"
298,xy6a2m,"[0.0, 1.0, 0.0]"
299,y6b1nc,"[0.029411764705882353, 0.9705882352941176, 0.0]"
300,y0tkkg,"[0.019801980198019802, 0.9801980198019802, 0.0]"
301,xz31zm,"[0.08888888888888889, 0.9111111111111111, 0.0]"
302,y0lbxa,"[0.0847457627118644, 0.9152542372881356, 0.0]"
303,xv2wa3,"[0.04950495049504951, 0.9504950495049505, 0.0]"
304,y3qw9e,"[0.0594059405940594, 0.9405940594059405, 0.0]"
305,y4fk61,"[0.03225806451612903, 0.967741935483871, 0.0]"
306,xzvwe0,"[0.10344827586206896, 0.896551724137931, 0.0]"
307,xza0uq,"[0.0, 1.0, 0.0]"
308,xvizbz,"[0.0, 1.0, 0.0]"
309,y35idm,"[0.08333333333333333, 0.9166666666666666, 0.0]"
310,y1rutn,"[0.0, 1.0, 0.0]"
311,xz0x5e,"[0.0297029702970297, 0.9702970297029703, 0.0]"
312,xw3uvj,"[0.3333333333333333, 0.6666666666666666, 0.0]"
313,xva537,"[0.0851063829787234, 0.9148936170212766, 0.0]"
314,xx1e2b,"[0.019801980198019802, 0.9801980198019802, 0.0]"
315,xw6xjm,"[0.019801980198019802, 0.9801980198019802, 0.0]"
316,y0wqyn,"[0.023809523809523808, 0.9761904761904762, 0.0]"
317,y5ms2z,"[0.019801980198019802, 0.9801980198019802, 0.0]"
318,y0et77,"[0.06578947368421052, 0.9342105263157895, 0.0]"
319,y2twqf,"[0.0594059405940594, 0.9405940594059405, 0.0]"
320,xwvnl6,"[0, 0, 0]"
321,xwhgfo,"[0.011627906976744186, 0.9883720930232558, 0.0]"
322,y10i8k,"[0.0297029702970297, 0.9702970297029703, 0.0]"
323,xu257y,"[0.08108108108108109, 0.918918918918919, 0.0]"
324,y12hbk,"[0.05263157894736842, 0.9473684210526315, 0.0]"
325,y5gmqu,"[0.0297029702970297, 0.9702970297029703, 0.0]"
326,xszuqv,"[0.0, 1.0, 0.0]"
327,y3w6he,"[0.0297029702970297, 0.9702970297029703, 0.0]"
328,y157p8,"[0.0891089108910891, 0.9108910891089109, 0.0]"
329,xusqd3,"[0.045454545454545456, 0.9545454545454546, 0.0]"
330,xz9fs6,"[0.0, 1.0, 0.0]"
331,y3pt5l,"[0.1, 0.9, 0.0]"
332,xwl0ub,"[0.2857142857142857, 0.7142857142857143, 0.0]"
333,y5aed4,"[0.04, 0.96, 0.0]"
334,xu0yz5,"[0.12, 0.88, 0.0]"
335,y0lrai,"[0.08333333333333333, 0.9166666666666666, 0.0]"
336,y46w4b,"[0.0297029702970297, 0.9702970297029703, 0.0]"
337,xxemdo,"[0.06976744186046512, 0.9302325581395349, 0.0]"
338,xyfo0f,"[0.0, 1.0, 0.0]"
339,y33qzl,"[0.0, 1.0, 0.0]"
340,xtpesp,"[0.06666666666666667, 0.9333333333333333, 0.0]"
341,xtyvpx,"[0.0297029702970297, 0.9702970297029703, 0.0]"
342,y13aoc,"[0.08333333333333333, 0.9166666666666666, 0.0]"
343,xt89ef,"[0.0, 1.0, 0.0]"
344,y36o3y,"[0.039603960396039604, 0.9603960396039604, 0.0]"
345,xxxxv1,"[0.08823529411764706, 0.9117647058823529, 0.0]"
346,xwfewk,"[0.16666666666666666, 0.8333333333333334, 0.0]"
