,MemeID,CommentScore
0,vpv0eh,"[1.0, 0.0, 0.0]"
1,ua2o56,"[1.0, 0.0, 0.0]"
2,x6nsuz,"[1.0, 0.0, 0.0]"
3,vlg6u4,"[1.0, 0.0, 0.0]"
4,u2hpvb,"[1.0, 0.0, 0.0]"
5,uaz7b7,"[1.0, 0.0, 0.0]"
6,uzmiqw,"[1.0, 0.0, 0.0]"
7,vsor0m,"[1.0, 0.0, 0.0]"
8,vo2kk8,"[1.0, 0.0, 0.0]"
9,v72g2n,"[1.0, 0.0, 0.0]"
10,utkiwq,"[0.9791666666666666, 0.020833333333333332, 0.0]"
11,vip45y,"[0.8, 0.2, 0.0]"
12,uxwfts,"[0.9411764705882353, 0.058823529411764705, 0.0]"
13,vpdm7s,"[1.0, 0.0, 0.0]"
14,wg3e1x,"[1.0, 0.0, 0.0]"
15,v1wf2x,"[1.0, 0.0, 0.0]"
16,xei7om,"[1.0, 0.0, 0.0]"
17,wlwfp2,"[0.96, 0.04, 0.0]"
18,urwweg,"[1.0, 0.0, 0.0]"
19,ujw6dq,"[1.0, 0.0, 0.0]"
20,v6pf7x,"[1.0, 0.0, 0.0]"
21,v2644o,"[1.0, 0.0, 0.0]"
22,ucfx40,"[0, 0, 0]"
23,y5kyug,"[1.0, 0.0, 0.0]"
24,wuw1lh,"[0.9753086419753086, 0.024691358024691357, 0.0]"
25,vg3tpo,"[0.9761904761904762, 0.023809523809523808, 0.0]"
26,v84gj2,"[1.0, 0.0, 0.0]"
27,wqodg9,"[1.0, 0.0, 0.0]"
28,tuhx09,"[1.0, 0.0, 0.0]"
29,twuwi4,"[1.0, 0.0, 0.0]"
30,uhbhm3,"[0.9534883720930233, 0.046511627906976744, 0.0]"
31,u9eop5,"[0.8461538461538461, 0.15384615384615385, 0.0]"
32,xobu5n,"[1.0, 0.0, 0.0]"
33,vujbsm,"[0.8888888888888888, 0.1111111111111111, 0.0]"
34,vn4zga,"[1.0, 0.0, 0.0]"
35,vds2io,"[0.926829268292683, 0.07317073170731707, 0.0]"
36,tu83gr,"[0.9782608695652174, 0.021739130434782608, 0.0]"
37,uqy8zi,"[0.9777777777777777, 0.022222222222222223, 0.0]"
38,u2pwzb,"[1.0, 0.0, 0.0]"
39,wd6t8w,"[0.9459459459459459, 0.05405405405405406, 0.0]"
40,v3r7ib,"[0.9807692307692307, 0.019230769230769232, 0.0]"
41,vtfnu7,"[1.0, 0.0, 0.0]"
42,uplhb1,"[1.0, 0.0, 0.0]"
43,tu0stb,"[1.0, 0.0, 0.0]"
44,wfps4d,"[1.0, 0.0, 0.0]"
45,ug9htp,"[1.0, 0.0, 0.0]"
46,y6makh,"[0.9444444444444444, 0.05555555555555555, 0.0]"
47,u0nojs,"[1.0, 0.0, 0.0]"
48,x0igh4,"[0.9850746268656716, 0.014925373134328358, 0.0]"
49,vo3ps2,"[0.9801980198019802, 0.019801980198019802, 0.0]"
50,v14iwj,"[0.9743589743589743, 0.02564102564102564, 0.0]"
51,us8b2i,"[0.9583333333333334, 0.041666666666666664, 0.0]"
52,ub2bud,"[1.0, 0.0, 0.0]"
53,tvhdjy,"[1.0, 0.0, 0.0]"
54,uedcbm,"[1.0, 0.0, 0.0]"
55,wh0ezh,"[0.9504950495049505, 0.04950495049504951, 0.0]"
56,w3aihj,"[0.9807692307692307, 0.019230769230769232, 0.0]"
57,x1ba4c,"[1.0, 0.0, 0.0]"
58,wqax3p,"[1.0, 0.0, 0.0]"
59,tyr24q,"[1.0, 0.0, 0.0]"
60,xyybz5,"[0.875, 0.125, 0.0]"
61,v88tcx,"[1.0, 0.0, 0.0]"
62,u2yudn,"[1.0, 0.0, 0.0]"
63,wmirge,"[1.0, 0.0, 0.0]"
64,x7ggtt,"[1.0, 0.0, 0.0]"
65,x91t85,"[1.0, 0.0, 0.0]"
66,xnxnsd,"[1.0, 0.0, 0.0]"
67,vztei6,"[0.9736842105263158, 0.02631578947368421, 0.0]"
68,wq5b43,"[1.0, 0.0, 0.0]"
69,vspmq1,"[1.0, 0.0, 0.0]"
70,vpe0il,"[1.0, 0.0, 0.0]"
71,v0rl9x,"[0.9726027397260274, 0.0273972602739726, 0.0]"
72,vavxwq,"[0.7777777777777778, 0.2222222222222222, 0.0]"
73,txujmv,"[1.0, 0.0, 0.0]"
74,wcqezw,"[1.0, 0.0, 0.0]"
75,x83bhh,"[1.0, 0.0, 0.0]"
76,xoi3db,"[1.0, 0.0, 0.0]"
