,MemeID,CommentScore
0,xqhv4m,"[0.75, 0.25, 0.0]"
1,p4izpe,"[0, 0, 0]"
2,op1ud3,"[0.0, 1.0, 0.0]"
3,vat4vb,"[0, 0, 0]"
4,q7cxcy,"[0, 0, 0]"
5,re6aig,"[0, 0, 0]"
6,tufr2o,"[0.3333333333333333, 0.6666666666666666, 0.0]"
7,p6cne8,"[0.25, 0.75, 0.0]"
8,ve2nqd,"[0, 0, 0]"
9,v1yrur,"[0, 0, 0]"
10,xprj8e,"[0.14285714285714285, 0.8571428571428571, 0.0]"
11,skz5fo,"[0, 0, 0]"
12,qlguir,"[0.5, 0.5, 0.0]"
13,rkaq0s,"[1.0, 0.0, 0.0]"
14,w2iojd,"[0, 0, 0]"
15,pw691h,"[0.0, 1.0, 0.0]"
16,qgbwhw,"[0, 0, 0]"
17,x5vq1o,"[0.3, 0.7, 0.0]"
18,wds4df,"[0.0, 1.0, 0.0]"
19,p2a3kd,"[0, 0, 0]"
20,oh1mk1,"[0, 0, 0]"
21,olfb09,"[0, 0, 0]"
22,tvh35a,"[0, 0, 0]"
23,ta5vw0,"[0, 0, 0]"
24,r96u5h,"[0.0, 1.0, 0.0]"
25,y27onx,"[0.0, 1.0, 0.0]"
26,w6katc,"[0.0, 1.0, 0.0]"
27,rj9zqs,"[0.0, 1.0, 0.0]"
28,vh2oyl,"[1.0, 0.0, 0.0]"
29,xe5rhl,"[0.0, 1.0, 0.0]"
30,u3j6gv,"[0.2, 0.8, 0.0]"
31,ueq1ew,"[0.0, 1.0, 0.0]"
32,qhdyad,"[0.09090909090909091, 0.9090909090909091, 0.0]"
33,v5j1g5,"[0, 0, 0]"
34,wa0c0y,"[0, 0, 0]"
35,ogfwvl,"[0, 0, 0]"
36,xaundj,"[0.5, 0.5, 0.0]"
37,vbug1x,"[0.3333333333333333, 0.6666666666666666, 0.0]"
38,txtevy,"[0, 0, 0]"
39,vvxwtl,"[0, 0, 0]"
40,szojei,"[0.8, 0.2, 0.0]"
41,xrhlts,"[0.14285714285714285, 0.8571428571428571, 0.0]"
42,rbplc7,"[0.0, 1.0, 0.0]"
43,op6f46,"[0, 0, 0]"
44,pl62wm,"[0, 0, 0]"
45,sarzij,"[0.6, 0.4, 0.0]"
46,r3py9q,"[0.0, 1.0, 0.0]"
47,r263d2,"[0, 0, 0]"
48,vrn6to,"[0.25, 0.75, 0.0]"
49,wbqcp8,"[0, 0, 0]"
50,oomv4w,"[0.0, 1.0, 0.0]"
51,w3hold,"[0.5, 0.5, 0.0]"
52,u79mh9,"[0.2, 0.8, 0.0]"
53,tba39z,"[0.0, 1.0, 0.0]"
54,rgtw2u,"[0, 0, 0]"
55,x5asbf,"[0.0, 1.0, 0.0]"
56,te3t2w,"[0.16666666666666666, 0.8333333333333334, 0.0]"
57,po6ezk,"[0, 0, 0]"
58,rz546r,"[0, 0, 0]"
59,p8wjw1,"[0.0, 1.0, 0.0]"
60,pto9ka,"[0, 0, 0]"
61,uyol80,"[0.6, 0.4, 0.0]"
62,x58lak,"[0.3, 0.7, 0.0]"
63,oraix4,"[0.0, 1.0, 0.0]"
64,ryeqeu,"[0.0, 1.0, 0.0]"
65,po0sd7,"[0.5, 0.5, 0.0]"
66,pyykk0,"[0, 0, 0]"
67,rspk84,"[0.0, 1.0, 0.0]"
68,rhg01x,"[0.0, 1.0, 0.0]"
69,ulb4p3,"[0.125, 0.875, 0.0]"
70,w2ien4,"[0.0, 1.0, 0.0]"
71,svgrmi,"[0.3333333333333333, 0.6666666666666666, 0.0]"
72,xfiecg,"[0.2857142857142857, 0.7142857142857143, 0.0]"
73,pi2dvs,"[0, 0, 0]"
74,tzrg3v,"[0.5, 0.5, 0.0]"
75,oq4uvy,"[0, 0, 0]"
76,ue9pex,"[0.0, 1.0, 0.0]"
77,ufzm16,"[0, 0, 0]"
78,wli4au,"[0.16666666666666666, 0.8333333333333334, 0.0]"
79,ofl23g,"[0, 0, 0]"
80,wjsq82,"[0.4444444444444444, 0.5555555555555556, 0.0]"
81,qn6b3j,"[0.6, 0.4, 0.0]"
82,rja504,"[0, 0, 0]"
83,vjs3f9,"[0, 0, 0]"
84,ufpau9,"[0, 0, 0]"
85,om2j3n,"[0.0, 1.0, 0.0]"
86,rv36xn,"[0.25, 0.75, 0.0]"
87,xlkhba,"[0.0, 1.0, 0.0]"
88,u5xkq4,"[1.0, 0.0, 0.0]"
