,MemeID,CommentScore
0,m5tru5,"[0, 0, 0]"
1,lvqkka,"[0, 0, 0]"
2,swib0e,"[0.0, 1.0, 0.0]"
3,mzrp0h,"[0.0, 1.0, 0.0]"
4,nathzt,"[0.0, 1.0, 0.0]"
5,of0lzk,"[0.0, 1.0, 0.0]"
6,lq2i94,"[0.0, 1.0, 0.0]"
7,kypztw,"[0.0, 1.0, 0.0]"
8,laf770,"[0, 0, 0]"
9,ln1k6g,"[0, 0, 0]"
10,oatce2,"[0.0, 1.0, 0.0]"
11,lkmhb3,"[0, 0, 0]"
12,o4ffbg,"[0.0, 1.0, 0.0]"
13,odbbwh,"[0.0, 1.0, 0.0]"
14,m6klsn,"[0.0, 1.0, 0.0]"
15,l2diq5,"[0.0, 1.0, 0.0]"
16,u3fl9i,"[0.0, 1.0, 0.0]"
17,r0yeon,"[0.0, 1.0, 0.0]"
18,lkmj23,"[0.0, 1.0, 0.0]"
19,l2mgun,"[0.0, 1.0, 0.0]"
20,lj3r2b,"[0.0, 1.0, 0.0]"
21,rym8uu,"[0.0, 1.0, 0.0]"
22,kxk8cq,"[0, 0, 0]"
23,rojzog,"[0.0, 1.0, 0.0]"
24,qs0uom,"[0, 0, 0]"
25,vdu42l,"[0.0, 1.0, 0.0]"
26,pzfmca,"[0.0, 1.0, 0.0]"
27,n9x2rs,"[0.0, 1.0, 0.0]"
28,rx26r5,"[0.0, 1.0, 0.0]"
29,t9hcni,"[0, 0, 0]"
30,wzwvwi,"[0.0, 1.0, 0.0]"
31,wl7r63,"[0.0, 1.0, 0.0]"
32,me0u1v,"[0.0, 1.0, 0.0]"
33,mo88s8,"[0.0, 1.0, 0.0]"
34,nrfo13,"[0.0, 1.0, 0.0]"
35,mx4pao,"[0.0, 1.0, 0.0]"
36,mma08q,"[0.0, 1.0, 0.0]"
37,mgbxgp,"[0, 0, 0]"
38,l72t3c,"[0, 0, 0]"
39,ljc464,"[0, 0, 0]"
40,l2zt2r,"[0, 0, 0]"
