,MemeID,CommentScore
0,gynva4,"[0.0, 1.0, 0.0]"
1,w55jct,"[0.0, 1.0, 0.0]"
2,olhcbo,"[0.0, 1.0, 0.0]"
3,kebxmv,"[0.0, 1.0, 0.0]"
4,eaw9yp,"[0.08333333333333333, 0.9166666666666666, 0.0]"
5,xrtfz1,"[0.0, 1.0, 0.0]"
6,ulit8q,"[0.0, 1.0, 0.0]"
7,qd92in,"[0.0, 1.0, 0.0]"
8,knaowu,"[0.0, 1.0, 0.0]"
9,mx7gik,"[0.0, 1.0, 0.0]"
10,jidmco,"[0.0, 1.0, 0.0]"
11,iajma5,"[0.0, 1.0, 0.0]"
12,ean1vs,"[0.0, 1.0, 0.0]"
13,tyfzu9,"[0.0, 1.0, 0.0]"
14,fzmij5,"[0.0, 1.0, 0.0]"
15,qoflff,"[0.0, 1.0, 0.0]"
16,gozxc2,"[0.0, 1.0, 0.0]"
17,k1903z,"[0.0, 1.0, 0.0]"
18,fk9omp,"[0.0, 1.0, 0.0]"
19,jfi3iq,"[0.0, 1.0, 0.0]"
20,ev0umm,"[0.0, 1.0, 0.0]"
21,nh4694,"[0.0, 1.0, 0.0]"
22,jagrij,"[0.0, 1.0, 0.0]"
23,kdw23s,"[0.0, 1.0, 0.0]"
24,q9xqjp,"[0.0, 1.0, 0.0]"
25,e4hbb5,"[0.0, 1.0, 0.0]"
26,s752rb,"[0.0, 1.0, 0.0]"
27,gekwu7,"[0.0, 1.0, 0.0]"
28,gv2fgf,"[0.0, 1.0, 0.0]"
29,hslz26,"[0.0, 1.0, 0.0]"
30,km1avh,"[0.0, 1.0, 0.0]"
31,kr8t9v,"[0.0, 1.0, 0.0]"
32,m9uc71,"[0.0, 1.0, 0.0]"
33,fjw6rv,"[0.0, 1.0, 0.0]"
34,p4ayq5,"[0.0, 1.0, 0.0]"
35,lv8ljm,"[0.0, 1.0, 0.0]"
36,k7vpjw,"[0.0, 1.0, 0.0]"
37,sxxi1c,"[0.0, 1.0, 0.0]"
38,j3o85q,"[0.0, 1.0, 0.0]"
39,pvmsgx,"[0.0, 1.0, 0.0]"
40,lj34bs,"[0.0, 1.0, 0.0]"
41,e69fyf,"[0.0, 1.0, 0.0]"
42,jw05w3,"[0.0, 1.0, 0.0]"
43,euoln0,"[0.5, 0.5, 0.0]"
44,fx8psv,"[0.0, 1.0, 0.0]"
45,ltt68x,"[0.0, 1.0, 0.0]"
46,jilzue,"[0.0, 1.0, 0.0]"
47,gqwk2o,"[0.0, 1.0, 0.0]"
48,gqpdqf,"[0.0, 1.0, 0.0]"
49,lcdgax,"[0.0, 1.0, 0.0]"
50,p9rwpr,"[0.0, 1.0, 0.0]"
51,if5qm6,"[0.0, 1.0, 0.0]"
52,i0payj,"[0.0, 1.0, 0.0]"
53,kdywqf,"[0.2, 0.8, 0.0]"
54,lj9yzj,"[0.0, 1.0, 0.0]"
55,mp36ix,"[0.0, 1.0, 0.0]"
56,hqx6vt,"[0.0, 1.0, 0.0]"
57,sjgpdz,"[0.0, 1.0, 0.0]"
58,nt7g32,"[0.0, 1.0, 0.0]"
59,uuwi5m,"[0.0, 1.0, 0.0]"
60,njlqd3,"[0.0, 1.0, 0.0]"
61,hg6it6,"[0.0, 1.0, 0.0]"
62,kmgmbz,"[0.0, 1.0, 0.0]"
63,l1ja4w,"[0.0, 1.0, 0.0]"
64,jpww9n,"[0.0, 1.0, 0.0]"
65,i5orxt,"[0.5, 0.5, 0.0]"
66,r7cx2q,"[0.0, 1.0, 0.0]"
67,kp649b,"[0.0, 1.0, 0.0]"
68,n1xty3,"[0.0, 1.0, 0.0]"
69,gb6hsg,"[0.0, 1.0, 0.0]"
70,lj6908,"[0.0, 1.0, 0.0]"
71,m89elp,"[0.0, 1.0, 0.0]"
72,ilnj2v,"[0.0, 1.0, 0.0]"
