,MemeID,CommentScore
0,xjiq4k,"[1.0, 0.0, 0.0]"
1,xdpbgj,"[1.0, 0.0, 0.0]"
2,va5yg0,"[1.0, 0.0, 0.0]"
3,v5emv9,"[1.0, 0.0, 0.0]"
4,wrw4qh,"[1.0, 0.0, 0.0]"
5,wkp04i,"[1.0, 0.0, 0.0]"
6,vwe7wm,"[1.0, 0.0, 0.0]"
7,wl9nt1,"[1.0, 0.0, 0.0]"
8,xyg2xt,"[1.0, 0.0, 0.0]"
9,wmiwmr,"[1.0, 0.0, 0.0]"
10,y0j1z2,"[1.0, 0.0, 0.0]"
11,xyvbh9,"[1.0, 0.0, 0.0]"
12,y2rm3v,"[1.0, 0.0, 0.0]"
13,xgh0ei,"[1.0, 0.0, 0.0]"
14,wk2wsb,"[1.0, 0.0, 0.0]"
15,y40v4t,"[1.0, 0.0, 0.0]"
16,vdirx0,"[1.0, 0.0, 0.0]"
17,v5ywms,"[1.0, 0.0, 0.0]"
18,xhxh6v,"[1.0, 0.0, 0.0]"
19,xdxk5h,"[1.0, 0.0, 0.0]"
20,v5ox9l,"[1.0, 0.0, 0.0]"
21,wldzul,"[1.0, 0.0, 0.0]"
22,woljqm,"[1.0, 0.0, 0.0]"
23,y4fjlv,"[1.0, 0.0, 0.0]"
24,urtx8w,"[1.0, 0.0, 0.0]"
25,v6gb47,"[1.0, 0.0, 0.0]"
26,v6glkk,"[1.0, 0.0, 0.0]"
27,v9d3e1,"[1.0, 0.0, 0.0]"
28,vtqtmf,"[1.0, 0.0, 0.0]"
29,wltb8x,"[1.0, 0.0, 0.0]"
30,v0e88q,"[1.0, 0.0, 0.0]"
31,xsdwtu,"[1.0, 0.0, 0.0]"
32,wlqo54,"[1.0, 0.0, 0.0]"
33,xk8dh1,"[1.0, 0.0, 0.0]"
34,vlw4wy,"[1.0, 0.0, 0.0]"
35,wxyadv,"[1.0, 0.0, 0.0]"
36,xf02tv,"[1.0, 0.0, 0.0]"
37,vi8bj6,"[1.0, 0.0, 0.0]"
38,ximlmm,"[1.0, 0.0, 0.0]"
39,xguv7l,"[1.0, 0.0, 0.0]"
40,uwih8y,"[1.0, 0.0, 0.0]"
41,ulz9bk,"[0.9900990099009901, 0.009900990099009901, 0.0]"
42,uwept5,"[1.0, 0.0, 0.0]"
43,xqm54e,"[1.0, 0.0, 0.0]"
44,v1vuu6,"[1.0, 0.0, 0.0]"
45,wo3347,"[1.0, 0.0, 0.0]"
46,wohjae,"[1.0, 0.0, 0.0]"
47,xpr55e,"[1.0, 0.0, 0.0]"
48,wkohyp,"[1.0, 0.0, 0.0]"
49,v3b6k0,"[1.0, 0.0, 0.0]"
50,vkjq5c,"[1.0, 0.0, 0.0]"
51,x7hhte,"[1.0, 0.0, 0.0]"
52,xzehpb,"[1.0, 0.0, 0.0]"
53,xq7mo0,"[1.0, 0.0, 0.0]"
54,v2r3h0,"[1.0, 0.0, 0.0]"
55,x78p9j,"[1.0, 0.0, 0.0]"
56,wkpozy,"[1.0, 0.0, 0.0]"
57,xrg34o,"[1.0, 0.0, 0.0]"
58,v43pix,"[1.0, 0.0, 0.0]"
59,wjzqie,"[1.0, 0.0, 0.0]"
60,x12ni9,"[1.0, 0.0, 0.0]"
61,v24i8i,"[1.0, 0.0, 0.0]"
62,y21nvb,"[0.9900990099009901, 0.009900990099009901, 0.0]"
63,wlcp3x,"[0.9696969696969697, 0.030303030303030304, 0.0]"
64,uvxdnt,"[1.0, 0.0, 0.0]"
65,v8if4u,"[1.0, 0.0, 0.0]"
66,xug4tl,"[1.0, 0.0, 0.0]"
67,vd93rq,"[1.0, 0.0, 0.0]"
68,vj63ec,"[1.0, 0.0, 0.0]"
69,v1oqwn,"[1.0, 0.0, 0.0]"
70,wkpy65,"[1.0, 0.0, 0.0]"
71,wuwgts,"[1.0, 0.0, 0.0]"
72,y6b2lu,"[0.9900990099009901, 0.009900990099009901, 0.0]"
73,xktazj,"[1.0, 0.0, 0.0]"
74,x4mew0,"[1.0, 0.0, 0.0]"
75,y48zb7,"[1.0, 0.0, 0.0]"
76,wozsm7,"[1.0, 0.0, 0.0]"
77,v1vwjn,"[1.0, 0.0, 0.0]"
78,vhji37,"[1.0, 0.0, 0.0]"
79,xojwuq,"[0.9900990099009901, 0.009900990099009901, 0.0]"
80,wkwoto,"[1.0, 0.0, 0.0]"
81,xmij47,"[1.0, 0.0, 0.0]"
82,urpfqt,"[1.0, 0.0, 0.0]"
83,xjaa8g,"[1.0, 0.0, 0.0]"
84,xe4wc9,"[1.0, 0.0, 0.0]"
85,wy6xl4,"[1.0, 0.0, 0.0]"
86,xr96q0,"[1.0, 0.0, 0.0]"
87,usuzxl,"[1.0, 0.0, 0.0]"
88,xdbrje,"[1.0, 0.0, 0.0]"
89,xkxfat,"[1.0, 0.0, 0.0]"
90,xp9r66,"[1.0, 0.0, 0.0]"
91,wlbbep,"[1.0, 0.0, 0.0]"
92,xw6933,"[1.0, 0.0, 0.0]"
