,MemeID,CommentScore
0,uaastv,"[0.3333333333333333, 0.6666666666666666, 0.0]"
1,qjte0z,"[0.48514851485148514, 0.5148514851485149, 0.0]"
2,re0cb3,"[0.5, 0.5, 0.0]"
3,wpl15g,"[0.42857142857142855, 0.5714285714285714, 0.0]"
4,vmxoln,"[0.35714285714285715, 0.6428571428571429, 0.0]"
5,wu5t1s,"[0.36, 0.64, 0.0]"
6,xa3f7t,"[0.3333333333333333, 0.6666666666666666, 0.0]"
7,xpx9zf,"[0.46153846153846156, 0.5384615384615384, 0.0]"
8,runx5y,"[0.5671641791044776, 0.43283582089552236, 0.0]"
9,xkdikd,"[0.48, 0.52, 0.0]"
10,qk7wi7,"[0.550561797752809, 0.449438202247191, 0.0]"
11,spea5h,"[0.3333333333333333, 0.6666666666666666, 0.0]"
12,qnnnnq,"[0.3333333333333333, 0.6666666666666666, 0.0]"
13,vcu3ij,"[0.40425531914893614, 0.5957446808510638, 0.0]"
14,s9542y,"[0.0, 1.0, 0.0]"
15,vrgs0j,"[0.25, 0.75, 0.0]"
16,r2wdzc,"[0.36363636363636365, 0.6363636363636364, 0.0]"
17,q6vh9q,"[0.5, 0.5, 0.0]"
18,xzqw26,"[0.29411764705882354, 0.7058823529411765, 0.0]"
19,s83sh9,"[0.3, 0.7, 0.0]"
20,rhppre,"[0.45544554455445546, 0.5445544554455446, 0.0]"
21,qn8xon,"[0.4673913043478261, 0.532608695652174, 0.0]"
22,sysmcv,"[0.2, 0.8, 0.0]"
23,q4sp6c,"[0.43333333333333335, 0.5666666666666667, 0.0]"
24,uxv708,"[0.45098039215686275, 0.5490196078431373, 0.0]"
25,wi3b20,"[0.4117647058823529, 0.5882352941176471, 0.0]"
26,uvfo1r,"[0.42857142857142855, 0.5714285714285714, 0.0]"
27,uuomof,"[0.4, 0.6, 0.0]"
28,qpdvuo,"[0.56, 0.44, 0.0]"
29,q47uwb,"[0.0, 1.0, 0.0]"
30,x7llzl,"[0.41379310344827586, 0.5862068965517241, 0.0]"
31,qamaj5,"[0.390625, 0.609375, 0.0]"
32,tqs5sw,"[0.25, 0.75, 0.0]"
33,q6efir,"[0.4166666666666667, 0.5833333333333334, 0.0]"
34,ut9thb,"[0.21052631578947367, 0.7894736842105263, 0.0]"
35,rje6e1,"[0.4117647058823529, 0.5882352941176471, 0.0]"
36,vypmql,"[0.4444444444444444, 0.5555555555555556, 0.0]"
37,qo6lpp,"[0.42857142857142855, 0.5714285714285714, 0.0]"
38,u2vx2l,"[0.47058823529411764, 0.5294117647058824, 0.0]"
39,wkjegh,"[0.4166666666666667, 0.5833333333333334, 0.0]"
40,s02mm9,"[0.37623762376237624, 0.6237623762376238, 0.0]"
41,wkvi07,"[0.4482758620689655, 0.5517241379310345, 0.0]"
42,txhudo,"[0.375, 0.625, 0.0]"
43,y23tj2,"[0.35294117647058826, 0.6470588235294118, 0.0]"
44,va2vcm,"[0.5, 0.5, 0.0]"
45,v1ti63,"[0.3902439024390244, 0.6097560975609756, 0.0]"
46,rnes5h,"[0.3333333333333333, 0.6666666666666666, 0.0]"
47,q0mx03,"[0.0, 1.0, 0.0]"
48,w24djo,"[0.35294117647058826, 0.6470588235294118, 0.0]"
49,vpvqie,"[0.45454545454545453, 0.5454545454545454, 0.0]"
50,u7yz9t,"[0.2711864406779661, 0.7288135593220338, 0.0]"
51,tnfqtk,"[0.5142857142857142, 0.4857142857142857, 0.0]"
52,tktoga,"[0.0, 1.0, 0.0]"
53,y1828h,"[0.38461538461538464, 0.6153846153846154, 0.0]"
54,uc6gjb,"[0.0, 1.0, 0.0]"
55,q1ow12,"[0.5108695652173914, 0.4891304347826087, 0.0]"
56,qblxsc,"[0.5, 0.5, 0.0]"
57,soxj5c,"[0.4126984126984127, 0.5873015873015873, 0.0]"
58,rxikck,"[0.42857142857142855, 0.5714285714285714, 0.0]"
59,u4xbd1,"[0.0, 1.0, 0.0]"
60,qz3ggs,"[0.5, 0.5, 0.0]"
61,qt91ce,"[0.3333333333333333, 0.6666666666666666, 0.0]"
62,vhesnl,"[0.3275862068965517, 0.6724137931034483, 0.0]"
63,uit0a8,"[0.37735849056603776, 0.6226415094339622, 0.0]"
64,qfs73c,"[0.3333333333333333, 0.6666666666666666, 0.0]"
65,qgqb2s,"[0.4794520547945205, 0.5205479452054794, 0.0]"
66,v973jq,"[0.3888888888888889, 0.6111111111111112, 0.0]"
67,u3xsix,"[0.42857142857142855, 0.5714285714285714, 0.0]"
68,qtas5u,"[0.47058823529411764, 0.5294117647058824, 0.0]"
69,qbn7in,"[0.5, 0.5, 0.0]"
70,vgmyhd,"[0.4117647058823529, 0.5882352941176471, 0.0]"
71,sfkz25,"[0.5212765957446809, 0.4787234042553192, 0.0]"
72,v8hsy9,"[0.40476190476190477, 0.5952380952380952, 0.0]"
73,utu6h3,"[0.3469387755102041, 0.6530612244897959, 0.0]"
74,refc9s,"[0.6666666666666666, 0.3333333333333333, 0.0]"
75,u9dy7m,"[0.3902439024390244, 0.6097560975609756, 0.0]"
76,x5yb9w,"[0.5, 0.5, 0.0]"
77,qdflof,"[0.4444444444444444, 0.5555555555555556, 0.0]"
78,u4xpxv,"[0.3076923076923077, 0.6923076923076923, 0.0]"
79,w7uh33,"[0.16666666666666666, 0.8333333333333334, 0.0]"
80,vvsb6d,"[0.275, 0.725, 0.0]"
81,qtiis4,"[0.5662650602409639, 0.43373493975903615, 0.0]"
82,rymv0d,"[0.5, 0.5, 0.0]"
83,stm7d7,"[0.3069306930693069, 0.693069306930693, 0.0]"
84,x99lnw,"[0.5, 0.5, 0.0]"
85,wvou21,"[0.2962962962962963, 0.7037037037037037, 0.0]"
86,q3p24a,"[0.0, 1.0, 0.0]"
87,upq2mz,"[0.42857142857142855, 0.5714285714285714, 0.0]"
88,wl7bm1,"[0.4, 0.6, 0.0]"
89,rb6crl,"[0.0, 1.0, 0.0]"
90,rnc872,"[0.4, 0.6, 0.0]"
91,wgtwzo,"[0.3076923076923077, 0.6923076923076923, 0.0]"
92,rfl8ux,"[0.0, 1.0, 0.0]"
93,shzawo,"[0.4375, 0.5625, 0.0]"
94,qy7cxl,"[0.4634146341463415, 0.5365853658536586, 0.0]"
95,tdlmjp,"[0.23636363636363636, 0.7636363636363637, 0.0]"
96,rkbiny,"[0.38571428571428573, 0.6142857142857143, 0.0]"
97,qnv868,"[0.5247524752475248, 0.4752475247524752, 0.0]"
98,y5l7o4,"[0.3333333333333333, 0.6666666666666666, 0.0]"
99,sl2zg2,"[0.4864864864864865, 0.5135135135135135, 0.0]"
100,t3k7g0,"[0.4126984126984127, 0.5873015873015873, 0.0]"
101,pzyy8f,"[0.16666666666666666, 0.8333333333333334, 0.0]"
102,qcqno0,"[0.42574257425742573, 0.5742574257425742, 0.0]"
103,ugara3,"[0.3103448275862069, 0.6896551724137931, 0.0]"
104,q07egg,"[0.5555555555555556, 0.4444444444444444, 0.0]"
105,qmrwvt,"[0.4, 0.6, 0.0]"
106,tbv60g,"[0.36538461538461536, 0.6346153846153846, 0.0]"
107,v671k0,"[0.34375, 0.65625, 0.0]"
108,tbdm81,"[0.3333333333333333, 0.6666666666666666, 0.0]"
109,rmw3oy,"[0.4158415841584158, 0.5841584158415841, 0.0]"
110,rcat8t,"[0.3333333333333333, 0.6666666666666666, 0.0]"
111,um4s3i,"[0.375, 0.625, 0.0]"
112,xq15a5,"[0.5, 0.5, 0.0]"
113,qywhlb,"[0.5, 0.5, 0.0]"
114,rh305k,"[0.5, 0.5, 0.0]"
115,rlgiwl,"[0.45977011494252873, 0.5402298850574713, 0.0]"
116,t4cgjl,"[0.5, 0.5, 0.0]"
117,r8olej,"[0.625, 0.375, 0.0]"
118,sf3iq7,"[0.45454545454545453, 0.5454545454545454, 0.0]"
119,vy4jqe,"[0.325, 0.675, 0.0]"
120,tuauk9,"[0.32142857142857145, 0.6785714285714286, 0.0]"
121,tbi3du,"[0.4, 0.6, 0.0]"
122,tiokso,"[0.375, 0.625, 0.0]"
123,rdqi5u,"[0.5, 0.5, 0.0]"
124,usg62e,"[0.375, 0.625, 0.0]"
125,rldx3t,"[0.3333333333333333, 0.6666666666666666, 0.0]"
126,v5f38i,"[0.0, 1.0, 0.0]"
127,saafrf,"[0.25, 0.75, 0.0]"
128,roocrd,"[0.2708333333333333, 0.7291666666666666, 0.0]"
129,siuqwx,"[0.6666666666666666, 0.3333333333333333, 0.0]"
130,wqfy98,"[0.43333333333333335, 0.5666666666666667, 0.0]"
131,wnkkmv,"[0.2727272727272727, 0.7272727272727273, 0.0]"
