,MemeID,CommentScore
0,xmr1yh,"[0.0, 1.0, 0.0]"
1,xw35th,"[0.0, 1.0, 0.0]"
2,xnj5h6,"[0.0, 1.0, 0.0]"
3,y4cydc,"[0.0, 1.0, 0.0]"
4,xykggn,"[0.0, 1.0, 0.0]"
5,xtm12b,"[0.0, 1.0, 0.0]"
6,xq70ld,"[0.0, 1.0, 0.0]"
7,xr6wxn,"[0.0, 1.0, 0.0]"
8,y3fztk,"[0.0, 1.0, 0.0]"
9,xoluuo,"[0.0, 1.0, 0.0]"
10,xr4y4r,"[0.0, 1.0, 0.0]"
11,xomnlu,"[0.0, 1.0, 0.0]"
12,y0esh8,"[0.0, 1.0, 0.0]"
13,y5b0sz,"[0.0, 1.0, 0.0]"
14,xoctay,"[0.0, 1.0, 0.0]"
15,xxcwa5,"[0.0, 1.0, 0.0]"
16,y2zqzm,"[0.0, 1.0, 0.0]"
17,xx5lka,"[0.03333333333333333, 0.9666666666666667, 0.0]"
18,y17mje,"[0.0, 1.0, 0.0]"
19,xoiehj,"[0.0, 1.0, 0.0]"
20,xp3s6i,"[0.0, 1.0, 0.0]"
21,xmqp68,"[0.0, 1.0, 0.0]"
22,y239vu,"[0.0, 1.0, 0.0]"
23,y67syv,"[0.0, 1.0, 0.0]"
24,y1d9k7,"[0.009900990099009901, 0.9900990099009901, 0.0]"
25,xmri7w,"[0.0, 1.0, 0.0]"
26,xynjvc,"[0.0, 1.0, 0.0]"
27,xygnty,"[0.0, 1.0, 0.0]"
28,xtvxwg,"[0.0, 1.0, 0.0]"
29,xuf6wf,"[0.0, 1.0, 0.0]"
30,xyu5nv,"[0.0, 1.0, 0.0]"
31,xwuypb,"[0.02702702702702703, 0.972972972972973, 0.0]"
32,xomkj9,"[0.0, 1.0, 0.0]"
33,y03bup,"[0.0, 1.0, 0.0]"
34,xp9q2q,"[0.0, 1.0, 0.0]"
35,xvmpt5,"[0.0, 1.0, 0.0]"
36,xzlqjz,"[0.0, 1.0, 0.0]"
37,xnrpel,"[0.0, 1.0, 0.0]"
38,xs46wf,"[0.0, 1.0, 0.0]"
39,xz0ooj,"[0.0, 1.0, 0.0]"
40,xstbi9,"[0.0, 1.0, 0.0]"
41,xr13p4,"[0.0, 1.0, 0.0]"
42,xsni7l,"[0.0, 1.0, 0.0]"
43,y19sjx,"[0.0, 1.0, 0.0]"
44,y34axk,"[0.0, 1.0, 0.0]"
45,xubgzt,"[0.0, 1.0, 0.0]"
46,y14lu5,"[0.0, 1.0, 0.0]"
