,MemeID,CommentScore
0,eq5f4z,"[1.0, 0.0, 0.0]"
1,edwb32,"[0, 0, 0]"
2,ffbi1s,"[1.0, 0.0, 0.0]"
3,f3n2cb,"[0, 0, 0]"
4,i8qp8b,"[0, 0, 0]"
5,eps5v2,"[0, 0, 0]"
6,kp6qh2,"[1.0, 0.0, 0.0]"
7,w31557,"[0, 0, 0]"
8,fvoj78,"[0, 0, 0]"
9,ex9x4f,"[1.0, 0.0, 0.0]"
10,wqm4p1,"[1.0, 0.0, 0.0]"
11,fqlolv,"[0, 0, 0]"
12,k9b3xb,"[0, 0, 0]"
13,vxv1qu,"[1.0, 0.0, 0.0]"
14,fgxnog,"[0, 0, 0]"
15,mm3x45,"[0, 0, 0]"
16,e1c456,"[0, 0, 0]"
17,fwk26p,"[0, 0, 0]"
18,jfn12o,"[0, 0, 0]"
19,j0vvcl,"[1.0, 0.0, 0.0]"
20,jw3z5t,"[0, 0, 0]"
21,f72luh,"[1.0, 0.0, 0.0]"
22,ejefq4,"[1.0, 0.0, 0.0]"
23,gcnypq,"[0, 0, 0]"
24,i3pijy,"[1.0, 0.0, 0.0]"
25,ffays8,"[1.0, 0.0, 0.0]"
26,ibh6th,"[0, 0, 0]"
27,gcg2wa,"[0, 0, 0]"
28,eqgube,"[1.0, 0.0, 0.0]"
29,gg5bhe,"[1.0, 0.0, 0.0]"
30,e6huad,"[0, 0, 0]"
31,fejfkc,"[0, 0, 0]"
32,klqdpn,"[0, 0, 0]"
33,f7zuls,"[1.0, 0.0, 0.0]"
34,w0gt8o,"[1.0, 0.0, 0.0]"
35,f3mbb0,"[0, 0, 0]"
36,ecog9d,"[1.0, 0.0, 0.0]"
37,jm8u5x,"[1.0, 0.0, 0.0]"
38,fdfr7t,"[1.0, 0.0, 0.0]"
39,igkvxh,"[1.0, 0.0, 0.0]"
40,f3n0dp,"[0, 0, 0]"
41,eig22v,"[1.0, 0.0, 0.0]"
42,idnr83,"[0, 0, 0]"
43,xwq3fg,"[0, 0, 0]"
44,id8ge9,"[0, 0, 0]"
45,k93qh2,"[0, 0, 0]"
46,g7b13q,"[1.0, 0.0, 0.0]"
47,edsr46,"[0, 0, 0]"
48,f59a0k,"[0, 0, 0]"
49,f6ixu3,"[0, 0, 0]"
50,mn21cz,"[0, 0, 0]"
51,jlvkmd,"[1.0, 0.0, 0.0]"
52,g4oydr,"[0, 0, 0]"
53,filt3u,"[1.0, 0.0, 0.0]"
54,wz9r2v,"[0, 0, 0]"
55,hpxfah,"[0, 0, 0]"
56,ez9ycm,"[0, 0, 0]"
57,f4xupl,"[0, 0, 0]"
58,euc0ht,"[1.0, 0.0, 0.0]"
59,ibdk68,"[0, 0, 0]"
60,x4t8fn,"[0, 0, 0]"
61,fj6diz,"[0, 0, 0]"
62,hll1id,"[0, 0, 0]"
63,eh8sgl,"[0, 0, 0]"
64,qjv4cp,"[0, 0, 0]"
65,erau5l,"[1.0, 0.0, 0.0]"
66,e2q7ne,"[0, 0, 0]"
67,hkfoeo,"[0, 0, 0]"
68,gfc1zq,"[1.0, 0.0, 0.0]"
69,furmso,"[0, 0, 0]"
