,MemeID,CommentScore
0,xxv256,"[1.0, 0.0, 0.0]"
1,w3bx02,"[0.6666666666666666, 0.3333333333333333, 0.0]"
2,vhgd0w,"[1.0, 0.0, 0.0]"
3,wl7qo3,"[1.0, 0.0, 0.0]"
4,wl2ozt,"[1.0, 0.0, 0.0]"
5,wtozws,"[1.0, 0.0, 0.0]"
6,xvx5ko,"[1.0, 0.0, 0.0]"
7,y0w1v3,"[1.0, 0.0, 0.0]"
8,xzyx8u,"[1.0, 0.0, 0.0]"
9,wtamuu,"[1.0, 0.0, 0.0]"
10,vl9hw1,"[1.0, 0.0, 0.0]"
11,wpggfa,"[1.0, 0.0, 0.0]"
12,xdd0yo,"[1.0, 0.0, 0.0]"
13,x9ag8a,"[1.0, 0.0, 0.0]"
14,w3wpfe,"[1.0, 0.0, 0.0]"
15,w4hngz,"[1.0, 0.0, 0.0]"
16,w2t4do,"[0.6, 0.4, 0.0]"
17,vlqlil(1),"[1.0, 0.0, 0.0]"
18,vhvlhb,"[1.0, 0.0, 0.0]"
19,wb1ehg,"[1.0, 0.0, 0.0]"
20,xtmc6r,"[1.0, 0.0, 0.0]"
21,wcbrlq,"[1.0, 0.0, 0.0]"
22,wwp1iq,"[1.0, 0.0, 0.0]"
23,xiyz4i,"[1.0, 0.0, 0.0]"
24,w9bvwx,"[0.9230769230769231, 0.07692307692307693, 0.0]"
25,vmymqe(1),"[1.0, 0.0, 0.0]"
26,x6aq6c,"[1.0, 0.0, 0.0]"
27,vmymqe,"[1.0, 0.0, 0.0]"
28,xdmesf,"[1.0, 0.0, 0.0]"
29,vfxuwk,"[0.6666666666666666, 0.3333333333333333, 0.0]"
30,vmhoql(1),"[1.0, 0.0, 0.0]"
31,y5xft9,"[0.9411764705882353, 0.058823529411764705, 0.0]"
32,x6e23x,"[1.0, 0.0, 0.0]"
33,xs7r2i,"[1.0, 0.0, 0.0]"
34,vh4vdi,"[1.0, 0.0, 0.0]"
35,xycqck,"[1.0, 0.0, 0.0]"
36,wtp46k,"[1.0, 0.0, 0.0]"
37,xc93sr,"[1.0, 0.0, 0.0]"
38,w7ibso,"[1.0, 0.0, 0.0]"
39,xfevbv,"[0.9230769230769231, 0.07692307692307693, 0.0]"
40,vx7p5w,"[1.0, 0.0, 0.0]"
41,wemd8x,"[1.0, 0.0, 0.0]"
42,y49o4f,"[1.0, 0.0, 0.0]"
43,xec9dj,"[1.0, 0.0, 0.0]"
44,xme777,"[1.0, 0.0, 0.0]"
45,w7kv0r,"[1.0, 0.0, 0.0]"
46,wo73ov,"[1.0, 0.0, 0.0]"
47,x0cpur,"[1.0, 0.0, 0.0]"
48,vlqlil,"[1.0, 0.0, 0.0]"
49,wwx0k4,"[1.0, 0.0, 0.0]"
50,wfwio3,"[1.0, 0.0, 0.0]"
51,x2p7mx,"[1.0, 0.0, 0.0]"
52,x1onsf,"[1.0, 0.0, 0.0]"
53,wa2shx,"[1.0, 0.0, 0.0]"
54,xisnb0,"[1.0, 0.0, 0.0]"
55,xlu85l,"[1.0, 0.0, 0.0]"
56,xzcp05,"[1.0, 0.0, 0.0]"
57,wsq55o,"[0.6666666666666666, 0.3333333333333333, 0.0]"
58,w28hrq,"[1.0, 0.0, 0.0]"
59,y48okm,"[1.0, 0.0, 0.0]"
60,y6mra2,"[1.0, 0.0, 0.0]"
61,x81n8n,"[1.0, 0.0, 0.0]"
62,vyqv0r,"[1.0, 0.0, 0.0]"
63,vgivog,"[1.0, 0.0, 0.0]"
64,xzye23,"[1.0, 0.0, 0.0]"
65,vluj8h(1),"[1.0, 0.0, 0.0]"
66,y5bfvf,"[1.0, 0.0, 0.0]"
67,xblynh,"[1.0, 0.0, 0.0]"
68,vqt3p8,"[1.0, 0.0, 0.0]"
69,x15fte,"[0.5, 0.5, 0.0]"
70,x1n0ss,"[1.0, 0.0, 0.0]"
71,xukc1c,"[1.0, 0.0, 0.0]"
72,xa91c2,"[1.0, 0.0, 0.0]"
73,xitl6u,"[0.9285714285714286, 0.07142857142857142, 0.0]"
74,wwuvod,"[1.0, 0.0, 0.0]"
75,wjug32,"[1.0, 0.0, 0.0]"
76,xl168o,"[1.0, 0.0, 0.0]"
77,w47a90,"[0.9318181818181818, 0.06818181818181818, 0.0]"
78,xjhc67,"[1.0, 0.0, 0.0]"
79,vrrw5v,"[1.0, 0.0, 0.0]"
80,wd33mm,"[1.0, 0.0, 0.0]"
81,vg5udv,"[1.0, 0.0, 0.0]"
82,vd0po0,"[0.5, 0.5, 0.0]"
83,x4eofk,"[1.0, 0.0, 0.0]"
84,vqup8i,"[1.0, 0.0, 0.0]"
85,y00a9a,"[1.0, 0.0, 0.0]"
86,w2knby,"[1.0, 0.0, 0.0]"
87,y0yzty,"[0.8461538461538461, 0.15384615384615385, 0.0]"
