,MemeID,CommentScore
0,bsbrpp,"[0.0, 1.0, 0.0]"
1,g1pquz,"[0, 0, 0]"
2,l7mc84,"[0.0, 1.0, 0.0]"
3,k37zqi,"[0, 0, 0]"
4,kmsatb,"[0, 0, 0]"
5,bxf2gj,"[0.0, 1.0, 0.0]"
6,d1hihb,"[0, 0, 0]"
7,dkk3t4,"[0.0, 1.0, 0.0]"
8,fu4d9m,"[0, 0, 0]"
9,mrvqk7,"[0.0, 1.0, 0.0]"
10,bngy0z,"[0, 0, 0]"
11,bnhdl6,"[0.0, 1.0, 0.0]"
12,bozsk9,"[0.0, 1.0, 0.0]"
13,bnlv3u,"[0.0, 1.0, 0.0]"
14,mnlwyc,"[0.0, 1.0, 0.0]"
15,ixaaan,"[0.0, 1.0, 0.0]"
16,ongdfs,"[0.0, 1.0, 0.0]"
17,bnkbfw,"[0.0, 1.0, 0.0]"
18,bnfv24,"[0.0, 1.0, 0.0]"
19,bnib39,"[0, 0, 0]"
20,bsbpma,"[0, 0, 0]"
21,bossjz,"[0.0, 1.0, 0.0]"
22,bsbqxv,"[0, 0, 0]"
23,bqkqbu,"[0.0, 1.0, 0.0]"
24,bq9qdq,"[0, 0, 0]"
25,j4bn9v,"[0, 0, 0]"
26,bs1zmj,"[0, 0, 0]"
27,dsi4ge,"[0.0, 1.0, 0.0]"
28,bo37q8,"[0, 0, 0]"
29,bnkbpp,"[0.0, 1.0, 0.0]"
30,bxxl0i,"[0, 0, 0]"
31,dzfz91,"[0, 0, 0]"
32,f9znie,"[0, 0, 0]"
33,fc7plm,"[0, 0, 0]"
34,jw8iof,"[0, 0, 0]"
35,bta7vl,"[0.0, 1.0, 0.0]"
36,bnlvvj,"[0, 0, 0]"
37,bp655a,"[0, 0, 0]"
38,k37dsm,"[0.0, 1.0, 0.0]"
39,byp238,"[0, 0, 0]"
40,k2wacr,"[0.0, 1.0, 0.0]"
41,bnhw68,"[0, 0, 0]"
42,bomrj4,"[0, 0, 0]"
43,dg3ux1,"[0, 0, 0]"
44,bq9ph6,"[0, 0, 0]"
45,bp2jto,"[0.0, 1.0, 0.0]"
46,bsbqbw,"[0, 0, 0]"
47,bs20oa,"[0.0, 1.0, 0.0]"
48,k2wc5z,"[0, 0, 0]"
49,l1ynu8,"[0.0, 1.0, 0.0]"
50,bng2wi,"[0, 0, 0]"
51,nsyuca,"[0.0, 1.0, 0.0]"
52,bot6pi,"[0.0, 1.0, 0.0]"
53,bnwyg3,"[0.0, 1.0, 0.0]"
54,fuosgf,"[0.0, 1.0, 0.0]"
55,bnh9su,"[0.0, 1.0, 0.0]"
56,rajdam,"[0, 0, 0]"
57,l2omz7,"[0, 0, 0]"
