,MemeID,CommentScore
0,x6g5ux,"[0, 0, 0]"
1,w5y4qa,"[0, 0, 0]"
2,w2zp85,"[0, 0, 0]"
3,xerv4m,"[0, 0, 0]"
4,whnxxn,"[0, 0, 0]"
5,xcl1s9,"[0, 0, 0]"
6,xfpo88,"[0, 0, 0]"
7,wjag96,"[0, 0, 0]"
8,xizrie,"[0, 0, 0]"
9,y226aa,"[0, 0, 0]"
10,vv601j,"[0, 0, 0]"
11,w9kxqx,"[0, 0, 0]"
12,vjrfck,"[0, 0, 0]"
13,vs4d2d,"[0, 0, 0]"
14,vs1hp6,"[0, 0, 0]"
15,whsb1n,"[0, 0, 0]"
16,v5856f,"[0, 0, 0]"
17,wh3vos,"[0, 0, 0]"
18,vk7aa1,"[0, 0, 0]"
19,vbypuo,"[0, 0, 0]"
20,w7mxca,"[0, 0, 0]"
21,xl8rhu,"[0, 0, 0]"
22,wa0zv1,"[0, 0, 0]"
23,vu65pc,"[0, 0, 0]"
24,xs16ip,"[0, 0, 0]"
25,w1def1,"[0, 0, 0]"
26,vf969r,"[0, 0, 0]"
27,vlzqui,"[0, 0, 0]"
28,xasibb,"[0, 0, 0]"
29,vbws59,"[0, 0, 0]"
30,v6u7p7,"[0, 0, 0]"
31,v45h3k,"[0, 0, 0]"
32,vxa0r3,"[0, 0, 0]"
33,wkrsx7,"[0, 0, 0]"
34,xj80fl,"[0, 0, 0]"
35,xzht1r,"[0, 0, 0]"
36,x5itpo,"[0, 0, 0]"
37,y3zfwo,"[0, 0, 0]"
38,v3yq3c,"[0, 0, 0]"
39,xy4ola,"[0, 0, 0]"
40,v6ag4e,"[0, 0, 0]"
41,v31cd3,"[0, 0, 0]"
42,xgfs94,"[1.0, 0.0, 0.0]"
43,vlng4o,"[0, 0, 0]"
44,y42qmp,"[0, 0, 0]"
45,xylnw7,"[0, 0, 0]"
46,xpjdyr,"[0, 0, 0]"
47,uxoicz,"[0, 0, 0]"
48,xr68a3,"[0, 0, 0]"
49,xgibgm,"[0, 0, 0]"
50,xngzz6,"[0, 0, 0]"
51,xtqgzg,"[0, 0, 0]"
52,vx3lv4,"[0, 0, 0]"
53,xqax94,"[0, 0, 0]"
54,vn7rfj,"[0, 0, 0]"
55,xpn7am,"[0, 0, 0]"
56,xzod2f,"[0, 0, 0]"
57,wj3z0j,"[0, 0, 0]"
58,w5exp5,"[0, 0, 0]"
59,xggsdg,"[0, 0, 0]"
60,w2671i,"[0, 0, 0]"
61,w5658y,"[0, 0, 0]"
62,vyu3h9,"[0, 0, 0]"
63,uypzks,"[0, 0, 0]"
64,vmhclo,"[0, 0, 0]"
65,x3tfbf,"[0, 0, 0]"
66,xlz63y,"[1.0, 0.0, 0.0]"
67,vibn1t,"[0, 0, 0]"
68,xok2ps,"[1.0, 0.0, 0.0]"
69,vp4jc7,"[0, 0, 0]"
70,xn1ya9,"[0, 0, 0]"
71,w0bwlq,"[0, 0, 0]"
72,w5bisb,"[0, 0, 0]"
73,w1rrjv,"[0, 0, 0]"
74,xnicyr,"[1.0, 0.0, 0.0]"
75,x9yxkn,"[0, 0, 0]"
76,v3sxmf,"[0, 0, 0]"
77,xd06oe,"[0, 0, 0]"
78,x2kqbt,"[0, 0, 0]"
79,xrf0do,"[0, 0, 0]"
80,xnsqa0,"[0, 0, 0]"
81,v67oah,"[0, 0, 0]"
82,vcpsuo,"[0, 0, 0]"
83,w4ojg7,"[0, 0, 0]"
84,v5f2n3,"[0, 0, 0]"
85,vh4z1x,"[0, 0, 0]"
86,w47wq6,"[0, 0, 0]"
87,v6vkqq,"[0, 0, 0]"
88,vfd8vc,"[0, 0, 0]"
89,xrw8tt,"[0, 0, 0]"
90,wj8i89,"[0, 0, 0]"
91,y1uvz8,"[0, 0, 0]"
92,xxqsgm,"[0, 0, 0]"
93,xmtxpa,"[0, 0, 0]"
94,xyvhup,"[0, 0, 0]"
95,xhef9o,"[0, 0, 0]"
96,v37jw5,"[0, 0, 0]"
97,v9y5j3,"[0, 0, 0]"
98,wo11yn,"[0, 0, 0]"
99,v1iv9x,"[0, 0, 0]"
100,vddqqi,"[0, 0, 0]"
101,xkaf3t,"[0, 0, 0]"
102,y5m8vd,"[0, 0, 0]"
103,vf52x4,"[0, 0, 0]"
104,vyx868,"[0, 0, 0]"
105,uyudxb,"[0, 0, 0]"
106,xnlohx,"[0, 0, 0]"
107,w58sb0,"[0, 0, 0]"
108,uydvql,"[0, 0, 0]"
109,xr2cmu,"[0, 0, 0]"
110,xln87v,"[1.0, 0.0, 0.0]"
111,vxcq85,"[0, 0, 0]"
112,xc60n3,"[1.0, 0.0, 0.0]"
113,vucow3,"[0, 0, 0]"
114,xk38ps,"[1.0, 0.0, 0.0]"
115,vfp6ac,"[0, 0, 0]"
116,vu249b,"[0, 0, 0]"
117,vpsg8i,"[0, 0, 0]"
118,vcqtan,"[0, 0, 0]"
119,vk9l48,"[0, 0, 0]"
120,xfof1b,"[0, 0, 0]"
121,y0f1vo,"[0, 0, 0]"
122,x904n2,"[0, 0, 0]"
123,xh6xzl,"[1.0, 0.0, 0.0]"
124,xd9unk,"[0, 0, 0]"
125,vb89o5,"[0, 0, 0]"
126,y346il,"[0, 0, 0]"
127,v5xlkt,"[0, 0, 0]"
128,xmn6oi,"[0, 0, 0]"
129,wgrfw2,"[0, 0, 0]"
130,x6m98c,"[0, 0, 0]"
131,y4oht0,"[0, 0, 0]"
132,y0zl10,"[0, 0, 0]"
133,vfb3t9,"[0, 0, 0]"
134,uybul2,"[0, 0, 0]"
135,xtgnxr,"[0, 0, 0]"
136,xlovz4,"[0, 0, 0]"
137,vhz5go,"[0, 0, 0]"
138,x0umkd,"[0, 0, 0]"
139,x85y25,"[0, 0, 0]"
140,wg3b49,"[0, 0, 0]"
141,xms3zm,"[0, 0, 0]"
142,v7i40y,"[0, 0, 0]"
143,w0f34f,"[0, 0, 0]"
144,vmtnde,"[0, 0, 0]"
145,vwbrqx,"[0, 0, 0]"
146,y3t8r2,"[0, 0, 0]"
147,v4v5mc,"[0, 0, 0]"
148,vv7c8v,"[0, 0, 0]"
149,vxyyh3,"[0, 0, 0]"
150,xepy79,"[1.0, 0.0, 0.0]"
151,xjcq7e,"[0, 0, 0]"
152,vwdtmi,"[0, 0, 0]"
153,vu94ky,"[0, 0, 0]"
154,xzkiji,"[0, 0, 0]"
155,xph18p,"[1.0, 0.0, 0.0]"
156,vv16vq,"[0, 0, 0]"
157,wvwcjz,"[0, 0, 0]"
158,xddm4i,"[0, 0, 0]"
159,xttxx7,"[0, 0, 0]"
160,xf244s,"[0, 0, 0]"
161,vzjcs8,"[0, 0, 0]"
162,vlv8xw,"[0, 0, 0]"
163,x41gm0,"[0, 0, 0]"
164,y4o0mw,"[0, 0, 0]"
165,vkas87,"[0, 0, 0]"
166,xicayu,"[0, 0, 0]"
167,vj05xe,"[0, 0, 0]"
168,wkpidn,"[0, 0, 0]"
169,xd1pnt,"[0, 0, 0]"
170,vtpjb5,"[0, 0, 0]"
171,vb6k9r,"[0, 0, 0]"
172,x88wd9,"[0, 0, 0]"
173,wjev2t,"[0, 0, 0]"
174,xpl0by,"[0, 0, 0]"
175,y4t9f9,"[0, 0, 0]"
176,wfvl28,"[0, 0, 0]"
177,w99ucr,"[0, 0, 0]"
178,xq88i8,"[0, 0, 0]"
179,xe8mzy,"[0, 0, 0]"
180,xsuzln,"[0, 0, 0]"
181,x9u855,"[0, 0, 0]"
182,xc8c8p,"[0, 0, 0]"
183,vivans,"[0, 0, 0]"
184,xq7h64,"[0, 0, 0]"
185,xtoa3x,"[0, 0, 0]"
186,wgw6a0,"[0, 0, 0]"
187,y63cr1,"[0, 0, 0]"
188,xzg6hb,"[0, 0, 0]"
189,y0lb7q,"[0, 0, 0]"
190,xgepcq,"[0, 0, 0]"
191,w1uq5t,"[0, 0, 0]"
192,vco1fo,"[0, 0, 0]"
193,vy87yj,"[0, 0, 0]"
194,y6aioq,"[0, 0, 0]"
195,wlk4yn,"[0, 0, 0]"
196,xs5gcy,"[0, 0, 0]"
197,y3lh3s,"[0, 0, 0]"
198,y64moi,"[0, 0, 0]"
199,xlqtjq,"[1.0, 0.0, 0.0]"
200,xhl1ds,"[0, 0, 0]"
201,xfgn1d,"[0, 0, 0]"
202,xl54lo,"[0, 0, 0]"
203,v4u02g,"[0, 0, 0]"
204,w9ztca,"[0, 0, 0]"
205,vtbjmt,"[0, 0, 0]"
206,vo212z,"[0, 0, 0]"
207,xfztr2,"[0, 0, 0]"
208,y096uf,"[0, 0, 0]"
209,xonlgu,"[0, 0, 0]"
210,vmosny,"[0, 0, 0]"
211,vzwiu0,"[0, 0, 0]"
212,vbfz50,"[0, 0, 0]"
213,vbvtnx,"[0, 0, 0]"
214,xke8mh,"[0, 0, 0]"
215,xx7r3j,"[0, 0, 0]"
216,v650mz,"[0, 0, 0]"
217,y2yiro,"[1.0, 0.0, 0.0]"
218,xpex37,"[0, 0, 0]"
219,w3eutj,"[0, 0, 0]"
220,y1h0p3,"[0, 0, 0]"
221,vee53g,"[0, 0, 0]"
222,wztppi,"[0, 0, 0]"
223,xqd6ux,"[0, 0, 0]"
224,vr0wlu,"[0, 0, 0]"
225,vr90jq,"[0, 0, 0]"
226,xrtutz,"[0, 0, 0]"
227,vrex3z,"[0, 0, 0]"
228,xaq5t2,"[0, 0, 0]"
229,vb4cif,"[0, 0, 0]"
230,y0ge5a,"[0, 0, 0]"
231,xx3mey,"[0, 0, 0]"
232,vne8da,"[0, 0, 0]"
233,xstu0i,"[0, 0, 0]"
234,vdri8o,"[0, 0, 0]"
235,w237t9,"[0, 0, 0]"
236,v7320f,"[0, 0, 0]"
