,MemeID,CommentScore
0,y4vyiz,"[0, 0, 0]"
1,y4xhp2,"[0, 0, 0]"
2,y63tg6,"[0.0297029702970297, 0.9702970297029703, 0.0]"
3,y5dyat,"[0.0, 1.0, 0.0]"
4,y6f91s,"[0.0, 1.0, 0.0]"
5,y4wuzt,"[0, 0, 0]"
6,y6ctrb,"[0, 0, 0]"
7,y5aslf,"[0.0, 1.0, 0.0]"
8,y5b8yk,"[0, 0, 0]"
9,y4or30,"[0.0, 1.0, 0.0]"
10,y4rbgx,"[0, 0, 0]"
11,y6b7kf,"[0.2, 0.8, 0.0]"
12,y6f3hu,"[0.0, 1.0, 0.0]"
13,y59u0n,"[0, 0, 0]"
14,y5a50p,"[0.0, 1.0, 0.0]"
15,y3z7nh,"[0.0, 1.0, 0.0]"
16,y6f31x,"[0.0, 1.0, 0.0]"
17,y6g0ma,"[0.0, 1.0, 0.0]"
18,y48eeb,"[0.0, 1.0, 0.0]"
19,y4oczg,"[0.0, 1.0, 0.0]"
20,y5nd1s,"[0, 0, 0]"
21,y5814d,"[0.0297029702970297, 0.9702970297029703, 0.0]"
22,y4fs80,"[0.0, 1.0, 0.0]"
23,y5a9oo,"[0.03, 0.97, 0.0]"
24,y4qti2,"[0.5, 0.5, 0.0]"
25,y55q3k,"[0.0, 1.0, 0.0]"
26,y55jbe,"[0, 0, 0]"
27,y4wksm,"[0, 0, 0]"
28,y6c313,"[0.0, 1.0, 0.0]"
29,y6fg79,"[0, 0, 0]"
30,y4ti4q,"[0.0, 1.0, 0.0]"
31,y5ei6o,"[0.0, 1.0, 0.0]"
32,y4geyo,"[0, 0, 0]"
33,y4vhqj,"[0, 0, 0]"
34,y4qvwc,"[0, 0, 0]"
35,y66t3z,"[0.0, 1.0, 0.0]"
36,y4t1wi,"[0, 0, 0]"
37,y6991n,"[0, 0, 0]"
38,y4pi0v,"[0.0, 1.0, 0.0]"
39,y671or,"[0.0, 1.0, 0.0]"
40,y5i25o,"[0.0, 1.0, 0.0]"
41,y56z0r,"[0.0, 1.0, 0.0]"
42,y5asr3,"[0.0, 1.0, 0.0]"
43,y3iru8,"[0.07317073170731707, 0.926829268292683, 0.0]"
44,y4x6cg,"[0, 0, 0]"
45,y4ipzz,"[0, 0, 0]"
46,y5bb4z,"[0.0, 1.0, 0.0]"
47,y3z225,"[0, 0, 0]"
48,y4ul6v,"[0, 0, 0]"
49,y3tdv1,"[0, 0, 0]"
50,y4wmjp,"[0.0, 1.0, 0.0]"
51,y5i3dr,"[0.0, 1.0, 0.0]"
52,y4rult,"[0.0, 1.0, 0.0]"
53,y590il,"[0.0, 1.0, 0.0]"
54,y5bt5s,"[0.06976744186046512, 0.9302325581395349, 0.0]"
55,y6df4y,"[0.0, 1.0, 0.0]"
56,y6d2fq,"[0.0, 1.0, 0.0]"
57,y6g1xn,"[0.0, 1.0, 0.0]"
58,y6dj7a,"[0.0, 1.0, 0.0]"
59,y4qdtq,"[0.0, 1.0, 0.0]"
60,y4pz09,"[0.0, 1.0, 0.0]"
61,y6gaqm,"[0.0, 1.0, 0.0]"
62,y6a8xt,"[0.0, 1.0, 0.0]"
63,y4s7b9,"[0, 0, 0]"
64,y6cood,"[0.0, 1.0, 0.0]"
65,y4nlye,"[0, 0, 0]"
66,y4o3zp,"[0, 0, 0]"
67,y4p382,"[0.0, 1.0, 0.0]"
68,y3jbsh,"[0.038461538461538464, 0.9615384615384616, 0.0]"
69,y3hflu,"[0.0, 1.0, 0.0]"
70,y5ei1r,"[0.045454545454545456, 0.9545454545454546, 0.0]"
71,y62s4k,"[0.5, 0.5, 0.0]"
72,y4si11,"[0, 0, 0]"
