,MemeID,CommentScore
0,y40kkm,"[0.6923076923076923, 0.3076923076923077, 0.0]"
1,y1juca,"[1.0, 0.0, 0.0]"
2,y5269r,"[0, 0, 0]"
3,y2amob,"[0.0, 1.0, 0.0]"
4,y1j6ms,"[0.5, 0.5, 0.0]"
5,y427qn,"[0.75, 0.25, 0.0]"
6,y5g3tf,"[1.0, 0.0, 0.0]"
7,y2997h,"[0.0, 1.0, 0.0]"
8,y2cu1q,"[0.9090909090909091, 0.09090909090909091, 0.0]"
9,y44r8j,"[0.6363636363636364, 0.36363636363636365, 0.0]"
10,xzo7g6,"[0.7777777777777778, 0.2222222222222222, 0.0]"
11,y2ardu,"[1.0, 0.0, 0.0]"
12,y28qey,"[0.9117647058823529, 0.08823529411764706, 0.0]"
13,y1p6p5,"[0.5, 0.5, 0.0]"
14,xzl8v6,"[0.9090909090909091, 0.09090909090909091, 0.0]"
15,y6cqp5,"[0, 0, 0]"
16,y4u50k,"[0.5, 0.5, 0.0]"
17,y4lh5x,"[1.0, 0.0, 0.0]"
18,y1qwyv,"[0.6666666666666666, 0.3333333333333333, 0.0]"
19,y65412,"[0.7096774193548387, 0.2903225806451613, 0.0]"
20,y4ne5b,"[1.0, 0.0, 0.0]"
21,y2ut9x,"[0, 0, 0]"
22,y1wq9m,"[0.6428571428571429, 0.35714285714285715, 0.0]"
23,y5g1jm,"[0.3333333333333333, 0.6666666666666666, 0.0]"
24,y0szv6,"[0.8, 0.2, 0.0]"
25,y2mmhe,"[0.6, 0.4, 0.0]"
26,y0hpdx,"[0.75, 0.25, 0.0]"
27,y5sb8s,"[0.7142857142857143, 0.2857142857142857, 0.0]"
28,y1knyw,"[1.0, 0.0, 0.0]"
29,y3mzxm,"[0.8217821782178217, 0.1782178217821782, 0.0]"
30,y0tgwa,"[0.6, 0.4, 0.0]"
31,y2taet,"[0.7920792079207921, 0.2079207920792079, 0.0]"
32,y3q9cs,"[1.0, 0.0, 0.0]"
33,y0afuv,"[0.8888888888888888, 0.1111111111111111, 0.0]"
34,y0golg,"[0.660377358490566, 0.33962264150943394, 0.0]"
35,y53q47,"[0.9210526315789473, 0.07894736842105263, 0.0]"
36,y1ywi6,"[0.4, 0.6, 0.0]"
37,y22atk,"[0.6666666666666666, 0.3333333333333333, 0.0]"
38,y36wf3,"[0.7575757575757576, 0.24242424242424243, 0.0]"
39,y25tog,"[0, 0, 0]"
40,y6208u,"[0.3333333333333333, 0.6666666666666666, 0.0]"
41,y27def,"[1.0, 0.0, 0.0]"
42,y0o23w,"[0.9012345679012346, 0.09876543209876543, 0.0]"
43,y3uckk,"[0.6, 0.4, 0.0]"
44,y31spf,"[0.8415841584158416, 0.15841584158415842, 0.0]"
