,MemeID,CommentScore
0,y3y09o,"[0.0, 1.0, 0.0]"
1,y610ly,"[0.0, 1.0, 0.0]"
2,y5935t,"[0.0, 1.0, 0.0]"
3,y58v0y,"[0.0, 1.0, 0.0]"
4,y4g07j,"[0, 0, 0]"
5,y59xw9,"[0.0, 1.0, 0.0]"
6,y4mfnh,"[0, 0, 0]"
7,y5rdub,"[0.0, 1.0, 0.0]"
8,y5n6oi,"[0.0, 1.0, 0.0]"
9,y4z96j,"[0.0, 1.0, 0.0]"
10,y4zn4n,"[0.0, 1.0, 0.0]"
11,y3ok5e,"[0.0, 1.0, 0.0]"
12,y5eqow,"[0.0, 1.0, 0.0]"
13,y4k5gt,"[0.0, 1.0, 0.0]"
14,y3r9nk,"[0.0, 1.0, 0.0]"
15,y4rs27,"[0, 0, 0]"
16,y4pfzo,"[0.0, 1.0, 0.0]"
17,y5bwph,"[0.0, 1.0, 0.0]"
18,y582dm,"[0.0, 1.0, 0.0]"
19,y3ejvt,"[0.0, 1.0, 0.0]"
20,y448m8,"[0.0, 1.0, 0.0]"
21,y5b9nd,"[0.0, 1.0, 0.0]"
22,y3zvui,"[0.0, 1.0, 0.0]"
23,y4gg8h,"[0.0, 1.0, 0.0]"
24,y4gu86,"[0.0, 1.0, 0.0]"
25,y4e8d3,"[0.0, 1.0, 0.0]"
26,y5cvzq,"[0.0, 1.0, 0.0]"
27,y56lj3,"[0.0, 1.0, 0.0]"
28,y5o6xz,"[0.0, 1.0, 0.0]"
29,y640ct,"[0.0, 1.0, 0.0]"
30,y4wc92,"[0.0, 1.0, 0.0]"
31,y3vjig,"[0.0, 1.0, 0.0]"
32,y4q4uh,"[0.0, 1.0, 0.0]"
33,y5vb43,"[0.0, 1.0, 0.0]"
34,y6cxds,"[0.0, 1.0, 0.0]"
35,y49ce7,"[0.0, 1.0, 0.0]"
36,y5cr8e,"[0.0, 1.0, 0.0]"
37,y451az,"[0.0, 1.0, 0.0]"
38,y4rot9,"[0.0, 1.0, 0.0]"
39,y3yz7m,"[0.0, 1.0, 0.0]"
40,y44g38,"[0.0, 1.0, 0.0]"
41,y5ngk0,"[0.0, 1.0, 0.0]"
42,y4ns84,"[0.0, 1.0, 0.0]"
43,y6788a,"[0.0, 1.0, 0.0]"
44,y4r7xy,"[0.0, 1.0, 0.0]"
45,y4xnoh,"[0.0, 1.0, 0.0]"
46,y5rotc,"[0.0, 1.0, 0.0]"
47,y41llz,"[0.0, 1.0, 0.0]"
48,y3o0se,"[0.0, 1.0, 0.0]"
49,y4i2mw,"[0, 0, 0]"
50,y4azvg,"[0.0, 1.0, 0.0]"
51,y674ux,"[0.0, 1.0, 0.0]"
52,y6al4y,"[0.0, 1.0, 0.0]"
53,y2zys2(1),"[0.0, 1.0, 0.0]"
54,y2v5g5,"[0.0, 1.0, 0.0]"
