,MemeID,CommentScore
0,xuv6mv,"[0, 0, 0]"
1,y0uhe6,"[0, 0, 0]"
2,xpdljr,"[0.6, 0.4, 0.0]"
3,xw95cd,"[0, 0, 0]"
4,xuxz4p,"[0.5247524752475248, 0.4752475247524752, 0.0]"
5,y6j00f,"[0, 0, 0]"
6,y490sn,"[0.5, 0.5, 0.0]"
7,xywxfh,"[0.5, 0.5, 0.0]"
8,xzlg0k,"[1.0, 0.0, 0.0]"
9,y6izao,"[0, 0, 0]"
10,y71vrp,"[0, 0, 0]"
11,xro554,"[0.625, 0.375, 0.0]"
12,y1ublt,"[0, 0, 0]"
13,xtv5wp,"[0, 0, 0]"
14,xyoyc4,"[1.0, 0.0, 0.0]"
15,y2zgc4,"[0, 0, 0]"
16,xzaqf9,"[0.6, 0.4, 0.0]"
17,xowsnf,"[0.0, 1.0, 0.0]"
18,xo8jah,"[0, 0, 0]"
19,xtbs9j,"[1.0, 0.0, 0.0]"
20,xr594q,"[0.6470588235294118, 0.35294117647058826, 0.0]"
21,y1wbxi,"[0.5833333333333334, 0.4166666666666667, 0.0]"
22,y29isw,"[0.25, 0.75, 0.0]"
23,xwjevm,"[0.0, 1.0, 0.0]"
24,xotzc4,"[0, 0, 0]"
25,y5jmmr,"[0, 0, 0]"
26,xo60w4,"[0, 0, 0]"
27,xvmgkq,"[1.0, 0.0, 0.0]"
28,y6wkf5,"[0, 0, 0]"
29,xueh2z,"[0.4, 0.6, 0.0]"
30,xt190k,"[0.6666666666666666, 0.3333333333333333, 0.0]"
31,xqqetx,"[1.0, 0.0, 0.0]"
32,y7cvo3,"[0, 0, 0]"
33,xwgmlv,"[0.25, 0.75, 0.0]"
34,xpmr11,"[1.0, 0.0, 0.0]"
35,y4bd2a,"[0.46153846153846156, 0.5384615384615384, 0.0]"
36,xx659z,"[0.0, 1.0, 0.0]"
37,xxc8ic,"[1.0, 0.0, 0.0]"
38,y5ra1u,"[0.0, 1.0, 0.0]"
39,xwx7dw,"[0.75, 0.25, 0.0]"
40,y25a4t,"[0.75, 0.25, 0.0]"
41,y5puo1,"[0.4945054945054945, 0.5054945054945055, 0.0]"
42,y27c2d,"[0.5, 0.5, 0.0]"
43,y0bfya,"[0.3333333333333333, 0.6666666666666666, 0.0]"
44,y0gwqc,"[0.5, 0.5, 0.0]"
45,xs7xlk,"[1.0, 0.0, 0.0]"
46,y0dhmx,"[1.0, 0.0, 0.0]"
47,xyxp2l,"[0, 0, 0]"
48,xuvaer,"[0.3333333333333333, 0.6666666666666666, 0.0]"
49,xo5ynr,"[1.0, 0.0, 0.0]"
50,xz20u0,"[0.5806451612903226, 0.41935483870967744, 0.0]"
51,xy6ojn,"[0.5, 0.5, 0.0]"
52,y4te1t,"[0.8181818181818182, 0.18181818181818182, 0.0]"
53,xo0an5,"[0.7, 0.3, 0.0]"
54,y75dwi,"[0.5, 0.5, 0.0]"
55,xs9j6p,"[0.0, 1.0, 0.0]"
56,xriiqy,"[0, 0, 0]"
57,y6xe22,"[0.0, 1.0, 0.0]"
58,y550lx,"[0.4666666666666667, 0.5333333333333333, 0.0]"
59,y29nxg,"[0, 0, 0]"
60,y1ibbm,"[0.33663366336633666, 0.6633663366336634, 0.0]"
61,xpwgtv,"[0.6571428571428571, 0.34285714285714286, 0.0]"
62,xmvolg,"[0.34615384615384615, 0.6538461538461539, 0.0]"
63,xzsgtq,"[0, 0, 0]"
64,xp7x29,"[1.0, 0.0, 0.0]"
65,xs9j3x,"[0, 0, 0]"
66,xs8nu6,"[0, 0, 0]"
67,xrxvz7,"[0.75, 0.25, 0.0]"
68,xoj2kv,"[0.2857142857142857, 0.7142857142857143, 0.0]"
69,xxpygc,"[0, 0, 0]"
70,xzois2,"[0.5, 0.5, 0.0]"
71,xntt94,"[1.0, 0.0, 0.0]"
72,xqztcz,"[0.0, 1.0, 0.0]"
73,y0zzc6,"[0.5, 0.5, 0.0]"
74,y6d9x8,"[0.0, 1.0, 0.0]"
75,y3njdi,"[0, 0, 0]"
