,MemeID,CommentScore
0,is8xq5,"[0, 0, 0]"
1,c05x6i,"[0.0, 1.0, 0.0]"
2,g7o6kr,"[0.0, 1.0, 0.0]"
3,jiu7mr,"[0.1, 0.9, 0.0]"
4,qtuq86,"[0.0, 1.0, 0.0]"
5,lhewg8,"[0, 0, 0]"
6,kdyb3e,"[0.0625, 0.9375, 0.0]"
7,rijszu,"[0.0, 1.0, 0.0]"
8,rlz2u5,"[0.0, 1.0, 0.0]"
9,jlyqnj,"[0, 0, 0]"
10,jsgcx0,"[0.16666666666666666, 0.8333333333333334, 0.0]"
11,kv8opm,"[0, 0, 0]"
12,fp4etb,"[0.0, 1.0, 0.0]"
13,l5a6eg,"[0.0, 1.0, 0.0]"
14,hf0eaq,"[0.0, 1.0, 0.0]"
15,d56jao,"[0.5, 0.5, 0.0]"
16,my56m9,"[0.0, 1.0, 0.0]"
17,jv2qno,"[0.0, 1.0, 0.0]"
18,jsghrp,"[0.0, 1.0, 0.0]"
19,rwc0y1,"[0.23076923076923078, 0.7692307692307693, 0.0]"
20,laall9,"[0.0, 1.0, 0.0]"
21,bjvf78,"[0, 0, 0]"
22,jlq5w4,"[0.3333333333333333, 0.6666666666666666, 0.0]"
23,pbi9v2,"[0.0, 1.0, 0.0]"
24,f5frdl,"[0.5, 0.5, 0.0]"
25,se2tz5,"[0.0, 1.0, 0.0]"
26,ggmcza,"[0.0, 1.0, 0.0]"
27,jdreln,"[0.08333333333333333, 0.9166666666666666, 0.0]"
28,h9qir1,"[0.3333333333333333, 0.6666666666666666, 0.0]"
29,j9i0pt,"[0.0, 1.0, 0.0]"
30,ggjzww,"[0.0, 1.0, 0.0]"
31,gs4d8n,"[0.04, 0.96, 0.0]"
32,k9f0i6,"[0.0, 1.0, 0.0]"
33,l5uuoa,"[0.0, 1.0, 0.0]"
34,ndt2al,"[0.0, 1.0, 0.0]"
35,gcqweg,"[0.4, 0.6, 0.0]"
36,hxos72,"[0, 0, 0]"
37,ej564q,"[0.08333333333333333, 0.9166666666666666, 0.0]"
38,ltce9f,"[0.0, 1.0, 0.0]"
39,pmyki5,"[0.0, 1.0, 0.0]"
40,ujsl7q,"[0.0, 1.0, 0.0]"
41,g6whc2,"[0.0, 1.0, 0.0]"
42,j44o1k,"[0.0, 1.0, 0.0]"
43,n5kw2e,"[0.0, 1.0, 0.0]"
44,kcnsq9,"[0.5, 0.5, 0.0]"
45,p5k7rx,"[0, 0, 0]"
46,uigtog,"[0.2608695652173913, 0.7391304347826086, 0.0]"
47,od2d9a,"[0.3333333333333333, 0.6666666666666666, 0.0]"
48,ghtc0p,"[0.2, 0.8, 0.0]"
49,g54asz,"[0.3, 0.7, 0.0]"
50,em0wog,"[0.0, 1.0, 0.0]"
51,tg286e,"[0.0, 1.0, 0.0]"
52,mowm8w,"[0.0, 1.0, 0.0]"
53,n56nhv,"[0.0, 1.0, 0.0]"
54,km3qyi,"[0.0, 1.0, 0.0]"
55,jjzvi4,"[0.14285714285714285, 0.8571428571428571, 0.0]"
56,bfqpyy,"[0, 0, 0]"
57,hu3m7y,"[0.2727272727272727, 0.7272727272727273, 0.0]"
58,i7ndsr,"[0.16666666666666666, 0.8333333333333334, 0.0]"
59,gqck16,"[0.2, 0.8, 0.0]"
60,pmpmrv,"[0.0, 1.0, 0.0]"
61,f6qgsp,"[0.0, 1.0, 0.0]"
62,so70eh,"[0.0, 1.0, 0.0]"
63,sra40d,"[0.0, 1.0, 0.0]"
64,ofm09u,"[0.0, 1.0, 0.0]"
65,jg4d4j,"[0.0, 1.0, 0.0]"
66,bsnygj,"[0.5, 0.5, 0.0]"
67,wh82y9,"[0.0, 1.0, 0.0]"
