,MemeID,CommentScore
0,xqhv4m,0.0
1,p4izpe,0.0
2,op1ud3,0.0
3,vat4vb,0.0
4,q7cxcy,0.0
5,re6aig,0.0
6,tufr2o,0.0
7,p6cne8,0.0
8,ve2nqd,0.0
9,v1yrur,0.0
10,xprj8e,0.0
11,skz5fo,0.0
12,qlguir,0.0
13,rkaq0s,0.0
14,w2iojd,0.0
15,pw691h,0.0
16,qgbwhw,0.0
17,x5vq1o,0.0
18,wds4df,0.0
19,p2a3kd,0.0
20,oh1mk1,0.0
21,olfb09,0.0
22,tvh35a,0.0
23,ta5vw0,0.0
24,r96u5h,0.0
25,y27onx,0.0
26,w6katc,0.0
27,rj9zqs,0.0
28,vh2oyl,0.0
29,xe5rhl,0.0
30,u3j6gv,0.0
31,ueq1ew,0.0
32,qhdyad,0.0
33,v5j1g5,0.0
34,wa0c0y,0.0
35,ogfwvl,0.0
36,xaundj,0.0
37,vbug1x,0.0
38,txtevy,0.0
39,vvxwtl,0.0
40,szojei,0.0
41,xrhlts,0.0
42,rbplc7,0.0
43,op6f46,0.0
44,pl62wm,0.0
45,sarzij,0.0
46,r3py9q,0.0
47,r263d2,0.0
48,vrn6to,0.0
49,wbqcp8,0.0
50,oomv4w,0.0
51,w3hold,0.0
52,u79mh9,0.0
53,tba39z,0.0
54,rgtw2u,0.0
55,x5asbf,0.0
56,te3t2w,0.0
57,po6ezk,0.0
58,rz546r,0.0
59,p8wjw1,0.0
60,pto9ka,0.0
61,uyol80,0.0
62,x58lak,0.0
63,oraix4,0.0
64,ryeqeu,0.0
65,po0sd7,0.0
66,pyykk0,0.0
67,rspk84,0.0
68,rhg01x,0.0
69,ulb4p3,0.0
70,w2ien4,0.0
71,svgrmi,0.0
72,xfiecg,0.0
73,pi2dvs,0.0
74,tzrg3v,0.0
75,oq4uvy,0.0
76,ue9pex,0.0
77,ufzm16,0.0
78,wli4au,0.0
79,ofl23g,0.0
80,wjsq82,0.0
81,qn6b3j,0.0
82,rja504,0.0
83,vjs3f9,0.0
84,ufpau9,0.0
85,om2j3n,0.0
86,rv36xn,0.0
87,xlkhba,0.0
88,u5xkq4,0.0
89,t01u0z,0.0
90,sdvc0j,0.0
91,p7p3nj,0.0
92,qn52be,0.0
93,qmrc5v,0.0
94,r7w7lw,0.0
95,sgpovl,0.0
96,on27yv,0.0
97,ohrqzl,0.0
98,wneqqa,0.0
99,w9jpj0,0.0
100,syngc4,0.0
101,t7irmy,0.0
102,xg9zwv,0.0
103,vrnj1r,0.0
104,v02maz,0.0
105,p6t6ql,0.0
106,us2sk4,0.0
107,p9msrq,0.0
108,wa8tuw,0.0
109,okq2p7,0.0
110,pe5bu4,0.0
111,wog67l,0.0
112,vld4c2,0.0
113,pdh3rh,0.0
114,uy5qkg,0.0
115,xf57i2,0.0
116,xr085b,0.0
117,qhe70i,0.0
118,ufkjbg,0.0
119,ta2oj1,0.0
120,ug1mqh,0.0
121,xbu9fd,0.0
122,qhyrov,0.0
123,q62dsg,0.0
124,sxafd1,0.0
125,scimvq,0.0
126,t0ntor,0.0
127,s88zag,0.0
128,pr6wk1,0.0
129,vh3bhp,0.0
130,tqqqjs,0.0
131,rdwm4i,0.0
132,u0qp8a,0.0
133,w3ol7d,0.0
134,y5z9yj,0.0
135,vwsxlz,0.0
136,vdjh9p,0.0
137,pzjqw0,0.0
138,ontpjw,0.0
139,wc79au,0.0
140,y3eh2e,0.0
141,x8xdj2,0.0
142,wop5x6,0.0
143,rgtqnp,0.0
144,p8yblm,0.0
145,tuls0o,0.0
146,uqeb33,0.0
147,uy60os,0.0
148,ugtq9d,0.0
149,q20bnl,0.0
150,x4yunr,0.0
151,ufur6m,0.0
152,qm5wkl,0.0
153,vj00y9,0.0
154,ogwcb9,0.0
155,osvjbb,0.0
156,qw5fuq,0.0
157,x0ee7j,0.0
158,uzr8l7,0.0
159,u5pppo,0.0
160,seycbz,0.0
161,w6xgys,0.0
162,vv7w1u,0.0
163,uc9zqf,0.0
164,pm3fnz,0.0
165,x5bx90,0.0
166,v064nd,0.0
167,xgwpiw,0.0
168,rxp0eu,0.0
169,rh8k2h,0.0
170,pwv44e,0.0
171,ol2raj,0.0
172,rz6a10,0.0
173,p4g9ab,0.0
174,wodix1,0.0
175,pzxrj0,0.0
176,s1oq07,0.0
177,t91ze5,0.0
178,v86zgm,0.0
179,oce086,0.0
180,otiv80,0.0
181,p18ebe,0.0
182,swl4ag,0.0
183,t2pov3,0.0
184,x34h8b,0.0
185,rl7btp,0.0
186,pb10hu,0.0
187,vleyq5,0.0
188,pakei6,0.0
189,u9fr2i,0.0
190,ucu61n,0.0
191,pst9bc,0.0
192,ofe1ln,0.0
193,vddkty,0.0
194,rpijbl,0.0
195,s9ii3v,0.0
196,vsxxoe,0.0
197,v5uzed,0.3333333333333333
198,trv686,0.0
199,ozjgrr,0.0
200,y3ytpe,0.0
201,x2gz9j,0.0
202,x3lrw5,0.0
203,so044y,0.0
204,u830zu,0.0
205,tea1t7,0.0
206,tbxs6p,0.0
207,wd7pi4,0.0
208,wx41bo,0.0
209,v7bufi,0.0
210,sops8r,0.0
211,p1m7gv,0.0
212,stgn0g,0.0
213,rg7vzw,0.0
214,vihzu6,0.0
215,ogqj43,0.0
216,qhqyub,0.0
217,pzlt21,0.0
218,v00o23,0.0
219,una5u4,0.0
220,xiiviz,0.0
221,qw1v0p,0.0
222,vclig9,0.0
223,pad0jj,0.0
224,u9zv11,0.0
225,pdy8lp,0.0
226,vuaw59,0.0
227,uzxwlr,0.0
228,p0wj5n,0.0
229,qk70sn,0.0
230,oxgtae,0.0
231,uyv6hn,0.0
232,rklt4x,0.0
233,r0mo2g,0.0
234,wd7r2i,0.0
235,onk6qi,0.0
236,uzxb7j,0.0
237,qlbt3k,0.0
238,p4l9na,0.0
239,pppclj,0.0
240,wknac5,0.0
241,oqwx2n,0.0
242,t6uo2h,0.0
243,riqvfy,0.0
244,weuuhr,0.0
245,vwsgt5,0.0
246,uklf06,0.0
247,t2dlgo,0.0
248,wajdea,0.0
249,oqorfk,0.0
250,pcfm2c,0.0
251,xmhh6m,0.0
252,pptbyi,0.0
253,x3l62a,0.0
254,sbrzir,0.0
255,owdpz6,0.0
256,vh30s3,0.0
257,pxv5d6,0.0
258,ui1vrk,0.0
259,xprjy0,0.0
260,phy1gq,0.0
261,v4j639,0.0
262,pkk6di,0.0
263,sc0dim,0.0
264,t95zyz,0.0
265,uf6gma,0.0
266,tr1ufn,0.0
267,p2wynz,0.0
268,renbg0,0.0
269,pu6rt3,0.0
270,pkza0x,0.0
271,onpecy,0.0
272,tgqgsk,0.0
273,tcxpei,0.0
274,tfkeck,0.0
275,t0qgd5,0.0
276,qqyeye,0.0
277,tqxney,0.0
278,v1j39u,0.0
279,ry2w6e,0.0
280,qk2gpt,0.0
281,sx67xk,0.0
282,p7n5is,0.0
283,pu85ca,0.0
284,rf6382,0.0
285,p0pb5s,0.0
286,shv6ae,0.0
287,xiiuia,0.0
288,qzhbo2,0.0
289,ow7drq,0.0
290,tozy8b,0.0
291,w9nbj3,0.0
292,rv1v7w,0.0
293,q0l1ps,0.0
294,oo0wxy,0.0
295,ta19cz,0.0
296,tnegbx,0.0
297,v8ws68,0.0
298,rl78hm,0.0
299,sropga,0.0
300,oh9bm5,0.0
301,u7qtvu,0.0
302,w5o1xk,0.0
303,pdtbte,0.0
304,qahjf5,0.0
305,u14tw2,0.0
306,pvf0uq,0.0
307,uq11k8,0.0
308,tr938i,0.0
309,x78hoq,0.0
310,uglfj1,0.0
311,p8jsnk,0.0
312,rswdv0,0.0
313,rmatec,0.0
314,y4a0lg,0.0
315,r4ivjs,0.0
316,og57lo,0.0
317,xejfux,0.0
318,poayvp,0.0
319,tu14fa,0.0
320,x408ud,0.0
321,wd0vp4,0.0
322,ww90n2,0.0
323,vtvgut,0.0
324,vosuuu,0.0
325,sdt2lm,0.0
326,otv1q8,0.0
327,pukbzw,0.0
328,reug0f,0.0
329,uy05ky,0.0
330,qfq3l9,0.0
331,q22jzh,0.0
332,xq4mi8,0.0
333,p3tpq2,0.0
334,vddj6n,0.0
335,v29667,0.0
336,wxfkgr,0.0
337,pdlxil,0.0
338,p0uzoi,0.0
339,q2xq5k,0.0
340,orbzmj,0.0
341,use00z,0.0
342,rkf3q1,0.0
343,ro88yw,0.0
344,p9nwmr,0.0
345,psgenl,0.0
346,qevwiu,0.0
347,rux5a1,0.0
348,pnip1y,0.0
349,q7prb9,0.0
350,ol6d5r,0.0
351,tqcspe,0.0
352,pcdfra,0.0
353,xtqzlx,0.0
354,v6hjqm,0.0
355,rq6ucm,0.0
356,oazuge,0.0
357,uu7ra5,0.0
358,pmz20v,0.0
359,urj6w7,0.0
360,p1m0vs,0.0
361,pjlmor,0.0
362,obrxr3,0.0
363,vrlunt,0.0
364,vvgw9s,0.0
365,y2zxmy,0.0
366,ofzsdp,0.0
367,xa2iwr,0.0
368,rakh5u,0.0
369,qfafek,0.0
370,w0m854,0.0
371,wrrfvs,0.0
372,qia1zt,0.0
373,xdvsbo,0.0
374,p876kq,0.0
375,uia9xk,0.0
376,rzyc5c,0.0
377,rqsfke,0.05263157894736842
378,smngga,0.0
379,p9zuh1,0.0
380,v55607,0.0
381,vlc68s,0.0
382,u0pnvm,0.0
383,re97hn,0.0
384,sl65bv,0.0
385,rp8v3k,0.0
386,pkbkxt,0.0
387,uh66br,0.0
388,oi2out,0.0
389,rzprj8,0.0
390,oz3jgz,0.0
391,uu5k9m,0.0
392,qoenut,0.0
393,pdt31c,0.0
394,or1epb,0.0
395,omc60j,0.0
396,q99my7,0.0
397,v7hnfn,0.0
398,r11mig,0.0
399,vxjct9,0.0
400,p4t8ge,0.0
401,q8xmio,0.0
402,xbq45c,0.0
403,vv9a6v,0.0
404,pd636l,0.0
405,wi0bt2,0.0
406,xt4v4l,0.0
407,vs6y7e,0.0
408,te7qxz,0.0
409,rfnkud,0.0
410,q3f20z,0.0
411,u5kd3h,0.0
412,ul8j2g,0.0
413,v9mqbo,0.0
414,onbb5m,0.0
415,sf02zf,0.0
416,rdbgvy,0.0
417,wpis2r,0.0
418,pk2rww,0.0
419,oj2e8p,0.0
420,v1q886,0.0
421,t3hty7,0.0
422,uwuwjh,0.0
423,vuyi42,0.0
424,r0yc0n,0.0
425,owuizt,0.0
