,MemeID,CommentScore
0,m5tru5,0.0
1,lvqkka,0.0
2,swib0e,0.5
3,mzrp0h,0.3333333333333333
4,nathzt,0.0
5,of0lzk,0.4
6,lq2i94,1.0
7,kypztw,0.5
8,laf770,0.0
9,ln1k6g,0.0
10,oatce2,0.5
11,lkmhb3,0.0
12,o4ffbg,0.8333333333333334
13,odbbwh,0.0
14,m6klsn,0.0
15,l2diq5,1.0
16,u3fl9i,0.5
17,r0yeon,0.5
18,lkmj23,0.0
19,l2mgun,0.5
20,lj3r2b,0.5
21,rym8uu,0.5
22,kxk8cq,0.0
23,rojzog,1.0
24,qs0uom,0.0
25,vdu42l,0.0
26,pzfmca,0.4
27,n9x2rs,0.5
28,rx26r5,0.4
29,t9hcni,0.0
30,wzwvwi,0.4230769230769231
31,wl7r63,0.6666666666666666
32,so4pob,0.25
33,me0u1v,0.2
34,nrfo13,0.0
35,mma08q,0.6666666666666666
36,mgbxgp,0.0
37,l72t3c,0.0
38,ljc464,0.0
39,l2zt2r,0.0
40,lkwj71,0.0
41,kxxkeo,0.0
42,mtr3nj,0.0
43,x4x2k5,0.3333333333333333
44,ltlons,0.4
45,vif7fo,1.0
46,nyaftq,0.5
47,ley645,1.0
48,mn8v7e,1.0
49,o0e7so,0.25
50,uxhhz4,0.16666666666666666
51,o9p9s4,0.5263157894736842
52,sv7bg4,0.0
53,naugj6,1.0
54,nmxexx,0.0
55,mk3r8f,1.0
56,lo3skz,0.0
57,x5v6f0,0.5
58,x5rd6f,0.7692307692307693
59,sv690d,0.4666666666666667
60,l72u69,0.0
61,oaaupq,0.4
62,mipxzm,0.3333333333333333
63,myha5v,0.0
64,pnkls7,0.7241379310344828
65,wrse9n,0.5
66,lllmm2,0.0
67,lybjbu,0.5
68,mix34b,0.0
69,obcpsw,0.0
70,n9k4mz,0.375
71,y5gjjd,0.5
72,lqzfyp,0.0
73,lsj77s,0.0
74,n1d60h,0.5
75,u4u3an,1.0
76,qnos32,0.5
77,lg5pqd,0.0
78,o6o9w3,0.0
79,o6phvc,0.5
80,m0cf7s,0.0
81,pk9w6b,1.0
82,lh4aml,0.0
83,lip5cn,0.15384615384615385
84,x1xqxs,0.18181818181818182
85,o5nqma,0.25
86,l8rr3q,0.0
87,stwyqo,1.0
88,mo8hcw,0.0
89,ml27xt,0.0
90,lek4fj,0.0
91,lpkhcr,0.0
92,oyxzja,0.6666666666666666
93,spet8k,0.14285714285714285
94,l54lv2,1.0
95,rx3bhe,1.0
96,ntj9ee,0.5
97,lfstem,0.0
98,la47uz,0.5
99,mi0j7r,0.0
100,n2ni6n,0.3333333333333333
101,r007u9,0.7222222222222222
102,oeevqh,0.5
103,xjbcpp,0.3333333333333333
104,nmm2ez,1.0
105,x2zep2,0.2857142857142857
106,nxbd1u,0.75
107,nmwr5b,0.6666666666666666
108,vxo409,0.4444444444444444
109,kv9vph,0.0
110,tbyqai,0.6
111,ws3u93,0.5
112,lggqhx,0.0
113,qx6wue,1.0
114,lg9bil,0.3333333333333333
115,odxgbw,0.0
116,rm4akp,0.6
117,ugplt3,0.2222222222222222
118,lszdd9,0.0
119,ogew0x,0.5
120,oa8xnq,0.5
121,l3mnzo,0.0
122,uz7s4e,0.0
123,wu3kqv,0.6666666666666666
124,y64lpa,1.0
125,me3ogt,0.0
126,w9rfd7,0.7272727272727273
127,mp0bat,0.0
128,tzfoks,0.8333333333333334
129,odlf33,0.6
130,we1t8q,0.5
131,pvak8l,0.0
132,mkuvg1,0.0
133,p23vgs,1.0
134,l0uiix,0.0
135,wfiw18,0.42857142857142855
136,l3yx0z,1.0
137,lzyv4m,0.0
138,lttw2u,0.0
139,mi0i63,0.0
140,qaskk9,0.42857142857142855
141,te9h5z,0.3333333333333333
142,str9xx,1.0
143,n1deh9,0.0
144,l6e8uw,0.0
145,ol7adf,0.75
146,lqttve,0.0
147,lgdeoh,0.0
148,o3xy3m,1.0
149,x6j1tc,0.25
150,mljxx4,0.0
151,m0szbv,0.0
152,lvt6fj,0.75
153,tttffc,0.0
154,s7bfcz,0.6666666666666666
155,t91e6r,0.0
156,n43rxt,1.0
157,kv40k4,0.4
158,ma4g3g,0.5833333333333334
159,mh228l,0.3333333333333333
160,mhjax5,1.0
161,ng9q4a,0.5833333333333334
162,rvio99,0.6
163,mv24zp,0.8
164,kvbekm,0.0
165,vbvq5f,0.5
166,l2nvnw,1.0
167,xco9pp,0.0
168,tfa3n9,1.0
169,m03yre,0.5
170,u9vdr7,0.0
171,kypzzb,0.0
172,og7k50,0.0
