,MemeID,CommentScore
0,uaastv,0.8333333333333334
1,qjte0z,0.9603960396039604
2,re0cb3,0.9772727272727273
3,wpl15g,1.0
4,vmxoln,1.0
5,wu5t1s,1.0
6,xa3f7t,1.0
7,xpx9zf,1.0
8,runx5y,1.0
9,xkdikd,1.0
10,qk7wi7,0.9662921348314607
11,spea5h,1.0
12,qnnnnq,1.0
13,vcu3ij,1.0
14,s9542y,1.0
15,vrgs0j,1.0
16,r2wdzc,0.9090909090909091
17,q6vh9q,0.9166666666666666
18,xzqw26,1.0
19,s83sh9,1.0
20,rhppre,0.9900990099009901
21,qn8xon,1.0
22,sysmcv,1.0
23,q4sp6c,1.0
24,uxv708,1.0
25,wi3b20,1.0
26,uvfo1r,1.0
27,uuomof,1.0
28,qpdvuo,1.0
29,q47uwb,1.0
30,x7llzl,1.0
31,qamaj5,0.953125
32,tqs5sw,1.0
33,q6efir,1.0
34,ut9thb,1.0
35,rje6e1,1.0
36,vypmql,1.0
37,qo6lpp,1.0
38,u2vx2l,1.0
39,wkjegh,1.0
40,s02mm9,1.0
41,wkvi07,1.0
42,txhudo,0.96875
43,y23tj2,1.0
44,va2vcm,1.0
45,v1ti63,1.0
46,rnes5h,1.0
47,q0mx03,1.0
48,w24djo,1.0
49,vpvqie,1.0
50,u7yz9t,0.9830508474576272
51,tnfqtk,1.0
52,tktoga,1.0
53,y1828h,1.0
54,uc6gjb,1.0
55,q1ow12,1.0
56,qblxsc,1.0
57,soxj5c,0.9841269841269841
58,rxikck,0.9841269841269841
59,u4xbd1,0.5
60,qz3ggs,1.0
61,qt91ce,0.8333333333333334
62,vhesnl,0.9655172413793104
63,uit0a8,0.9811320754716981
64,qfs73c,1.0
65,qgqb2s,0.9726027397260274
66,v973jq,1.0
67,u3xsix,1.0
68,qtas5u,1.0
69,qbn7in,1.0
70,vgmyhd,1.0
71,typmku,0.9761904761904762
72,v8hsy9,1.0
73,utu6h3,1.0
74,u9dy7m,0.975609756097561
75,x5yb9w,1.0
76,qdflof,0.9876543209876543
77,u4xpxv,1.0
78,w7uh33,1.0
79,vvsb6d,1.0
80,qtiis4,1.0
81,rymv0d,1.0
82,stm7d7,0.9702970297029703
83,x99lnw,1.0
84,wvou21,0.9629629629629629
85,q3p24a,1.0
86,upq2mz,1.0
87,wl7bm1,1.0
88,rb6crl,1.0
89,rnc872,0.9714285714285714
90,wgtwzo,0.9615384615384616
91,rfl8ux,0.5
92,shzawo,0.9895833333333334
93,qy7cxl,0.975609756097561
94,tdlmjp,0.9818181818181818
95,rkbiny,1.0
96,qnv868,1.0
97,y5l7o4,1.0
98,sl2zg2,1.0
99,t3k7g0,0.9841269841269841
100,pzyy8f,1.0
101,qcqno0,0.9702970297029703
102,ugara3,1.0
103,q07egg,1.0
104,qmrwvt,1.0
105,tbv60g,0.9807692307692307
106,v671k0,1.0
107,tbdm81,1.0
108,rmw3oy,0.9900990099009901
109,rcat8t,0.9824561403508771
110,um4s3i,1.0
111,xq15a5,1.0
112,qywhlb,1.0
113,rh305k,1.0
114,rlgiwl,0.9885057471264368
115,t4cgjl,1.0
116,r8olej,1.0
117,sf3iq7,1.0
118,vy4jqe,1.0
119,tuauk9,1.0
120,tbi3du,1.0
121,tiokso,0.9791666666666666
122,rdqi5u,1.0
123,usg62e,1.0
124,rldx3t,1.0
125,v5f38i,1.0
126,saafrf,1.0
127,roocrd,1.0
128,siuqwx,1.0
129,wqfy98,1.0
130,wnkkmv,1.0
131,xyvb5o,1.0
132,xhveqv,1.0
133,x4rxoj,0.9811320754716981
134,tfywaf,1.0
135,xyfu08,1.0
136,qk579i,1.0
137,r51ksy,1.0
138,t7grng,0.972972972972973
139,t2r3na,0.9629629629629629
140,wbexjr,1.0
141,wyqo19,1.0
142,u60nre,1.0
143,qpn9bs,1.0
