,MemeID,CommentScore
0,y6a69m,"[0.23076923076923078, 0.7692307692307693, 0.0]"
1,y5kzhz,"[0.2, 0.8, 0.0]"
2,y5xrda,"[0.3465346534653465, 0.6534653465346535, 0.0]"
3,y61ylw,"[0.3333333333333333, 0.6666666666666666, 0.0]"
4,y5q0bu,"[0.42857142857142855, 0.5714285714285714, 0.0]"
5,y4s9z2,"[0.3069306930693069, 0.693069306930693, 0.0]"
6,y5hvzl,"[0.5555555555555556, 0.4444444444444444, 0.0]"
7,y5mg1f,"[0.21428571428571427, 0.7857142857142857, 0.0]"
8,y32q1l,"[0.21782178217821782, 0.7821782178217822, 0.0]"
9,y5kxfr,"[0.6666666666666666, 0.3333333333333333, 0.0]"
10,y4wxyn,"[0.41935483870967744, 0.5806451612903226, 0.0]"
11,y5gk55,"[1.0, 0.0, 0.0]"
12,y51m32,"[0.1875, 0.8125, 0.0]"
13,y4d9vv,"[0.18181818181818182, 0.8181818181818182, 0.0]"
14,y57zwv,"[1.0, 0.0, 0.0]"
15,y6e625,"[0.25, 0.75, 0.0]"
16,y4tqg0,"[0.6666666666666666, 0.3333333333333333, 0.0]"
17,y58ik9,"[0.3333333333333333, 0.6666666666666666, 0.0]"
18,y2yi42,"[0.3793103448275862, 0.6206896551724138, 0.0]"
19,y4c0da,"[0.16666666666666666, 0.8333333333333334, 0.0]"
20,y3ew78,"[0.4166666666666667, 0.5833333333333334, 0.0]"
21,y5xril,"[0.4166666666666667, 0.5833333333333334, 0.0]"
22,y59xyj,"[0.18181818181818182, 0.8181818181818182, 0.0]"
23,y5koqe,"[0.41304347826086957, 0.5869565217391305, 0.0]"
24,y3nq99,"[0.6666666666666666, 0.3333333333333333, 0.0]"
25,y5wbz4,"[0.4444444444444444, 0.5555555555555556, 0.0]"
26,y60fmx,"[0.28205128205128205, 0.717948717948718, 0.0]"
27,y5xx8g,"[0.5, 0.5, 0.0]"
28,y5pr1q,"[0.5, 0.5, 0.0]"
29,y42y5n,"[0.2, 0.8, 0.0]"
30,y5lsza,"[0.36363636363636365, 0.6363636363636364, 0.0]"
31,y4fb84,"[0.2222222222222222, 0.7777777777777778, 0.0]"
32,y5w8pj,"[0.2727272727272727, 0.7272727272727273, 0.0]"
33,y3p8ol,"[0.19047619047619047, 0.8095238095238095, 0.0]"
34,y53ijf,"[0.5, 0.5, 0.0]"
35,y5g7hh,"[0.2, 0.8, 0.0]"
36,y5p0is,"[0.13333333333333333, 0.8666666666666667, 0.0]"
37,y4ywir,"[1.0, 0.0, 0.0]"
38,y5aasl,"[1.0, 0.0, 0.0]"
39,y40n8i,"[0.22972972972972974, 0.7702702702702703, 0.0]"
40,y4b7dg,"[0.3333333333333333, 0.6666666666666666, 0.0]"
41,y4n0o9,"[0.5, 0.5, 0.0]"
42,y45242,"[0.2222222222222222, 0.7777777777777778, 0.0]"
43,y4ya0k,"[0.3333333333333333, 0.6666666666666666, 0.0]"
44,y5t3lq,"[0.40594059405940597, 0.594059405940594, 0.0]"
45,y4xfer,"[0.4, 0.6, 0.0]"
46,y4szfa,"[0.3333333333333333, 0.6666666666666666, 0.0]"
47,y3l4bf,"[0.2857142857142857, 0.7142857142857143, 0.0]"
48,y34nws,"[0.36363636363636365, 0.6363636363636364, 0.0]"
49,y5e5hr,"[0.16666666666666666, 0.8333333333333334, 0.0]"
50,y408y8,"[0.4, 0.6, 0.0]"
51,y4z0ye,"[0.24752475247524752, 0.7524752475247525, 0.0]"
52,y4l19s,"[0.27722772277227725, 0.7227722772277227, 0.0]"
53,y5lja9,"[0.5714285714285714, 0.42857142857142855, 0.0]"
54,y5h3h5,"[0.5, 0.5, 0.0]"
55,y4h1sw,"[0.36363636363636365, 0.6363636363636364, 0.0]"
56,y466sm,"[0.25, 0.75, 0.0]"
57,y5hafd,"[0.36231884057971014, 0.6376811594202898, 0.0]"
58,y4wo2j,"[0.25742574257425743, 0.7425742574257426, 0.0]"
59,y46h7r,"[0.18181818181818182, 0.8181818181818182, 0.0]"
60,y5xlg8,"[0.2857142857142857, 0.7142857142857143, 0.0]"
61,y3yw4t,"[0.42857142857142855, 0.5714285714285714, 0.0]"
62,y6gmjq,"[0.3333333333333333, 0.6666666666666666, 0.0]"
63,y68xle,"[0.42857142857142855, 0.5714285714285714, 0.0]"
64,y4reii,"[0.26666666666666666, 0.7333333333333333, 0.0]"
65,y5w3qo,"[0.3333333333333333, 0.6666666666666666, 0.0]"
66,y5pt0c,"[0.6666666666666666, 0.3333333333333333, 0.0]"
67,y5rfru,"[0.3333333333333333, 0.6666666666666666, 0.0]"
68,y6dm1c,"[0.3076923076923077, 0.6923076923076923, 0.0]"
