,MemeID,CommentScore
0,xqwybi,"[0, 0, 0]"
1,wsbbpk,"[1.0, 0.0, 0.0]"
2,wwcfqn,"[0, 0, 0]"
3,uk6z0h,"[0.7777777777777778, 0.2222222222222222, 0.0]"
4,uytb96,"[0.5, 0.5, 0.0]"
5,xq9c5z,"[0, 0, 0]"
6,tqqiqo,"[0.875, 0.125, 0.0]"
7,udamzt,"[1.0, 0.0, 0.0]"
8,xevw76,"[1.0, 0.0, 0.0]"
9,uplnig,"[0.7567567567567568, 0.24324324324324326, 0.0]"
10,wmle2p,"[0, 0, 0]"
11,wl6lxc,"[1.0, 0.0, 0.0]"
12,x8dqkn,"[0.75, 0.25, 0.0]"
13,xgkpth,"[0.8, 0.2, 0.0]"
14,wf8frs,"[0.875, 0.125, 0.0]"
15,vg0300,"[0, 0, 0]"
16,xc6upp,"[1.0, 0.0, 0.0]"
17,x1ld1x,"[1.0, 0.0, 0.0]"
18,wumqow,"[1.0, 0.0, 0.0]"
19,vy4dnu,"[1.0, 0.0, 0.0]"
20,v3a4hb,"[0.9375, 0.0625, 0.0]"
21,vpcc8a,"[0, 0, 0]"
22,xjznhr,"[1.0, 0.0, 0.0]"
23,ujop41,"[0.96875, 0.03125, 0.0]"
24,w4kmu5,"[1.0, 0.0, 0.0]"
25,wsmxof,"[0, 0, 0]"
26,x1c1wy,"[0, 0, 0]"
27,uq1pi2,"[0.45454545454545453, 0.5454545454545454, 0.0]"
28,use7lt,"[0.5, 0.5, 0.0]"
29,wqjcdc,"[0.5, 0.5, 0.0]"
30,vr97xa,"[1.0, 0.0, 0.0]"
31,wltaiw,"[0, 0, 0]"
32,xiif27,"[0, 0, 0]"
33,vqa7us,"[1.0, 0.0, 0.0]"
34,xmr7nr,"[0, 0, 0]"
35,wpxg10,"[1.0, 0.0, 0.0]"
36,xudrnf,"[0.0, 1.0, 0.0]"
37,wo9cp1,"[0.5, 0.5, 0.0]"
38,xty6ia,"[0, 0, 0]"
39,x5ggtw,"[0.8, 0.2, 0.0]"
40,xxrqcc,"[0, 0, 0]"
41,x73ery,"[1.0, 0.0, 0.0]"
42,x0njdn,"[1.0, 0.0, 0.0]"
43,v6o2qy,"[1.0, 0.0, 0.0]"
44,urdz38,"[1.0, 0.0, 0.0]"
45,wdaqy2,"[1.0, 0.0, 0.0]"
46,vi1c0d,"[0.7142857142857143, 0.2857142857142857, 0.0]"
47,v4q4th,"[1.0, 0.0, 0.0]"
48,wotx92,"[1.0, 0.0, 0.0]"
49,w962k6,"[0, 0, 0]"
50,xk6lzd,"[0, 0, 0]"
51,y61drd,"[1.0, 0.0, 0.0]"
52,vcojws,"[0, 0, 0]"
53,xid1i9,"[0, 0, 0]"
54,v5nhbl,"[0.9375, 0.0625, 0.0]"
55,vp6qrz,"[1.0, 0.0, 0.0]"
56,v9ch12,"[1.0, 0.0, 0.0]"
57,ucxdr1,"[0, 0, 0]"
58,xamc07,"[1.0, 0.0, 0.0]"
59,v8h242,"[0, 0, 0]"
60,y1vjcp,"[0, 0, 0]"
61,wcgps4,"[1.0, 0.0, 0.0]"
62,tq38j7,"[0.6666666666666666, 0.3333333333333333, 0.0]"
63,uvdqkl,"[1.0, 0.0, 0.0]"
64,w1trhx,"[0.7894736842105263, 0.21052631578947367, 0.0]"
65,y1vh81,"[1.0, 0.0, 0.0]"
66,wk7exk,"[0.875, 0.125, 0.0]"
67,vm3gzu,"[1.0, 0.0, 0.0]"
68,wgvakz,"[1.0, 0.0, 0.0]"
69,x412dv,"[0, 0, 0]"
70,xa5k06,"[0, 0, 0]"
71,wlvvue,"[0, 0, 0]"
72,x0o37e,"[0, 0, 0]"
73,vyrhc5,"[0.5, 0.5, 0.0]"
74,xuav9i,"[0, 0, 0]"
75,y2knu7,"[0, 0, 0]"
76,vsqryk,"[0, 0, 0]"
77,wcmiiq,"[0, 0, 0]"
78,wvvc3d,"[0, 0, 0]"
79,tugbep,"[1.0, 0.0, 0.0]"
80,u3ojq0,"[1.0, 0.0, 0.0]"
81,xmeilc,"[0.5, 0.5, 0.0]"
82,xk3qyk,"[0, 0, 0]"
83,vexig3,"[1.0, 0.0, 0.0]"
84,xynmfn,"[1.0, 0.0, 0.0]"
85,y69mxi,"[1.0, 0.0, 0.0]"
86,vobwx9,"[0.9655172413793104, 0.034482758620689655, 0.0]"
87,vltgpg,"[1.0, 0.0, 0.0]"
88,xen64j,"[0, 0, 0]"
89,xup6it,"[0, 0, 0]"
90,tzdojd,"[0, 0, 0]"
91,uj5m9w,"[1.0, 0.0, 0.0]"
92,wcbviw,"[0, 0, 0]"
93,u9zb17,"[0.8666666666666667, 0.13333333333333333, 0.0]"
94,xqj1g3,"[0.875, 0.125, 0.0]"
95,x5ebjc,"[0, 0, 0]"
96,y3ndt6,"[0, 0, 0]"
97,xwjq8t,"[0, 0, 0]"
98,wodzqy,"[0, 0, 0]"
99,w49s04,"[1.0, 0.0, 0.0]"
100,ustfup,"[1.0, 0.0, 0.0]"
101,y672gw,"[0, 0, 0]"
102,vedgg4,"[1.0, 0.0, 0.0]"
103,xzhoxf,"[1.0, 0.0, 0.0]"
104,ua3vwb,"[1.0, 0.0, 0.0]"
105,u0c8zm,"[0.8333333333333334, 0.16666666666666666, 0.0]"
106,wo3n7r,"[0.875, 0.125, 0.0]"
107,xwwhwh,"[0, 0, 0]"
108,y74fhl,"[1.0, 0.0, 0.0]"
109,xod9eo,"[1.0, 0.0, 0.0]"
110,uq0wdw,"[0.6666666666666666, 0.3333333333333333, 0.0]"
111,x4ots7,"[1.0, 0.0, 0.0]"
112,w2t4f8,"[0.8777777777777778, 0.12222222222222222, 0.0]"
113,vq126r,"[0.5, 0.5, 0.0]"
114,xukj1v,"[0.7777777777777778, 0.2222222222222222, 0.0]"
115,xbpg37,"[1.0, 0.0, 0.0]"
116,xqwtl6,"[1.0, 0.0, 0.0]"
117,y3ljmh,"[1.0, 0.0, 0.0]"
118,uqpjcp,"[1.0, 0.0, 0.0]"
119,u49jqw,"[1.0, 0.0, 0.0]"
120,u0cls0,"[0, 0, 0]"
121,wn50lv,"[1.0, 0.0, 0.0]"
122,xgy29v,"[1.0, 0.0, 0.0]"
123,txavkw,"[1.0, 0.0, 0.0]"
124,x8dpkd,"[0.8571428571428571, 0.14285714285714285, 0.0]"
125,y5nvwg,"[1.0, 0.0, 0.0]"
126,xx6gxt,"[0, 0, 0]"
127,xuojyb,"[0, 0, 0]"
128,y0kqg6,"[0, 0, 0]"
129,y11l9m,"[0.5, 0.5, 0.0]"
130,ugksfe,"[1.0, 0.0, 0.0]"
131,x5e62x,"[0, 0, 0]"
132,y5l5uy,"[0, 0, 0]"
133,xk3is0,"[0, 0, 0]"
134,u13gyv,"[0.9166666666666666, 0.08333333333333333, 0.0]"
135,y652oi,"[1.0, 0.0, 0.0]"
136,wzxgt5,"[1.0, 0.0, 0.0]"
137,vwflkr,"[1.0, 0.0, 0.0]"
138,wlgc13,"[0.75, 0.25, 0.0]"
139,wlgucj,"[0, 0, 0]"
140,u7b6nh,"[0.8823529411764706, 0.11764705882352941, 0.0]"
141,vtoqdk,"[0.8571428571428571, 0.14285714285714285, 0.0]"
142,xz0qfx,"[0, 0, 0]"
143,uvh232,"[0.7777777777777778, 0.2222222222222222, 0.0]"
144,y4n983,"[0.75, 0.25, 0.0]"
145,xxuq5j,"[0, 0, 0]"
146,wszcw3,"[1.0, 0.0, 0.0]"
147,x3bvwu,"[1.0, 0.0, 0.0]"
148,u3i0mq,"[0.8571428571428571, 0.14285714285714285, 0.0]"
149,xyjhra,"[0.6666666666666666, 0.3333333333333333, 0.0]"
150,xyu0vd,"[0, 0, 0]"
151,woszmo,"[0, 0, 0]"
152,uvckcb,"[0, 0, 0]"
153,useifu,"[1.0, 0.0, 0.0]"
154,voz2z7,"[1.0, 0.0, 0.0]"
155,xgesgt,"[1.0, 0.0, 0.0]"
156,wk2mqu,"[1.0, 0.0, 0.0]"
157,tqcn6r,"[0, 0, 0]"
158,w50lqs,"[0, 0, 0]"
159,uv1eqg,"[0.8421052631578947, 0.15789473684210525, 0.0]"
160,wtzquj,"[1.0, 0.0, 0.0]"
161,x1fdpw,"[0, 0, 0]"
162,wracc8,"[1.0, 0.0, 0.0]"
163,ugks9o,"[1.0, 0.0, 0.0]"
164,xdee9e,"[0, 0, 0]"
165,xuah9m,"[1.0, 0.0, 0.0]"
166,x2xexb,"[1.0, 0.0, 0.0]"
167,waxzyu,"[1.0, 0.0, 0.0]"
168,wqqeil,"[0, 0, 0]"
169,y2qo7f,"[0.7857142857142857, 0.21428571428571427, 0.0]"
170,wkwgup,"[1.0, 0.0, 0.0]"
171,x25wev,"[0, 0, 0]"
172,y5cvgl,"[0.3333333333333333, 0.6666666666666666, 0.0]"
173,u0fddr,"[1.0, 0.0, 0.0]"
174,vwe5i5,"[1.0, 0.0, 0.0]"
175,vgtjff,"[1.0, 0.0, 0.0]"
176,uvxmgr,"[1.0, 0.0, 0.0]"
177,uty54f,"[0, 0, 0]"
178,w0jehk,"[0, 0, 0]"
179,u8p797,"[1.0, 0.0, 0.0]"
180,vh77j5,"[0.8666666666666667, 0.13333333333333333, 0.0]"
181,y7383n,"[0, 0, 0]"
182,u4xm8b,"[1.0, 0.0, 0.0]"
183,vxgw6q,"[0, 0, 0]"
184,vpqopy,"[1.0, 0.0, 0.0]"
185,xj6rl0,"[0, 0, 0]"
186,ut2gc8,"[0.8333333333333334, 0.16666666666666666, 0.0]"
187,uoukgr,"[0.9285714285714286, 0.07142857142857142, 0.0]"
188,xcevtt,"[0, 0, 0]"
189,vdgk15,"[1.0, 0.0, 0.0]"
190,vshu1y,"[1.0, 0.0, 0.0]"
191,tvs5l2,"[0.9285714285714286, 0.07142857142857142, 0.0]"
192,wti7zn,"[0, 0, 0]"
193,u5my2x,"[1.0, 0.0, 0.0]"
194,uq39np,"[0.7647058823529411, 0.23529411764705882, 0.0]"
195,ugkl12,"[1.0, 0.0, 0.0]"
196,tvnhtr,"[0, 0, 0]"
197,y59djw,"[0, 0, 0]"
198,vbyyv3,"[0, 0, 0]"
199,w7px9n,"[0.3333333333333333, 0.6666666666666666, 0.0]"
200,xgrn7l,"[0, 0, 0]"
201,y2wbuk,"[1.0, 0.0, 0.0]"
202,vzl6kf,"[0.6363636363636364, 0.36363636363636365, 0.0]"
203,v6rrhi,"[1.0, 0.0, 0.0]"
204,vp49rz,"[1.0, 0.0, 0.0]"
205,w7secl,"[1.0, 0.0, 0.0]"
206,xesfm1,"[0.6666666666666666, 0.3333333333333333, 0.0]"
207,vzvx8m,"[1.0, 0.0, 0.0]"
208,voe862,"[0, 0, 0]"
209,xzq04j,"[1.0, 0.0, 0.0]"
210,xtxvg9,"[0, 0, 0]"
211,xhlu33,"[0, 0, 0]"
212,xhc0yc,"[0, 0, 0]"
213,xlpwyy,"[0.5, 0.5, 0.0]"
214,uq9wmf,"[1.0, 0.0, 0.0]"
215,xtrg5u,"[0, 0, 0]"
216,vsholp,"[0, 0, 0]"
217,urtrfp,"[1.0, 0.0, 0.0]"
218,utvur8,"[0.9, 0.1, 0.0]"
219,vcs0ic,"[0, 0, 0]"
220,y6yh4f,"[0, 0, 0]"
221,vmi3m7,"[0, 0, 0]"
222,w2vcad,"[1.0, 0.0, 0.0]"
223,xbgtww,"[1.0, 0.0, 0.0]"
224,xvigv5,"[0.0, 1.0, 0.0]"
225,y5ge37,"[0, 0, 0]"
226,ve8i9m,"[1.0, 0.0, 0.0]"
227,v64hoy,"[0, 0, 0]"
228,xs01ye,"[0, 0, 0]"
229,xf8ksv,"[1.0, 0.0, 0.0]"
230,x3wkc5,"[0, 0, 0]"
231,wq32we,"[1.0, 0.0, 0.0]"
232,xx873w,"[0, 0, 0]"
233,vl4iia,"[0.6666666666666666, 0.3333333333333333, 0.0]"
234,voxklj,"[1.0, 0.0, 0.0]"
235,v2irdm,"[0.5, 0.5, 0.0]"
236,ukuine,"[1.0, 0.0, 0.0]"
237,uqwg6f,"[0, 0, 0]"
238,u9hdf5,"[1.0, 0.0, 0.0]"
239,wii2z9,"[1.0, 0.0, 0.0]"
240,vptfh8,"[0, 0, 0]"
241,v2lex5,"[0.8333333333333334, 0.16666666666666666, 0.0]"
242,ugpm08,"[0.75, 0.25, 0.0]"
243,vvj4my,"[1.0, 0.0, 0.0]"
244,v59v8p,"[0.8181818181818182, 0.18181818181818182, 0.0]"
245,xrygux,"[1.0, 0.0, 0.0]"
246,vpjxu8,"[0, 0, 0]"
247,w0l1xg,"[1.0, 0.0, 0.0]"
248,vg0y4l,"[0.0, 1.0, 0.0]"
249,y4mi2x,"[1.0, 0.0, 0.0]"
250,vkyqz3,"[1.0, 0.0, 0.0]"
251,vu920e,"[1.0, 0.0, 0.0]"
252,w3soer,"[1.0, 0.0, 0.0]"
253,wmf3ov,"[0.6, 0.4, 0.0]"
254,x0km75,"[1.0, 0.0, 0.0]"
255,vxx6xl,"[0.75, 0.25, 0.0]"
256,wlvaf1,"[0, 0, 0]"
257,v7uxhy,"[0.8181818181818182, 0.18181818181818182, 0.0]"
258,xxcwzl,"[0, 0, 0]"
259,y6vfr5,"[0, 0, 0]"
260,wxd9ms,"[1.0, 0.0, 0.0]"
261,xlugi2,"[0.9166666666666666, 0.08333333333333333, 0.0]"
262,x0by2c,"[0, 0, 0]"
263,w54umr,"[0.9672131147540983, 0.03278688524590164, 0.0]"
264,w58q6k,"[0, 0, 0]"
265,vmqh95,"[1.0, 0.0, 0.0]"
266,w89rw1,"[0, 0, 0]"
267,wpqut1,"[1.0, 0.0, 0.0]"
268,w9ygxh,"[1.0, 0.0, 0.0]"
269,xv8bl5,"[0, 0, 0]"
