,MemeID,CommentScore
0,wywt04,"[0.5789473684210527, 0.42105263157894735, 0.0]"
1,x4utnu,"[0.5555555555555556, 0.4444444444444444, 0.0]"
2,xqdgxv,"[0.6923076923076923, 0.3076923076923077, 0.0]"
3,x34r8c,"[0.5, 0.5, 0.0]"
4,xdvx2o,"[0.25, 0.75, 0.0]"
5,wspx4z,"[0.7333333333333333, 0.26666666666666666, 0.0]"
6,xi2u8g,"[0.6732673267326733, 0.32673267326732675, 0.0]"
7,xqisfb,"[0.2, 0.8, 0.0]"
8,x6euc5,"[0.35714285714285715, 0.6428571428571429, 0.0]"
9,xdjhz8,"[0.5978260869565217, 0.40217391304347827, 0.0]"
10,xolf6w,"[0.4166666666666667, 0.5833333333333334, 0.0]"
11,xntirj,"[0.35294117647058826, 0.6470588235294118, 0.0]"
12,wv30vb,"[0.6153846153846154, 0.38461538461538464, 0.0]"
13,y41tk2,"[0.5185185185185185, 0.48148148148148145, 0.0]"
14,wu3g3t,"[1.0, 0.0, 0.0]"
15,xgkk8u,"[0.6831683168316832, 0.31683168316831684, 0.0]"
16,x7d3hd,"[0.5, 0.5, 0.0]"
17,xqgr5z,"[0.693069306930693, 0.3069306930693069, 0.0]"
18,wzoxg3,"[0.5641025641025641, 0.4358974358974359, 0.0]"
19,wrdzdg,"[0.7272727272727273, 0.2727272727272727, 0.0]"
20,xl5rdj,"[0.36363636363636365, 0.6363636363636364, 0.0]"
21,y67jvd,"[0.594059405940594, 0.40594059405940597, 0.0]"
22,wt47yz,"[0.34146341463414637, 0.6585365853658537, 0.0]"
23,y4u3w6,"[0.6, 0.4, 0.0]"
24,wzsr7b,"[0.0, 1.0, 0.0]"
25,wrjsht,"[0.5841584158415841, 0.4158415841584158, 0.0]"
26,xt2x8j,"[0.35714285714285715, 0.6428571428571429, 0.0]"
27,xudn4h,"[0.5714285714285714, 0.42857142857142855, 0.0]"
28,x3kxs8,"[0.8, 0.2, 0.0]"
29,wryjjz,"[0.7227722772277227, 0.27722772277227725, 0.0]"
30,wwnji8,"[0.7692307692307693, 0.23076923076923078, 0.0]"
31,xd9ymt,"[0.31683168316831684, 0.6831683168316832, 0.0]"
32,wxuc5q,"[0.625, 0.375, 0.0]"
33,wxk6u0,"[0.5875, 0.4125, 0.0]"
34,x504s9,"[0.8, 0.2, 0.0]"
35,xiyirv,"[0.3, 0.7, 0.0]"
36,xithrr,"[0.6, 0.4, 0.0]"
37,xtmro7,"[0.3333333333333333, 0.6666666666666666, 0.0]"
38,x2k9q6,"[0.5643564356435643, 0.43564356435643564, 0.0]"
39,xj9dg2,"[0.5841584158415841, 0.4158415841584158, 0.0]"
40,x3njib,"[0.6829268292682927, 0.3170731707317073, 0.0]"
41,y16wq4,"[0.9166666666666666, 0.08333333333333333, 0.0]"
42,xcvo71,"[0.7272727272727273, 0.2727272727272727, 0.0]"
43,y2uga3,"[0.38095238095238093, 0.6190476190476191, 0.0]"
44,xklr18,"[0.8518518518518519, 0.14814814814814814, 0.0]"
45,xdgyqi,"[0.5, 0.5, 0.0]"
46,xku98f,"[0.65, 0.35, 0.0]"
47,wtb23f,"[0.8888888888888888, 0.1111111111111111, 0.0]"
48,wrfx3c,"[0.594059405940594, 0.40594059405940597, 0.0]"
49,wyioih,"[0.5263157894736842, 0.47368421052631576, 0.0]"
50,x5q4w5,"[0.4666666666666667, 0.5333333333333333, 0.0]"
51,xi9pbi,"[0.7623762376237624, 0.2376237623762376, 0.0]"
52,x94t2v,"[0.5875, 0.4125, 0.0]"
53,xl9il2,"[1.0, 0.0, 0.0]"
54,xcc9ik,"[0.3333333333333333, 0.6666666666666666, 0.0]"
55,xoov03,"[0.3333333333333333, 0.6666666666666666, 0.0]"
56,xt9sla,"[0.5894736842105263, 0.4105263157894737, 0.0]"
57,xiecpp,"[0.6363636363636364, 0.36363636363636365, 0.0]"
58,xwdutr,"[0.5384615384615384, 0.46153846153846156, 0.0]"
59,wwiwwh,"[0.4, 0.6, 0.0]"
60,wtl5cy,"[0.75, 0.25, 0.0]"
61,xxanbk,"[0.5, 0.5, 0.0]"
62,y0flx5,"[0.5454545454545454, 0.45454545454545453, 0.0]"
63,xe7hmc,"[0.5555555555555556, 0.4444444444444444, 0.0]"
64,y4z3yh,"[0.6923076923076923, 0.3076923076923077, 0.0]"
65,x9s3v4,"[0.5555555555555556, 0.4444444444444444, 0.0]"
66,xuj4x5,"[0.4, 0.6, 0.0]"
67,xq713r,"[0.76, 0.24, 0.0]"
68,xer2z2,"[0.5, 0.5, 0.0]"
69,x3qn44,"[0.3, 0.7, 0.0]"
70,xelj24,"[0.4782608695652174, 0.5217391304347826, 0.0]"
71,wxg9ra,"[0.5643564356435643, 0.43564356435643564, 0.0]"
72,xm2vql,"[0.875, 0.125, 0.0]"
73,x4aj4x,"[0.7377049180327869, 0.26229508196721313, 0.0]"
74,wz9r0e,"[0.43243243243243246, 0.5675675675675675, 0.0]"
75,xzt9cz,"[0.7307692307692307, 0.2692307692307692, 0.0]"
76,wuonc0,"[0.1111111111111111, 0.8888888888888888, 0.0]"
77,xxdd8k,"[0.6521739130434783, 0.34782608695652173, 0.0]"
78,y703i4,"[0.7692307692307693, 0.23076923076923078, 0.0]"
79,xnr1kf,"[1.0, 0.0, 0.0]"
80,xx5150,"[0.2857142857142857, 0.7142857142857143, 0.0]"
81,xbnlmk,"[0.6530612244897959, 0.3469387755102041, 0.0]"
82,xl7qz0,"[0.6153846153846154, 0.38461538461538464, 0.0]"
83,wuwvjk,"[0, 0, 0]"
84,x1jr3g,"[0.5058823529411764, 0.49411764705882355, 0.0]"
85,xxxmn7,"[0.4, 0.6, 0.0]"
86,x0y3en,"[0.6831683168316832, 0.31683168316831684, 0.0]"
87,xlnrsy,"[0.75, 0.25, 0.0]"
88,y2axxp,"[0.6666666666666666, 0.3333333333333333, 0.0]"
89,wvcngx,"[0.6, 0.4, 0.0]"
90,x4xsny,"[0.4444444444444444, 0.5555555555555556, 0.0]"
91,y2atj1,"[0.54, 0.46, 0.0]"
92,wwfpqz,"[0.5454545454545454, 0.45454545454545453, 0.0]"
93,xfsrgt,"[0.5526315789473685, 0.4473684210526316, 0.0]"
94,y6alm5,"[0.5849056603773585, 0.41509433962264153, 0.0]"
95,xhbzf0,"[0.42857142857142855, 0.5714285714285714, 0.0]"
