,MemeID,CommentScore
0,y32eon,"[1.0, 0.0, 0.0]"
1,y3rsjj,"[1.0, 0.0, 0.0]"
2,y5d7us,"[1.0, 0.0, 0.0]"
3,y4zd36,"[0.7524752475247525, 0.24752475247524752, 0.0]"
4,y3rn9x,"[0.6666666666666666, 0.3333333333333333, 0.0]"
5,y33hux,"[0.8, 0.2, 0.0]"
6,y3j3u7,"[1.0, 0.0, 0.0]"
7,y2ship,"[0.7333333333333333, 0.26666666666666666, 0.0]"
8,y5axj1,"[1.0, 0.0, 0.0]"
9,y2j6t3,"[0, 0, 0]"
10,y59zzn,"[1.0, 0.0, 0.0]"
11,y5cbnk,"[1.0, 0.0, 0.0]"
12,y5ph8p,"[1.0, 0.0, 0.0]"
13,y32vva,"[0.5, 0.5, 0.0]"
14,y2kv1j,"[0.8888888888888888, 0.1111111111111111, 0.0]"
15,y5gfv8,"[0.75, 0.25, 0.0]"
16,y3zozv,"[1.0, 0.0, 0.0]"
17,y2w4h7,"[0, 0, 0]"
18,y1zymn,"[0.8571428571428571, 0.14285714285714285, 0.0]"
19,y54wrj,"[1.0, 0.0, 0.0]"
20,y33z1y,"[0, 0, 0]"
21,y5f1dx,"[1.0, 0.0, 0.0]"
22,y5klv7,"[0, 0, 0]"
23,y47wyv,"[1.0, 0.0, 0.0]"
24,y2icpz,"[0, 0, 0]"
25,y39ktg,"[1.0, 0.0, 0.0]"
26,y42qod,"[0, 0, 0]"
27,y2dj3a,"[1.0, 0.0, 0.0]"
28,y67anh,"[1.0, 0.0, 0.0]"
29,y3tk9u,"[0.6486486486486487, 0.35135135135135137, 0.0]"
30,y3ckby,"[0.3333333333333333, 0.6666666666666666, 0.0]"
31,y472p4,"[0.0, 1.0, 0.0]"
32,y396mh,"[1.0, 0.0, 0.0]"
33,y4jxla,"[0.0, 1.0, 0.0]"
34,y40dbm,"[1.0, 0.0, 0.0]"
35,y5mxa3,"[0, 0, 0]"
36,y241ie,"[0.5, 0.5, 0.0]"
37,y5osks,"[1.0, 0.0, 0.0]"
38,y3nlfj,"[1.0, 0.0, 0.0]"
39,y3gv1j,"[1.0, 0.0, 0.0]"
40,y4kuz0,"[1.0, 0.0, 0.0]"
41,y3z9eo,"[0, 0, 0]"
42,y6fsff,"[0.9285714285714286, 0.07142857142857142, 0.0]"
43,y2cqn4,"[0, 0, 0]"
44,y3dzc3,"[0.0, 1.0, 0.0]"
45,y2n6nd,"[1.0, 0.0, 0.0]"
46,y3x1as,"[0.8333333333333334, 0.16666666666666666, 0.0]"
47,y31h8o,"[0, 0, 0]"
48,y289p0,"[0.8, 0.2, 0.0]"
49,y4lhsh,"[0.78125, 0.21875, 0.0]"
50,y69j0v,"[0.6, 0.4, 0.0]"
51,y4s04z,"[0, 0, 0]"
52,y4y36v,"[1.0, 0.0, 0.0]"
53,y50vuu,"[0.6428571428571429, 0.35714285714285715, 0.0]"
54,y5c6lw,"[1.0, 0.0, 0.0]"
55,y3edwm,"[0, 0, 0]"
56,y3enmo,"[0.9166666666666666, 0.08333333333333333, 0.0]"
57,y2qcwm,"[1.0, 0.0, 0.0]"
58,y52brs,"[1.0, 0.0, 0.0]"
59,y5arnl,"[0.75, 0.25, 0.0]"
60,y22fyx,"[0.8676470588235294, 0.1323529411764706, 0.0]"
61,y3poyz,"[0, 0, 0]"
62,y5992z,"[0.8888888888888888, 0.1111111111111111, 0.0]"
63,y33dxj,"[0, 0, 0]"
64,y2iesg,"[0.5, 0.5, 0.0]"
65,y5mwgv,"[0.8727272727272727, 0.12727272727272726, 0.0]"
66,y3o9dw,"[1.0, 0.0, 0.0]"
67,y62ei7,"[0, 0, 0]"
68,y472a9,"[1.0, 0.0, 0.0]"
69,y2kyef,"[0.6666666666666666, 0.3333333333333333, 0.0]"
70,y35omk,"[0.0, 1.0, 0.0]"
71,y6bzbf,"[1.0, 0.0, 0.0]"
72,y4dard,"[0, 0, 0]"
73,y32wlu,"[0.6732673267326733, 0.32673267326732675, 0.0]"
74,y4ccyt,"[1.0, 0.0, 0.0]"
75,y6cgj3,"[0, 0, 0]"
76,y5phyj,"[1.0, 0.0, 0.0]"
77,y4xl6n,"[1.0, 0.0, 0.0]"
78,y5wug1,"[0, 0, 0]"
79,y37e8i,"[0, 0, 0]"
80,y5wqdw,"[0.5, 0.5, 0.0]"
81,y34b2w,"[0, 0, 0]"
82,y617c4,"[1.0, 0.0, 0.0]"
83,y33mhh,"[0.8333333333333334, 0.16666666666666666, 0.0]"
84,y4ur8t,"[0, 0, 0]"
85,y3c4q1,"[0.6666666666666666, 0.3333333333333333, 0.0]"
86,y666wm,"[1.0, 0.0, 0.0]"
87,y3yohn,"[0, 0, 0]"
88,y6cqje,"[0.7, 0.3, 0.0]"
89,y2sls3,"[1.0, 0.0, 0.0]"
90,y5lu5d,"[0, 0, 0]"
91,y4b7sq,"[0, 0, 0]"
92,y3jd2p,"[0, 0, 0]"
93,y43k0t,"[0, 0, 0]"
94,y3655p,"[0.8888888888888888, 0.1111111111111111, 0.0]"
95,y31xoj,"[0, 0, 0]"
96,y6ap8j,"[0.0, 1.0, 0.0]"
97,y2hsi9,"[1.0, 0.0, 0.0]"
98,y5f0qa,"[1.0, 0.0, 0.0]"
99,y3cp8o,"[0.8333333333333334, 0.16666666666666666, 0.0]"
100,y4rwzq,"[0, 0, 0]"
101,y3nlxt,"[1.0, 0.0, 0.0]"
102,y3ne5v,"[0, 0, 0]"
103,y3gfry,"[1.0, 0.0, 0.0]"
104,y571c6,"[1.0, 0.0, 0.0]"
105,y2iasu,"[0.6666666666666666, 0.3333333333333333, 0.0]"
106,y3qdxa,"[0.7029702970297029, 0.297029702970297, 0.0]"
107,y668bz,"[0, 0, 0]"
108,y5le0t,"[0.8316831683168316, 0.16831683168316833, 0.0]"
109,y5dkvf,"[0, 0, 0]"
110,y272dj,"[0, 0, 0]"
111,y3afqt,"[1.0, 0.0, 0.0]"
112,y5752n,"[0, 0, 0]"
113,y3vxm2,"[1.0, 0.0, 0.0]"
114,y657uu,"[1.0, 0.0, 0.0]"
115,y5pxk5,"[0.0, 1.0, 0.0]"
116,y1xo5k,"[0.75, 0.25, 0.0]"
117,y5pyeg,"[0, 0, 0]"
118,y614ou,"[1.0, 0.0, 0.0]"
119,y3fxy8,"[0, 0, 0]"
120,y3vlm1,"[1.0, 0.0, 0.0]"
121,y6csp3,"[1.0, 0.0, 0.0]"
122,y4rta5,"[1.0, 0.0, 0.0]"
123,y4nnzs,"[0.8333333333333334, 0.16666666666666666, 0.0]"
124,y2szow,"[1.0, 0.0, 0.0]"
125,y2nntj,"[0, 0, 0]"
126,y358xl,"[0.7425742574257426, 0.25742574257425743, 0.0]"
127,y3nljk,"[1.0, 0.0, 0.0]"
128,y33x4e,"[0, 0, 0]"
129,y6dyqp,"[0.3333333333333333, 0.6666666666666666, 0.0]"
130,y48k8a,"[0.0, 1.0, 0.0]"
131,y46sgm,"[0, 0, 0]"
132,y64223,"[0, 0, 0]"
133,y4ijbr,"[0, 0, 0]"
