,MemeID,CommentScore
0,u00xl5,"[0, 0, 0]"
1,xfa9hl,"[0.0, 1.0, 0.0]"
2,skvbfv,"[0.0, 1.0, 0.0]"
3,un1dlr,"[0.0, 1.0, 0.0]"
4,uryeuj,"[0.0, 1.0, 0.0]"
5,ua7kj7,"[0.0, 1.0, 0.0]"
6,xnw28l,"[0.0, 1.0, 0.0]"
7,v6yklk,"[0.0, 1.0, 0.0]"
8,x88asj,"[0.0, 1.0, 0.0]"
9,syqyp1,"[0.0, 1.0, 0.0]"
10,ucflqp,"[0.0, 1.0, 0.0]"
11,xm7bid,"[0.0, 1.0, 0.0]"
12,uvbozg,"[0.0, 1.0, 0.0]"
13,xrfu5a,"[0.0, 1.0, 0.0]"
14,sh2exv,"[0.0, 1.0, 0.0]"
15,t74895,"[0.0, 1.0, 0.0]"
16,u4m5zw,"[0.0, 1.0, 0.0]"
17,wjupf2,"[0.0, 1.0, 0.0]"
18,wztw63,"[0.0, 1.0, 0.0]"
19,ww14b0,"[0, 0, 0]"
20,sfo6db,"[0.0, 1.0, 0.0]"
21,u1xxlq,"[0.0, 1.0, 0.0]"
22,uzd8pe,"[0.0, 1.0, 0.0]"
23,t1m1as,"[0.0, 1.0, 0.0]"
24,thyr9p,"[0.0, 1.0, 0.0]"
25,x3bpcz,"[0, 0, 0]"
26,ss8a3l,"[0.0, 1.0, 0.0]"
27,t0apgu,"[0.0, 1.0, 0.0]"
28,u4vhe8,"[0.0, 1.0, 0.0]"
29,toz9qt,"[0.0, 1.0, 0.0]"
30,vkgu5h,"[0.0, 1.0, 0.0]"
31,ti6er8,"[0.0, 1.0, 0.0]"
32,uu2bfb,"[0.0, 1.0, 0.0]"
33,xcd6em,"[0.0, 1.0, 0.0]"
34,ti1yma,"[0.0, 1.0, 0.0]"
35,t5l88i,"[0.0, 1.0, 0.0]"
36,ue1d6l,"[0, 0, 0]"
37,te29ln,"[0.0, 1.0, 0.0]"
38,th2mwp,"[0.0, 1.0, 0.0]"
39,sdi1b3,"[0.0, 1.0, 0.0]"
40,v8jiht,"[0.0, 1.0, 0.0]"
41,xhxho0,"[0, 0, 0]"
42,u454p9,"[0.0, 1.0, 0.0]"
43,s1hjgb,"[0.0, 1.0, 0.0]"
44,u5oei2,"[0.0, 1.0, 0.0]"
45,xummmu,"[0.0, 1.0, 0.0]"
46,ubtofx,"[0.0, 1.0, 0.0]"
47,un1wmg,"[0.0, 1.0, 0.0]"
48,s7q9gd,"[0.0, 1.0, 0.0]"
49,trrmqq,"[0.0, 1.0, 0.0]"
50,u0ufq2,"[0.0, 1.0, 0.0]"
51,stshkm,"[0.0, 1.0, 0.0]"
52,swt8zi,"[0, 0, 0]"
53,sudyi1,"[0.0, 1.0, 0.0]"
54,wokui4,"[0, 0, 0]"
55,wpbc03,"[0.0, 1.0, 0.0]"
56,xjvarc,"[0.0, 1.0, 0.0]"
57,vl3jfs,"[0.0, 1.0, 0.0]"
58,t47u2t,"[0.0, 1.0, 0.0]"
59,sm21ma,"[0.0, 1.0, 0.0]"
60,w609yp,"[0.0, 1.0, 0.0]"
