,MemeID,CommentScore
0,y5k0ho,"[0.75, 0.25, 0.0]"
1,xsbudp,"[1.0, 0.0, 0.0]"
2,y5tldo,"[1.0, 0.0, 0.0]"
3,xs6j3c,"[1.0, 0.0, 0.0]"
4,y5ulun,"[1.0, 0.0, 0.0]"
5,y5c8vz,"[1.0, 0.0, 0.0]"
6,y5ifu9,"[1.0, 0.0, 0.0]"
7,y5n4rm,"[1.0, 0.0, 0.0]"
8,y5m1oy,"[1.0, 0.0, 0.0]"
9,y52e2x,"[0.8260869565217391, 0.17391304347826086, 0.0]"
10,xrsb1h,"[1.0, 0.0, 0.0]"
11,xr7orp,"[0.9259259259259259, 0.07407407407407407, 0.0]"
12,xsa0oh,"[1.0, 0.0, 0.0]"
13,xrhqg2,"[0.88, 0.12, 0.0]"
14,y5h20e,"[0.75, 0.25, 0.0]"
15,y4u6g4,"[0.8461538461538461, 0.15384615384615385, 0.0]"
16,y5njpt,"[1.0, 0.0, 0.0]"
17,y57mty,"[0.926829268292683, 0.07317073170731707, 0.0]"
18,y5jbcd,"[1.0, 0.0, 0.0]"
19,y5i4oo,"[1.0, 0.0, 0.0]"
20,y5kzgd,"[1.0, 0.0, 0.0]"
21,xqpykj,"[1.0, 0.0, 0.0]"
22,y5qdnj,"[1.0, 0.0, 0.0]"
23,xt3deq,"[1.0, 0.0, 0.0]"
24,y5d5rr,"[1.0, 0.0, 0.0]"
25,y68xcb,"[1.0, 0.0, 0.0]"
26,y5jn0d,"[1.0, 0.0, 0.0]"
27,xsalr9,"[1.0, 0.0, 0.0]"
28,y5gm5n,"[1.0, 0.0, 0.0]"
29,y5nnay,"[0.8571428571428571, 0.14285714285714285, 0.0]"
30,y5l8rl,"[1.0, 0.0, 0.0]"
31,y4plr3,"[0.9801980198019802, 0.019801980198019802, 0.0]"
32,xsbxsi,"[1.0, 0.0, 0.0]"
33,xsmi3o,"[1.0, 0.0, 0.0]"
34,y5dg4b,"[0.6666666666666666, 0.3333333333333333, 0.0]"
35,xqfgqu,"[1.0, 0.0, 0.0]"
36,y5njh9,"[1.0, 0.0, 0.0]"
37,y5r0nr,"[0.5, 0.5, 0.0]"
38,xs1r66,"[1.0, 0.0, 0.0]"
39,xs3ehn,"[0.8125, 0.1875, 0.0]"
40,xsbqtb,"[1.0, 0.0, 0.0]"
41,xqyyds,"[1.0, 0.0, 0.0]"
42,xqd2uj,"[0.85, 0.15, 0.0]"
43,y5b7d6,"[1.0, 0.0, 0.0]"
44,xsz9e2,"[1.0, 0.0, 0.0]"
45,y5oido,"[1.0, 0.0, 0.0]"
46,xsmb84,"[1.0, 0.0, 0.0]"
47,xs3bv6,"[1.0, 0.0, 0.0]"
48,xqqt3r,"[0.5, 0.5, 0.0]"
49,xrktou,"[1.0, 0.0, 0.0]"
50,y5iv4r,"[0.75, 0.25, 0.0]"
51,xsomkk,"[1.0, 0.0, 0.0]"
52,y5w6bh,"[1.0, 0.0, 0.0]"
53,y5ogwt,"[1.0, 0.0, 0.0]"
54,xrehgk,"[1.0, 0.0, 0.0]"
55,y5h7ep,"[1.0, 0.0, 0.0]"
56,xqhvj3,"[1.0, 0.0, 0.0]"
57,y4y3fx,"[1.0, 0.0, 0.0]"
