,MemeID,CommentScore
0,xe5nl8,"[0.3, 0.7, 0.0]"
1,wz7iba,"[0.4074074074074074, 0.5925925925925926, 0.0]"
2,x5nxg4,"[0.19801980198019803, 0.801980198019802, 0.0]"
3,y4wygx,"[0.16831683168316833, 0.8316831683168316, 0.0]"
4,wzemgn,"[0.2727272727272727, 0.7272727272727273, 0.0]"
5,xt17m8,"[0.3465346534653465, 0.6534653465346535, 0.0]"
6,xuqizn,"[0.33663366336633666, 0.6633663366336634, 0.0]"
7,xsfbbk,"[0.0, 1.0, 0.0]"
8,xbmgmi,"[0.058823529411764705, 0.9411764705882353, 0.0]"
9,wz27hz,"[0.2, 0.8, 0.0]"
10,xarxtw,"[0.17045454545454544, 0.8295454545454546, 0.0]"
11,x7d1cc,"[0.15841584158415842, 0.8415841584158416, 0.0]"
12,xxgpmt,"[0.375, 0.625, 0.0]"
13,xcu16k,"[0.5, 0.5, 0.0]"
14,xww1h0,"[0.35294117647058826, 0.6470588235294118, 0.0]"
15,xtco15,"[0.3333333333333333, 0.6666666666666666, 0.0]"
16,xnq92t,"[0.26666666666666666, 0.7333333333333333, 0.0]"
17,xi3n97,"[0.2, 0.8, 0.0]"
18,xdizf0,"[0.3076923076923077, 0.6923076923076923, 0.0]"
19,xoxh9j,"[0.5121951219512195, 0.4878048780487805, 0.0]"
20,xkf14v,"[0.29411764705882354, 0.7058823529411765, 0.0]"
21,xdccil,"[0.0, 1.0, 0.0]"
22,xdawhl,"[0.22727272727272727, 0.7727272727272727, 0.0]"
23,xef9uj,"[0.21428571428571427, 0.7857142857142857, 0.0]"
24,xopht3,"[0.3333333333333333, 0.6666666666666666, 0.0]"
25,xqvqi2,"[0.0, 1.0, 0.0]"
26,y3750o,"[0.1, 0.9, 0.0]"
27,x2qmw3,"[0.3888888888888889, 0.6111111111111112, 0.0]"
28,x0nlzg,"[0.0, 1.0, 0.0]"
29,x3encc,"[0.0, 1.0, 0.0]"
30,xcqvup,"[1.0, 0.0, 0.0]"
31,xim98a,"[0.0, 1.0, 0.0]"
32,xytbx1,"[0.25, 0.75, 0.0]"
33,x7jplp,"[0.18518518518518517, 0.8148148148148148, 0.0]"
34,y21zum,"[0.3333333333333333, 0.6666666666666666, 0.0]"
35,x6q5uv,"[0.2222222222222222, 0.7777777777777778, 0.0]"
36,xbwwzb,"[0.2903225806451613, 0.7096774193548387, 0.0]"
37,x9lgwr,"[0.25, 0.75, 0.0]"
38,x309m5,"[0.0, 1.0, 0.0]"
39,x1y08z,"[0.0, 1.0, 0.0]"
40,x4j0te,"[0.0, 1.0, 0.0]"
41,xari3v,"[0.34444444444444444, 0.6555555555555556, 0.0]"
42,xqr50f,"[0.0, 1.0, 0.0]"
43,wz6fj7,"[0.1, 0.9, 0.0]"
44,xfqmg6,"[0, 0, 0]"
45,y74886,"[0.2, 0.8, 0.0]"
46,y2asi6,"[0.2777777777777778, 0.7222222222222222, 0.0]"
47,xuhkfs,"[0.3333333333333333, 0.6666666666666666, 0.0]"
48,xwut3a,"[0.37623762376237624, 0.6237623762376238, 0.0]"
49,x8die9,"[0.15789473684210525, 0.8421052631578947, 0.0]"
50,xtvlha,"[0.24444444444444444, 0.7555555555555555, 0.0]"
51,y3qxyy,"[0.29545454545454547, 0.7045454545454546, 0.0]"
52,xu4dvu,"[0.0, 1.0, 0.0]"
53,xecb8k,"[0.2857142857142857, 0.7142857142857143, 0.0]"
54,xtx7ll,"[0.0, 1.0, 0.0]"
55,xjivdf,"[0.2631578947368421, 0.7368421052631579, 0.0]"
56,x77yb3,"[0.3333333333333333, 0.6666666666666666, 0.0]"
57,xy5xq8,"[0.32, 0.68, 0.0]"
58,x0zvdt,"[1.0, 0.0, 0.0]"
59,x3d6wk,"[0.08333333333333333, 0.9166666666666666, 0.0]"
60,xi0soj,"[0.2857142857142857, 0.7142857142857143, 0.0]"
61,xanukl,"[0.32673267326732675, 0.6732673267326733, 0.0]"
62,xo8tw4,"[0.31683168316831684, 0.6831683168316832, 0.0]"
63,x67u1q,"[0.37894736842105264, 0.6210526315789474, 0.0]"
64,y45h21,"[0.42857142857142855, 0.5714285714285714, 0.0]"
65,x399xp,"[0.35714285714285715, 0.6428571428571429, 0.0]"
66,xivffn,"[0.15384615384615385, 0.8461538461538461, 0.0]"
67,x1qfz9,"[0.44, 0.56, 0.0]"
68,y4jwz3,"[0.24752475247524752, 0.7524752475247525, 0.0]"
69,xtvfgm,"[0.3333333333333333, 0.6666666666666666, 0.0]"
70,xdhsj7,"[0.2, 0.8, 0.0]"
71,xd4b0l,"[0.25742574257425743, 0.7425742574257426, 0.0]"
72,xkrj74,"[0.25, 0.75, 0.0]"
73,xfqs9d,"[0.22448979591836735, 0.7755102040816326, 0.0]"
74,xy2gsh,"[0.0, 1.0, 0.0]"
75,xnc4d0,"[0.4, 0.6, 0.0]"
76,y6lc96,"[0.35714285714285715, 0.6428571428571429, 0.0]"
77,xf2kef,"[0.6, 0.4, 0.0]"
78,xe1b9f,"[0.4594594594594595, 0.5405405405405406, 0.0]"
79,xas8qa,"[0.14102564102564102, 0.8589743589743589, 0.0]"
80,x52kd3,"[0.5, 0.5, 0.0]"
81,y34q53,"[0.49504950495049505, 0.504950495049505, 0.0]"
82,xnnua1,"[0.42574257425742573, 0.5742574257425742, 0.0]"
83,x7pwj9,"[0.2376237623762376, 0.7623762376237624, 0.0]"
84,x47ud0,"[0.4166666666666667, 0.5833333333333334, 0.0]"
85,xsqomy,"[0.0, 1.0, 0.0]"
86,xoy4i5,"[0.16666666666666666, 0.8333333333333334, 0.0]"
87,x7h9bh,"[0.1, 0.9, 0.0]"
88,xdw2bf,"[0.45544554455445546, 0.5445544554455446, 0.0]"
89,xcawci,"[0.25, 0.75, 0.0]"
90,y6fw8s,"[0.28888888888888886, 0.7111111111111111, 0.0]"
91,x401c9,"[0.15, 0.85, 0.0]"
92,xiiwj4,"[0.5, 0.5, 0.0]"
93,xlpwsv,"[0.1875, 0.8125, 0.0]"
94,xtewn6,"[0.0, 1.0, 0.0]"
95,xeihkc,"[0.07692307692307693, 0.9230769230769231, 0.0]"
96,xrdasz,"[0.19444444444444445, 0.8055555555555556, 0.0]"
97,xo67z9,"[0.0, 1.0, 0.0]"
98,xo6ryt,"[0.0, 1.0, 0.0]"
99,xyksgt,"[0.4375, 0.5625, 0.0]"
100,xrfd15,"[0.1111111111111111, 0.8888888888888888, 0.0]"
101,xqafix,"[0.0, 1.0, 0.0]"
102,xjv0dp,"[0.3333333333333333, 0.6666666666666666, 0.0]"
103,xn6wlq,"[0.32673267326732675, 0.6732673267326733, 0.0]"
104,xvmf1r,"[0.0, 1.0, 0.0]"
105,y16lcg,"[0.16666666666666666, 0.8333333333333334, 0.0]"
106,x5sry3,"[0.24752475247524752, 0.7524752475247525, 0.0]"
107,xs8xxt,"[0.6842105263157895, 0.3157894736842105, 0.0]"
108,xnxvof,"[0.6, 0.4, 0.0]"
109,xtnph4,"[0.36470588235294116, 0.6352941176470588, 0.0]"
110,xa0m7f,"[0.3564356435643564, 0.6435643564356436, 0.0]"
111,xf2bcl,"[0.15151515151515152, 0.8484848484848485, 0.0]"
112,xu13rd,"[0.3246753246753247, 0.6753246753246753, 0.0]"
113,xhd3vn,"[0.0, 1.0, 0.0]"
114,xnsttc,"[0.0, 1.0, 0.0]"
115,y5yjsk,"[0.19801980198019803, 0.801980198019802, 0.0]"
116,xsm5a1,"[0, 0, 0]"
117,xltc36,"[0.3564356435643564, 0.6435643564356436, 0.0]"
118,xyzt4o,"[0.32673267326732675, 0.6732673267326733, 0.0]"
119,xcpduv,"[0.15555555555555556, 0.8444444444444444, 0.0]"
120,xxf1ba,"[0.3125, 0.6875, 0.0]"
121,xc94q1,"[0.13861386138613863, 0.8613861386138614, 0.0]"
122,xwktia,"[0.34615384615384615, 0.6538461538461539, 0.0]"
123,xnyuse,"[0, 0, 0]"
124,xv6q74,"[0.44680851063829785, 0.5531914893617021, 0.0]"
125,xcux9d,"[0.25, 0.75, 0.0]"
126,y4st92,"[0.125, 0.875, 0.0]"
127,y1yxw8,"[0.19801980198019803, 0.801980198019802, 0.0]"
128,x3bivp,"[0.0, 1.0, 0.0]"
129,x21xcz,"[0.2857142857142857, 0.7142857142857143, 0.0]"
130,x0ckyv,"[0.297029702970297, 0.7029702970297029, 0.0]"
131,xu97gt,"[0.0, 1.0, 0.0]"
132,xipvir,"[0.1875, 0.8125, 0.0]"
133,y4sbjz,"[0.14285714285714285, 0.8571428571428571, 0.0]"
134,x17pvw,"[0.2, 0.8, 0.0]"
135,xd1bv3,"[0.3684210526315789, 0.631578947368421, 0.0]"
136,xkxbk2,"[0.25, 0.75, 0.0]"
137,xw1x8v,"[0.36363636363636365, 0.6363636363636364, 0.0]"
138,xh78re,"[0.25, 0.75, 0.0]"
139,xws37b,"[0.0, 1.0, 0.0]"
140,xamky5,"[0.33663366336633666, 0.6633663366336634, 0.0]"
141,xcebrb,"[0.5, 0.5, 0.0]"
142,y2ae6y,"[0.48148148148148145, 0.5185185185185185, 0.0]"
143,xvdtlk,"[0.8, 0.2, 0.0]"
144,xtzfqc,"[0.3564356435643564, 0.6435643564356436, 0.0]"
145,xtclcf,"[0.2222222222222222, 0.7777777777777778, 0.0]"
146,xnjwcn,"[0.4, 0.6, 0.0]"
147,x83w5r,"[0.14285714285714285, 0.8571428571428571, 0.0]"
148,xkjq09,"[0.16666666666666666, 0.8333333333333334, 0.0]"
149,xnobh6,"[0.1485148514851485, 0.8514851485148515, 0.0]"
150,xv2hrx,"[0.2222222222222222, 0.7777777777777778, 0.0]"
151,xvohzt,"[0.16455696202531644, 0.8354430379746836, 0.0]"
152,wz5sz6,"[0.2, 0.8, 0.0]"
153,y4zsfe,"[0.21428571428571427, 0.7857142857142857, 0.0]"
154,y1icwz,"[0.0, 1.0, 0.0]"
155,x6kdry,"[0.375, 0.625, 0.0]"
156,xgbnfs,"[0.14285714285714285, 0.8571428571428571, 0.0]"
157,xow36n,"[0.3333333333333333, 0.6666666666666666, 0.0]"
158,x44x67,"[0.4864864864864865, 0.5135135135135135, 0.0]"
159,x4mlth,"[0.0, 1.0, 0.0]"
160,x3scke,"[0.45544554455445546, 0.5445544554455446, 0.0]"
161,x61yj7,"[0.46153846153846156, 0.5384615384615384, 0.0]"
162,y3hko0,"[0.30434782608695654, 0.6956521739130435, 0.0]"
163,y5q9wr,"[0.13636363636363635, 0.8636363636363636, 0.0]"
164,y1jz1m,"[0.2, 0.8, 0.0]"
165,xydqzm,"[0.0, 1.0, 0.0]"
166,xvyh91,"[0.5148514851485149, 0.48514851485148514, 0.0]"
167,xl0tsw,"[0.1111111111111111, 0.8888888888888888, 0.0]"
