,MemeID,CommentScore
0,xe5nl8,0
1,wz7iba,0
2,x5nxg4,0
3,y4wygx,0
4,wzemgn,0
5,xt17m8,0
6,xuqizn,0
7,xsfbbk,0
8,xbmgmi,0
9,wz27hz,0
10,xarxtw,0
11,x7d1cc,0
12,xxgpmt,0
13,xcu16k,0
14,xww1h0,0
15,xtco15,0
16,xnq92t,0
17,xi3n97,0
18,xdizf0,0
19,xoxh9j,0
20,xkf14v,0
21,xdccil,0
22,xdawhl,0
23,xef9uj,0
24,xopht3,0
25,xqvqi2,0
26,y3750o,0
27,x2qmw3,0
28,x0nlzg,0
29,x3encc,0
30,xcqvup,0
31,xim98a,0
32,xytbx1,0
33,x7jplp,0
34,y21zum,0
35,x6q5uv,0
36,xbwwzb,0
37,x9lgwr,0
38,x309m5,0
39,x1y08z,0
40,x4j0te,0
41,xari3v,0
42,xqr50f,0
43,wz6fj7,0
44,xfqmg6,0
45,y74886,0
46,y2asi6,0
47,xuhkfs,0
48,xwut3a,0
49,x8die9,0
50,xtvlha,0
51,y3qxyy,0
52,xu4dvu,0
53,xecb8k,0
54,xtx7ll,0
55,xjivdf,0
56,x77yb3,0
57,xy5xq8,0
58,x0zvdt,0
59,x3d6wk,0
60,xi0soj,0
61,xanukl,0
62,xo8tw4,0
63,x67u1q,0
64,y45h21,0
65,x399xp,0
66,xivffn,0
67,x1qfz9,0
68,y4jwz3,0
69,xtvfgm,0
70,xdhsj7,0
71,xd4b0l,0
72,xkrj74,0
73,xfqs9d,0
74,xy2gsh,0
75,xnc4d0,0
76,y6lc96,0
77,xf2kef,0
78,xe1b9f,0
79,xas8qa,0
80,x52kd3,0
81,y34q53,0
82,xnnua1,0
83,x7pwj9,0
84,x47ud0,0
85,xsqomy,0
86,xoy4i5,0
87,x7h9bh,0
88,xdw2bf,0
89,xcawci,0
90,y6fw8s,0
91,x401c9,0
92,xiiwj4,0
93,xlpwsv,0
94,xtewn6,0
95,xeihkc,0
96,xrdasz,0
97,xo67z9,0
98,xo6ryt,0
99,xyksgt,0
100,xrfd15,0
101,xqafix,0
102,xjv0dp,0
103,xn6wlq,0
104,xvmf1r,0
105,y16lcg,0
106,x5sry3,0
107,xs8xxt,0
108,xnxvof,0
109,xtnph4,0
110,xa0m7f,0
111,xf2bcl,0
112,xu13rd,0
113,xhd3vn,0
114,xnsttc,0
115,y5yjsk,0
116,xsm5a1,0
117,xltc36,0
118,xyzt4o,0
119,xcpduv,0
120,xxf1ba,0
121,xc94q1,0
122,xwktia,0
123,xnyuse,0
124,xv6q74,0
125,xcux9d,0
126,y4st92,0
127,y1yxw8,0
128,x3bivp,0
129,x21xcz,0
130,x0ckyv,0
131,xu97gt,0
132,xipvir,0
133,y4sbjz,0
134,x17pvw,0
135,xd1bv3,0
136,xkxbk2,0
137,xw1x8v,0
138,xh78re,0
139,xws37b,0
140,xamky5,0
141,xcebrb,0
142,y2ae6y,0
143,xvdtlk,0
144,xtzfqc,0
145,xtclcf,0
146,xnjwcn,0
147,x83w5r,0
148,xkjq09,0
149,xnobh6,0
150,xv2hrx,0
151,xvohzt,0
152,wz5sz6,0
153,y4zsfe,0
154,y1icwz,0
155,x6kdry,0
156,xgbnfs,0
157,xow36n,0
158,x44x67,0
159,x4mlth,0
160,x3scke,0
161,x61yj7,0
162,y3hko0,0
163,y5q9wr,0
164,y1jz1m,0
165,xydqzm,0
166,xvyh91,0
167,xl0tsw,0
168,y4iwto,0
169,xn2ytl,0
170,y1p5x4,0
171,x71ii7,0
172,xhsuro,0
173,y050m8,0
174,xaiuhi,0
175,x6w2sv,0
176,xnspr5,0
177,y010jn,0
178,xbdbae,0
179,y4ormo,0
180,y4z8gr,0
181,xbku9m,0
182,y4oelb,0
183,xbodgw,0
184,xy8yc5,0
185,xpw4un,0
186,xha06n,0
187,x6g87n,0
188,xmrk81,0
189,xyz817,0
190,xklgdy,0
191,xgerl0,0
192,y6tjd8,0
193,y735n1,0
194,x6ejb2,0
195,x0oq8k,0
196,x74iwu,0
197,xyjjjy,0
198,xz5bov,0
199,xbpzbd,0
200,x3904g,0
201,xqe7k1,0
202,x7rbo3,0
203,xf8cuy,0
204,y1j8ib,0
205,xlapcx,0
206,xpi4rt,0
207,xvl54x,0
208,xddnf3,0
209,xwauvp,0
210,x4bdfr,0
211,x35169,0
212,xrbbyn,0
213,xm6gai,0
214,xocb4j,0
215,xdngaw,0
216,x5y9s3,0
217,y2fvvy,0
218,y75klh,0
219,x5o2tb,0
220,xgnedz,0
221,x30z6l,0
222,x4s6h6,0
223,xxso2k,0
224,xqoxj3,0
225,x42eie,0
226,xlqkut,0
227,xaghb8,0
228,xw1yfg,0
229,y4f8rp,0
230,xfmk93,0
231,xvf8ld,0
232,xzo145,0
233,xnokq2,0
234,xstejs,0
235,xs4kaj,0
236,xh2t37,0
237,xkgjd9,0
238,y6ppeb,0
239,y47111,0
240,xhz74i,0
241,y414ki,0
242,x14glw,0
243,xinqcm,0
244,xcuvu0,0
245,wytl8k,0
246,xi64rg,0
247,xc48xk,0
248,xd96yh,0
249,xwq184,0
250,xl19te,0
251,y0yz1k,0
252,y792av,0
253,x61mqj,0
254,xo8kje,0
255,xpveza,0
256,x6e2qg,0
257,xac15b,0
258,xivsvs,0
259,xya88n,0
260,xpkefg,0
261,xqm5ef,0
262,x9teez,0
263,xeqrbr,0
264,xs0jd8,0
265,x5i97s,0
266,x8quvp,0
267,xxkxu1,0
268,xllrwt,0
269,xzdtb3,0
270,wzq3e7,0
271,xsk3vf,0
272,xjsci3,0
273,x3c97t,0
274,x9dkkr,0
275,xwktuo,0
276,xo0myi,0
277,xvja8o,0
278,x56kiw,0
279,xbusxh,0
280,y2fp2s,0
