,MemeID,CommentScore
0,vjxiea,"[1.0, 0.0, 0.0]"
1,vi7pm0,"[1.0, 0.0, 0.0]"
2,vq1ek5,"[0.989010989010989, 0.01098901098901099, 0.0]"
3,va5e0u,"[1.0, 0.0, 0.0]"
4,wl24ik,"[1.0, 0.0, 0.0]"
5,vnb7ne,"[0.9565217391304348, 0.043478260869565216, 0.0]"
6,vuyrgi,"[0, 0, 0]"
7,y41qr8,"[1.0, 0.0, 0.0]"
8,xdc2hv,"[0.9333333333333333, 0.06666666666666667, 0.0]"
9,xutcpl,"[1.0, 0.0, 0.0]"
10,vc34cq,"[0, 0, 0]"
11,xnw4a3,"[1.0, 0.0, 0.0]"
12,xr0p79,"[0.4, 0.6, 0.0]"
13,x52niy,"[0.5, 0.5, 0.0]"
14,wbzeqz,"[1.0, 0.0, 0.0]"
15,x5xnqe,"[1.0, 0.0, 0.0]"
16,vajutq,"[0.9230769230769231, 0.07692307692307693, 0.0]"
17,xyh1fa,"[1.0, 0.0, 0.0]"
18,xsmhgg,"[0.8571428571428571, 0.14285714285714285, 0.0]"
19,vrbhaa,"[0.6162790697674418, 0.38372093023255816, 0.0]"
20,y2qxzl,"[1.0, 0.0, 0.0]"
21,xs654j,"[1.0, 0.0, 0.0]"
22,w2olm7,"[0.9333333333333333, 0.06666666666666667, 0.0]"
23,vc66dj,"[1.0, 0.0, 0.0]"
24,wd7d1z,"[0.9565217391304348, 0.043478260869565216, 0.0]"
25,we3kbv,"[1.0, 0.0, 0.0]"
26,xcjko8,"[1.0, 0.0, 0.0]"
27,wmq1jn,"[0.75, 0.25, 0.0]"
28,w58ka2,"[0.9545454545454546, 0.045454545454545456, 0.0]"
29,xo1h3a,"[0.9393939393939394, 0.06060606060606061, 0.0]"
30,v9smvf,"[1.0, 0.0, 0.0]"
31,w1j02e,"[1.0, 0.0, 0.0]"
32,xlzigf,"[0.9767441860465116, 0.023255813953488372, 0.0]"
33,xdgedw,"[0, 0, 0]"
34,w1ywpr,"[0.95, 0.05, 0.0]"
35,vo00sp,"[1.0, 0.0, 0.0]"
36,ve6rxk,"[1.0, 0.0, 0.0]"
37,vzqk4k,"[1.0, 0.0, 0.0]"
38,w1homd,"[0, 0, 0]"
39,x3xugn,"[0.8571428571428571, 0.14285714285714285, 0.0]"
40,vib6sg,"[0, 0, 0]"
41,xp9f20,"[1.0, 0.0, 0.0]"
42,xmmb3o,"[0, 0, 0]"
43,vjth6a,"[1.0, 0.0, 0.0]"
44,vun0qb,"[1.0, 0.0, 0.0]"
45,xidf1i,"[0, 0, 0]"
46,vkge8d,"[0.8571428571428571, 0.14285714285714285, 0.0]"
47,y3514p,"[0.8695652173913043, 0.13043478260869565, 0.0]"
48,xfy9nh,"[0.9887640449438202, 0.011235955056179775, 0.0]"
49,xoaw5u,"[1.0, 0.0, 0.0]"
50,xdgrqn,"[1.0, 0.0, 0.0]"
51,xk0yey,"[0.8571428571428571, 0.14285714285714285, 0.0]"
52,vixmg4,"[0, 0, 0]"
53,y34bvi,"[0.9436619718309859, 0.056338028169014086, 0.0]"
54,y37vjn,"[0.9571428571428572, 0.04285714285714286, 0.0]"
55,y3mxoa,"[0.9655172413793104, 0.034482758620689655, 0.0]"
56,vv7wog,"[0.8333333333333334, 0.16666666666666666, 0.0]"
57,y13ok8,"[1.0, 0.0, 0.0]"
58,y1h4fm,"[0.9516129032258065, 0.04838709677419355, 0.0]"
59,vjjqmu,"[0.9090909090909091, 0.09090909090909091, 0.0]"
60,y6g8h7,"[0.9696969696969697, 0.030303030303030304, 0.0]"
61,x5ghfd,"[0.9285714285714286, 0.07142857142857142, 0.0]"
62,xt8wpt,"[0.8514851485148515, 0.1485148514851485, 0.0]"
63,x5q1yc,"[1.0, 0.0, 0.0]"
64,vk2cgj,"[1.0, 0.0, 0.0]"
65,xec4qi,"[0, 0, 0]"
66,virzgc,"[1.0, 0.0, 0.0]"
67,vm56ov,"[1.0, 0.0, 0.0]"
68,xxf1ke,"[1.0, 0.0, 0.0]"
69,vb9j7q,"[1.0, 0.0, 0.0]"
70,xijn1a,"[0.9795918367346939, 0.02040816326530612, 0.0]"
71,xvm9qq,"[1.0, 0.0, 0.0]"
72,xynbnw,"[0.9272727272727272, 0.07272727272727272, 0.0]"
73,xuynl1,"[1.0, 0.0, 0.0]"
74,vyfgoo,"[1.0, 0.0, 0.0]"
75,wt4us2,"[0.8125, 0.1875, 0.0]"
76,xf8jer,"[1.0, 0.0, 0.0]"
77,w62m8k,"[0.8571428571428571, 0.14285714285714285, 0.0]"
78,xxtf0j,"[1.0, 0.0, 0.0]"
79,xruiy0,"[0, 0, 0]"
80,x25ndi,"[1.0, 0.0, 0.0]"
81,xlk8ak,"[0.9787234042553191, 0.02127659574468085, 0.0]"
82,wpn79e,"[0.875, 0.125, 0.0]"
83,vmj38o,"[1.0, 0.0, 0.0]"
84,wbovox,"[1.0, 0.0, 0.0]"
85,xl3unv,"[1.0, 0.0, 0.0]"
86,vns1aq,"[0, 0, 0]"
87,vxbv3g,"[0.9166666666666666, 0.08333333333333333, 0.0]"
88,wa2wbf,"[1.0, 0.0, 0.0]"
89,vtl6vi,"[1.0, 0.0, 0.0]"
90,wo1k5o,"[1.0, 0.0, 0.0]"
91,xicyhb,"[0.9081632653061225, 0.09183673469387756, 0.0]"
92,xedavm,"[0, 0, 0]"
93,vk97r4,"[0.9629629629629629, 0.037037037037037035, 0.0]"
94,xmqkk8,"[1.0, 0.0, 0.0]"
95,vbn9tf,"[0.9411764705882353, 0.058823529411764705, 0.0]"
96,xqhcgz,"[1.0, 0.0, 0.0]"
97,xqtmom,"[1.0, 0.0, 0.0]"
98,vd4dok,"[0, 0, 0]"
99,vtufqe,"[0, 0, 0]"
100,x84mgn,"[1.0, 0.0, 0.0]"
101,xdvxlr,"[1.0, 0.0, 0.0]"
102,w2og8a,"[1.0, 0.0, 0.0]"
103,x3zddc,"[1.0, 0.0, 0.0]"
104,whlm2y,"[1.0, 0.0, 0.0]"
105,wmpo09,"[1.0, 0.0, 0.0]"
106,w3a8lv,"[1.0, 0.0, 0.0]"
107,xpnzvv,"[0.9736842105263158, 0.02631578947368421, 0.0]"
108,wfbx9d,"[0.900990099009901, 0.09900990099009901, 0.0]"
109,x761pb,"[1.0, 0.0, 0.0]"
110,vh87z2,"[0.9090909090909091, 0.09090909090909091, 0.0]"
111,xhdy6b,"[1.0, 0.0, 0.0]"
112,x7ffgh,"[1.0, 0.0, 0.0]"
113,xmlhfz,"[1.0, 0.0, 0.0]"
114,vbjijk,"[0, 0, 0]"
115,xm2kq9,"[1.0, 0.0, 0.0]"
116,w09orq,"[1.0, 0.0, 0.0]"
117,xe0rn8,"[0.9423076923076923, 0.057692307692307696, 0.0]"
118,vr9xl6,"[1.0, 0.0, 0.0]"
119,xnbj2x,"[1.0, 0.0, 0.0]"
120,wnbpu3,"[1.0, 0.0, 0.0]"
121,viuzbe,"[1.0, 0.0, 0.0]"
122,wz09yr,"[0.9230769230769231, 0.07692307692307693, 0.0]"
123,xzm1c2,"[1.0, 0.0, 0.0]"
124,w1zec3,"[0, 0, 0]"
125,xpj80k,"[0.9375, 0.0625, 0.0]"
126,xf0x3w,"[1.0, 0.0, 0.0]"
127,vgmotz,"[1.0, 0.0, 0.0]"
128,vachy7,"[1.0, 0.0, 0.0]"
129,xhzsx2,"[1.0, 0.0, 0.0]"
130,wnb8jg,"[1.0, 0.0, 0.0]"
131,vt1mpz,"[0.8, 0.2, 0.0]"
132,w3r000,"[0.9882352941176471, 0.011764705882352941, 0.0]"
133,vq1kte,"[1.0, 0.0, 0.0]"
134,vici54,"[1.0, 0.0, 0.0]"
135,vlomep,"[1.0, 0.0, 0.0]"
136,xu8256,"[0.9705882352941176, 0.029411764705882353, 0.0]"
137,x1096n,"[1.0, 0.0, 0.0]"
138,xo0gm6,"[1.0, 0.0, 0.0]"
139,xqg7jr,"[0.9166666666666666, 0.08333333333333333, 0.0]"
140,x19w1j,"[0.96875, 0.03125, 0.0]"
141,x5sog6,"[1.0, 0.0, 0.0]"
142,wp1u8x,"[1.0, 0.0, 0.0]"
143,xvnkcj,"[1.0, 0.0, 0.0]"
144,x6g2ew,"[0.0, 1.0, 0.0]"
145,w0h6p6,"[0.9523809523809523, 0.047619047619047616, 0.0]"
146,xl0inz,"[1.0, 0.0, 0.0]"
147,vo95q2,"[0.9207920792079208, 0.07920792079207921, 0.0]"
148,wufqkb,"[1.0, 0.0, 0.0]"
149,y3j4l6,"[1.0, 0.0, 0.0]"
150,wmt5i1,"[0.9230769230769231, 0.07692307692307693, 0.0]"
151,vb7bc0,"[0, 0, 0]"
152,vk0psy,"[0.875, 0.125, 0.0]"
153,w3cr1o,"[0.9090909090909091, 0.09090909090909091, 0.0]"
154,vjbntp,"[0, 0, 0]"
155,w3g9tt,"[0.9782608695652174, 0.021739130434782608, 0.0]"
156,xakd6s,"[1.0, 0.0, 0.0]"
157,vyvo2c,"[1.0, 0.0, 0.0]"
158,vsu3xu,"[1.0, 0.0, 0.0]"
159,wb76g8,"[1.0, 0.0, 0.0]"
160,wdb5ov,"[1.0, 0.0, 0.0]"
161,xr7my8,"[1.0, 0.0, 0.0]"
162,x73wgn,"[0.75, 0.25, 0.0]"
163,xzihi2,"[0.9705882352941176, 0.029411764705882353, 0.0]"
164,w0gv31,"[1.0, 0.0, 0.0]"
165,wi37q6,"[1.0, 0.0, 0.0]"
166,wuqo3j,"[1.0, 0.0, 0.0]"
167,xq6mtd,"[1.0, 0.0, 0.0]"
168,xq70fb,"[1.0, 0.0, 0.0]"
169,vkgtpp,"[1.0, 0.0, 0.0]"
170,xfou6z,"[0.9846153846153847, 0.015384615384615385, 0.0]"
171,xv9ugy,"[0.7857142857142857, 0.21428571428571427, 0.0]"
172,xfeoy1,"[1.0, 0.0, 0.0]"
173,vlnkb8,"[1.0, 0.0, 0.0]"
174,x29bq3,"[0.96875, 0.03125, 0.0]"
175,vi9hjj,"[0, 0, 0]"
176,ww0hoo,"[0.9655172413793104, 0.034482758620689655, 0.0]"
177,vruvor,"[1.0, 0.0, 0.0]"
178,xl7bay,"[0.9333333333333333, 0.06666666666666667, 0.0]"
179,vx7qay,"[1.0, 0.0, 0.0]"
180,w5m5ci,"[1.0, 0.0, 0.0]"
181,wlree8,"[0.75, 0.25, 0.0]"
182,xzg7rx,"[1.0, 0.0, 0.0]"
183,y4o9ch,"[0.9629629629629629, 0.037037037037037035, 0.0]"
184,xf7xbb,"[0.8333333333333334, 0.16666666666666666, 0.0]"
185,y5pyw6,"[1.0, 0.0, 0.0]"
186,y0cra0,"[1.0, 0.0, 0.0]"
187,wxtmju,"[1.0, 0.0, 0.0]"
188,xkg1zl,"[0.9333333333333333, 0.06666666666666667, 0.0]"
189,xt81ku,"[1.0, 0.0, 0.0]"
190,vzmfbl,"[0.9285714285714286, 0.07142857142857142, 0.0]"
191,vir2eq,"[0.9230769230769231, 0.07692307692307693, 0.0]"
192,y633yq,"[0, 0, 0]"
193,voi4p1,"[0, 0, 0]"
194,y1j215,"[0.8125, 0.1875, 0.0]"
195,xn5ss9,"[1.0, 0.0, 0.0]"
196,xyn4sw,"[1.0, 0.0, 0.0]"
