,MemeID,CommentScore
0,xrpkt5,"[0.5925925925925926, 0.4074074074074074, 0.0]"
1,xydu8v,"[0.0, 1.0, 0.0]"
2,xigkxx,"[0.3076923076923077, 0.6923076923076923, 0.0]"
3,y2qq5d,"[0.2, 0.8, 0.0]"
4,xhv0wt,"[0.3333333333333333, 0.6666666666666666, 0.0]"
5,xx0yvo,"[0.0, 1.0, 0.0]"
6,xovo1s,"[0.5, 0.5, 0.0]"
7,xmcvq7,"[0.0, 1.0, 0.0]"
8,xu7mx9,"[0.0, 1.0, 0.0]"
9,y6b736,"[0.625, 0.375, 0.0]"
10,xyknlg,"[0.0, 1.0, 0.0]"
11,xx2yrs,"[0.2, 0.8, 0.0]"
12,xmmp5n,"[0.0, 1.0, 0.0]"
13,xpypep,"[0.0, 1.0, 0.0]"
14,xlfegd,"[0.5, 0.5, 0.0]"
15,xyn8ve,"[0.8571428571428571, 0.14285714285714285, 0.0]"
16,xumwpc,"[0.5, 0.5, 0.0]"
17,y3c26a,"[0.6551724137931034, 0.3448275862068966, 0.0]"
18,xsw362,"[0.5, 0.5, 0.0]"
19,xqudgw,"[0.6666666666666666, 0.3333333333333333, 0.0]"
20,y4mucr,"[0.0, 1.0, 0.0]"
21,xumjrp,"[0.6666666666666666, 0.3333333333333333, 0.0]"
22,xvl1od,"[0.5346534653465347, 0.46534653465346537, 0.0]"
23,xh7bv3,"[0.5, 0.5, 0.0]"
24,xibvxm,"[0.6666666666666666, 0.3333333333333333, 0.0]"
25,y0y1xg,"[0.6666666666666666, 0.3333333333333333, 0.0]"
26,xt1mpo,"[0.5, 0.5, 0.0]"
27,xz6sqz,"[0.40625, 0.59375, 0.0]"
28,xhm8wd,"[0.7142857142857143, 0.2857142857142857, 0.0]"
29,xh9zjs,"[0.0, 1.0, 0.0]"
30,xsdwqx,"[0.3333333333333333, 0.6666666666666666, 0.0]"
31,xzol44,"[0.6235294117647059, 0.3764705882352941, 0.0]"
32,xzw9dw,"[0.0, 1.0, 0.0]"
33,xxi990,"[0.0, 1.0, 0.0]"
34,xtpkj8,"[0.5, 0.5, 0.0]"
35,y0tqz9,"[0.5, 0.5, 0.0]"
36,xx0gow,"[0.3333333333333333, 0.6666666666666666, 0.0]"
37,xy8ewj,"[0.3333333333333333, 0.6666666666666666, 0.0]"
38,xv4toe,"[0.0, 1.0, 0.0]"
39,xrpxy7,"[0.8, 0.2, 0.0]"
40,xlpocv,"[0.0, 1.0, 0.0]"
41,xxmayv,"[0.6666666666666666, 0.3333333333333333, 0.0]"
42,y31czi,"[0.5544554455445545, 0.44554455445544555, 0.0]"
43,xlhaxh,"[0.4, 0.6, 0.0]"
44,y4cird,"[0.8, 0.2, 0.0]"
45,xt32vb,"[0.0, 1.0, 0.0]"
46,y2g7ge,"[0.4, 0.6, 0.0]"
47,y24lr4,"[0.8333333333333334, 0.16666666666666666, 0.0]"
48,xopeir,"[0.75, 0.25, 0.0]"
49,xm2n2b,"[0.6666666666666666, 0.3333333333333333, 0.0]"
50,xs6n7a,"[0.5, 0.5, 0.0]"
51,y2zjeb,"[0.0, 1.0, 0.0]"
