,MemeID,CommentScore
0,xsjbd6,0
1,xwnvoq,0
2,y1zmkc,0
3,xvuai1,0
4,xrzh7f,0
5,xajs30,0
6,xd1tyg,0
7,xuumqu,0
8,x85ur3,0
9,xf16lr,0
10,xcflxn,0
11,xd94n0,0
12,xqdpv3,0
13,y5me5v,0
14,xfxjli,0
15,xuzj73,0
16,xx71r9,0
17,xa1vgl,0
18,y40b05,0
19,xbn7ye,0
20,xtjyg8,0
21,xw2r4w,0
22,y281ia,0
23,xaaw4e,0
24,x83azu,0
25,xpnw9y,0
26,x8qmo8,0
27,xqybui,0
28,y6f8rc,0
29,x7js0z,0
30,x6ikyo,0
31,y5mx56,0
32,xg6ppd,0
33,y46qyf,0
34,xqa5li,0
35,xboqzb,0
36,x88wyz,0
37,xi6e2y,0
38,xcfi6o,0
39,xtbo3o,0
40,xm0jal,0
41,xdn1u8,0
42,y1loue,0
43,xomtnu,0
44,xas6rr,0
45,xgqym2,0
46,xbxu8f,0
47,xte97q,0
48,xmlgit,0
49,x7owle,0
50,xydzbo,0
51,y0pxr6,0
52,xo9aup,0
53,xx6zfa,0
54,xlp893,0
55,xuqkgt,0
56,xt5mn3,0
57,xg93v0,0
58,xp7u3e,0
59,y0n2ln,0
60,xqu5eh,0
61,y5211r,0
62,y1svgr,0
63,xg6hud,0
64,xgnzso,0
65,xjq3dc,0
66,y50uen,0
67,x9ffdh,0
68,xpv9wj,0
69,xvfkc6,0
70,y3l1wm,0
71,xkk2mv,0
72,xbwt9q,0
73,xvhrhn,0
74,xl38qm,0
75,xzoald,0
76,xjysho,0
77,xdb3hp,0
78,xg60wv,0
79,xzopqq,0
80,y5zucw,0
81,xx8y4v,0
82,xtpauf,0
83,y468aq,0
84,xxp53x,0
85,xlcccc,0
86,y05wm4,0
87,xwaxoc,0
88,xkhqkv,0
89,xv0jp6,0
90,y3yrls,0
91,xgxm5t,0
92,xz9gr5,0
93,xtre7n,0
94,xmcwv7,0
95,xyq3u1,0
96,xq57o0,0
97,xyc276,0
98,y215ge,0
99,x9mfmb,0
100,x83k8q,0
101,xnycbt,0
102,xl7gzn,0
103,xam1tm,0
104,x9ktt8,0
105,xmq0fh,0
106,xycl7j,0
107,xu5vlo,0
108,y28azv,0
109,xs84dm,0
110,xs4ghz,0
111,x6flu5,0
112,xppera,0
113,xz888b,0
114,y0u1sl,0
115,xbq7ng,0
116,xdb0wg,0
117,y32apf,0
118,xgw7mx,0
119,xn97ve,0
120,xmsv25,0
121,xxnsts,0
122,xp791e,0
123,xu4xps,0
124,y2it3k,0
125,xnoxfh,0
126,y2qy0k,0
127,xuj4i9,0
128,xwhv25,0
129,xz3kdo,0
130,y48dr8,0
131,y31rr3,0
132,xsj484,0
133,xhusye,0
134,xn4hvh,0
135,xf3py2,0
136,xdaw0a,0
137,xt7jce,0
138,xlx258,0
139,xe5cj2,0
140,xk89ys,0
141,xqk6qv,0
142,xc3d36,0
143,xy3dqg,0
144,xu4qb6,0
145,xxtwjv,0
146,x92ejj,0
147,y5t3fg,0
148,y41hdr,0
149,xxhoe9,0
150,x5jooj,0
151,xvhgmi,0
152,xt2dea,0
153,xrastb,0
154,x6iyns,0
155,xjbr62,0
156,xy0b66,0
157,xyxm35,0
158,xyee5g,0
159,x5zxyi,0
160,y4ro1f,0
161,xuu5vg,0
162,xunc2a,0
163,xo1bg2,0
164,xy9zxm,0
165,x8gqn1,0
166,x92d9q,0
167,xq3sbb,0
168,xz9i8e,0
169,xdw705,0
170,xvo881,0
171,xcsr14,0
172,x8kaxs,0
173,xllopz,0
174,xstzdq,0
175,x9t1zw,0
176,xzhor1,0
177,y4lkob,0
178,xw3hkw,0
179,xqmemk,0
180,xjep88,0
181,xtnlxt,0
182,xthx8e,0
183,xzo19q,0
184,x9pt2b,0
185,xrezp6,0
186,xe6s9y,0
187,xhkgbz,0
188,x9mt4f,0
189,xv5fiu,0
190,xojeqo,0
191,xqjt3c,0
192,xs97a9,0
193,x7jxfb,0
194,xtvmjv,0
195,xilas2,0
196,xlysao,0
197,xike3o,0
198,xjxeet,0
199,xfz8fi,0
200,x7nsjp,0
201,xeid60,0
202,y1r7jt,0
203,xvp95h,0
204,xlxpo2,0
205,y471fm,0
206,xsd84y,0
207,xvfsbs,0
208,y0a70q,0
209,xgf9lm,0
210,xlbya7,0
211,y2f3w6,0
212,xeu4nc,0
213,xmsdlx,0
214,xasnka,0
215,xbpikh,0
216,xsknd8,0
217,x6afze,0
218,xt0cxu,0
219,y046z5,0
220,xkbvg1,0
221,y4ua5r,0
222,xy08mn,0
223,xqd7vm,0
224,xqe9j3,0
225,xp3flm,0
226,xaxs8d,0
227,xql79c,0
228,xoozvq,0
229,xsj3r6,0
230,xl46jo,0
231,xu92tr,0
232,y47thq,0
233,x7luoy,0
234,y358wa,0
235,xf9uq9,0
236,xkvni2,0
237,xbznzm,0
238,xxsmao,0
239,xf1jgv,0
240,x7vesd,0
241,xyanom,0
242,xl0x17,0
243,y2njmg,0
244,y1aqk1,0
245,y4yv03,0
246,xxa41p,0
247,x6ot9l,0
248,xc5xzi,0
249,y5awvm,0
250,xqfmc7,0
251,xnb7sx,0
252,y1ocv7,0
253,xsjzi4,0
254,y5fhxw,0
255,y0g1lt,0
256,xwajw7,0
257,xxt3tw,0
258,xrxw2h,0
259,xfgj5f,0
260,xnkkzj,0
261,x70dtb,0
262,xl7o0z,0
263,x8zsyf,0
264,xc2sc0,0
265,xkybej,0
266,xqxydr,0
267,xqje6f,0
268,xmmerk,0
269,xmocjh,0
270,x779j2,0
271,xy761c,0
272,xwdxu9,0
273,y2mcvp,0
274,xjnqiq,0
275,xqp4v4,0
276,xvv680,0
277,xqs0e6,0
278,xz64jd,0
279,xsdtg6,0
280,x6e9gr,0
281,xslt6n,0
282,xao6iu,0
283,y44cqm,0
284,xivl6s,0
285,xx0g83,0
286,xm25t0,0
287,x6wz5x,0
288,xs65s5,0
289,xhonjw,0
290,xri3nq,0
291,xzb9wi,0
292,xk71yr,0
293,xxoqmy,0
294,xf7ujx,0
295,xonmvg,0
296,xnlu9c,0
297,x6m0p9,0
298,xwlamp,0
299,y1ibwt,0
300,xph8ng,0
301,x5rtlr,0
302,y5ehe5,0
303,x6zvbt,0
304,xtbyxm,0
305,xzomkx,0
306,xo7olg,0
307,y5nanh,0
308,y3nr59,0
309,xfbrc0,0
310,xfgl5v,0
311,y4wq89,0
312,xbh5jx,0
313,xh4zc7,0
314,xrwgec,0
315,xxdb6g,0
316,xmx81u,0
317,xtr50o,0
318,xiwhh0,0
319,xxrh32,0
320,xdget5,0
321,xa8uwy,0
322,xs3qx1,0
323,xius6b,0
324,xuzf93,0
325,xrsoux,0
326,xsi1v3,0
327,xfp6ut,0
328,y04fpz,0
329,xz0mgz,0
330,xj2eac,0
331,y3sto8,0
332,xdnnsx,0
333,xf49pn,0
334,y4dgf8,0
335,y0aovc,0
336,y4itse,0
337,y1b8kw,0
338,y4zrkq,0
339,xd62es,0
340,xf6du0,0
341,y1jq97,0
342,xc12s9,0
343,xo58j9,0
344,xgappn,0
345,x8v00z,0
346,xrmfv7,0
347,xducs2,0
348,y0yaoq,0
349,x78cnp,0
350,x9qqbf,0
351,xqiqk5,0
352,xqh5z3,0
353,xpd9wy,0
354,xc67pj,0
355,xwm6xl,0
356,xxkri6,0
357,y6do9s,0
358,y554ek,0
359,xtc65o,0
360,xw87s2,0
361,xsvah4,0
362,xxygg2,0
363,xqlii8,0
364,xk1avd,0
365,xos9oy,0
366,xul40o,0
367,xtcy4v,0
368,x67kj8,0
369,xecr76,0
370,xtmar6,0
371,xuz1xn,0
372,xlpa42,0
373,y5wffs,0
374,xsyl7h,0
375,xbk8kg,0
376,x7po4f,0
377,xceb4h,0
378,xuvt4z,0
379,xq77qs,0
380,xqnpod,0
381,xdzl9n,0
382,x93afj,0
383,xqg0wz,0
384,y4jh1h,0
385,xq7lgz,0
386,xjq3pb,0
387,xoull9,0
388,xzre6g,0
389,xv6mg1,0
390,xwifni,0
391,xpk26l,0
392,xurmu0,0
393,xgxqtu,0
394,xax96t,0
395,xrtepn,0
396,xlql93,0
397,xymsdw,0
398,xjoxsu,0
399,xudgkf,0
400,y46imh,0
401,xjfgzm,0
402,y38p9d,0
403,xfu1w3,0
404,xaizke,0
405,x9ohf2,0
406,y49g6o,0
407,xmus2s,0
408,xm0h31,0
409,xtvm3o,0
410,y3qmtr,0
411,xdqt9w,0
412,xzssg9,0
413,x8b43y,0
414,xjs6nw,0
415,xy06uo,0
416,y3y5fl,0
417,x7pn9u,0
418,xjwvia,0
419,y3ou6h,0
420,xzqxpe,0
421,xwq4s1,0
422,xmxe9q,0
423,xt2stq,0
424,xurr7w,0
425,xy5q23,0
426,xzlh7z,0
427,x9g7t4,0
428,xc0qs7,0
429,xtgxk4,0
430,xza46e,0
431,xu6bm9,0
432,xwqfwu,0
433,xkbvoh,0
434,xsp647,0
435,xr9kcn,0
436,xoc6th,0
437,xh3kad,0
438,xqf9zp,0
439,xv9dm5,0
440,xqnlac,0
441,x6adkl,0
442,y5ro7k,0
443,y1c3n9,0
444,y2a03r,0
445,xkkux1,0
446,xmfu2h,0
447,xy0f0i,0
448,y296v1,0
449,xh3qag,0
450,xnh5kx,0
451,y55ngq,0
452,xk54tx,0
453,x8frbs,0
454,y11x34,0
455,xmv5g3,0
456,xrtpv4,0
457,xr7d2e,0
458,y2gaoh,0
459,y5zir6,0
460,xwcscv,0
461,y4v1vb,0
462,xt7igo,0
463,y2se92,0
464,xmjwi1,0
465,y3gbou,0
466,xw5qdc,0
467,xfao85,0
468,xqh2bn,0
469,y31f2q,0
470,xfqlw4,0
471,xf03g6,0
472,x70q3q,0
473,xqmif4,0
474,y5ojh7,0
475,x6tj6q,0
476,x6sptp,0
477,xtudsy,0
478,xmffzr,0
479,xtbj3c,0
480,xls5ra,0
481,x6lakx,0
482,x9bxxd,0
483,xutoml,0
484,xfk64x,0
485,xc09za,0
486,xla7sw,0
487,x7ba43,0
488,xpha5q,0
489,y589e3,0
490,xnel44,0
491,xsubli,0
492,x6kovq,0
493,xv4a8d,0
494,y2psa6,0
495,x80hzx,0
496,y2qgc7,0
497,xt19hn,0
498,xw9vva,0
499,xb42co,0
500,xmg6c9,0
501,xx8zyp,0
502,xfpruh,0
503,xnc2f1,0
504,y2qb3w,0
505,y1cpr9,0
506,xsxfak,0
507,xl54g6,0
508,xugtur,0
509,xrdwcr,0
510,xcdr0p,0
511,xf2iu9,0
512,xxl5se,0
513,xzajgn,0
514,xippx1,0
515,xkfukv,0
516,xqqiyd,0
517,xy6arr,0
518,xvjfbf,0
519,xidblh,0
520,x856xk,0
521,xxe4ti,0
522,xqjy3r,0
523,xi8f6a,0
524,xyqx9h,0
525,y0amy5,0
526,y2uy11,0
527,x88wfa,0
528,xpmw76,0
529,x6wle1,0
530,xwhebr,0
531,xgic9q,0
532,xww2sn,0
533,xkl6x6,0
534,xq33zb,0
535,xtxon0,0
536,xrqrac,0
537,xvff5i,0
538,xw9y8g,0
539,xrtzhl,0
540,xu8zj3,0
541,xzg80h,0
542,xe4t4x,0
543,xr2khn,0
544,x7wtpb,0
545,xydls2,0
546,xtvqkp,0
547,xfecjc,0
548,x63fdp,0
549,xe8uu5,0
550,xpguw9,0
551,xug2h4,0
552,xz8ad3,0
553,x7kn70,0
554,xxlhnu,0
555,y0ny2v,0
556,xk76qe,0
557,xl0j1o,0
558,y4jgyx,0
559,xh4s5h,0
560,x8ftr1,0
561,xmdcbk,0
562,xkdmqu,0
563,xdu8g0,0
564,x94ie9,0
565,xinrlm,0
566,xwa1e4,0
567,xh0jts,0
568,xyb1z8,0
569,y4g2tu,0
570,xzcjcl,0
571,xz5pht,0
572,xzgcnf,0
573,xscl8d,0
574,xux48s,0
575,y5mkzx,0
576,xpi7jw,0
577,xy2ng5,0
578,xg7h00,0
579,xyom33,0
580,y19qkm,0
581,xo12bd,0
582,y12qzg,0
583,xw1del,0
584,y3vl33,0
585,x6lblf,0
586,xpzye0,0
587,xpb7gw,0
588,x8ehgb,0
589,y17y1l,0
590,xz2sut,0
591,xl22nc,0
592,xwk7pn,0
593,xvheqy,0
594,xkwgv2,0
595,xl4pg2,0
596,xed2se,0
597,xvzqrd,0
598,xp39vm,0
599,xx6r19,0
600,xu883a,0
601,xauw9j,0
602,xo9rxr,0
