,MemeID,CommentScore
0,y2fv0x,"[0.559322033898305, 0.4406779661016949, 0.0]"
1,xz98zh,"[0.5384615384615384, 0.46153846153846156, 0.0]"
2,xrfqao,"[0.4444444444444444, 0.5555555555555556, 0.0]"
3,xzwju3,"[0.8, 0.2, 0.0]"
4,xow2sf,"[1.0, 0.0, 0.0]"
5,y04axl,"[0.6666666666666666, 0.3333333333333333, 0.0]"
6,y5lo66,"[0.7209302325581395, 0.27906976744186046, 0.0]"
7,xsexha,"[0.6, 0.4, 0.0]"
8,y0mgx4,"[0.5652173913043478, 0.43478260869565216, 0.0]"
9,xse9xu,"[0.7, 0.3, 0.0]"
10,xqi4n5,"[0.6633663366336634, 0.33663366336633666, 0.0]"
11,y5ygts,"[0.7083333333333334, 0.2916666666666667, 0.0]"
12,xp0rb8,"[0.5111111111111111, 0.4888888888888889, 0.0]"
13,xw0h77,"[1.0, 0.0, 0.0]"
14,xjkhuz,"[0.6071428571428571, 0.39285714285714285, 0.0]"
15,y3rnko,"[0.6435643564356436, 0.3564356435643564, 0.0]"
16,xl4x7o,"[0.6336633663366337, 0.36633663366336633, 0.0]"
17,xzw82q,"[1.0, 0.0, 0.0]"
18,y4kfox,"[0.6263736263736264, 0.37362637362637363, 0.0]"
19,xtcrga,"[0.5454545454545454, 0.45454545454545453, 0.0]"
20,y0mvbc,"[1.0, 0.0, 0.0]"
21,xsd6c6,"[0.8695652173913043, 0.13043478260869565, 0.0]"
22,xmzbol,"[0.5454545454545454, 0.45454545454545453, 0.0]"
23,y6d3xt,"[0.5, 0.5, 0.0]"
24,y1ah94,"[0.6, 0.4, 0.0]"
25,y54odt,"[0.6216216216216216, 0.3783783783783784, 0.0]"
26,xv21pl,"[1.0, 0.0, 0.0]"
27,xzn47m,"[0.6633663366336634, 0.33663366336633666, 0.0]"
28,xw64a0,"[0.7058823529411765, 0.29411764705882354, 0.0]"
29,y05h4u,"[0.6578947368421053, 0.34210526315789475, 0.0]"
30,xozyg4,"[0.6470588235294118, 0.35294117647058826, 0.0]"
31,y5tdkf,"[0.7777777777777778, 0.2222222222222222, 0.0]"
32,y3ky3i,"[0.8, 0.2, 0.0]"
33,xz8v9k,"[0.375, 0.625, 0.0]"
34,xioh6b,"[0.6, 0.4, 0.0]"
35,xk3shi,"[0.5, 0.5, 0.0]"
36,xno2jp,"[0.4117647058823529, 0.5882352941176471, 0.0]"
37,xojqk7,"[0.684931506849315, 0.3150684931506849, 0.0]"
38,y1ox9r,"[1.0, 0.0, 0.0]"
39,xri3u8,"[0.8823529411764706, 0.11764705882352941, 0.0]"
40,xkpehv,"[0.75, 0.25, 0.0]"
