,MemeID,CommentScore
0,y0ah51,0
1,y52kug,0
2,y5bfgf,0
3,y41iio,0
4,y4zt99,0
5,xx77fb,0
6,y3jmy7,0
7,y32nih,0
8,y47se3,0
9,xvm3su,0
10,xv1ohe,0
11,xxqjfj,0
12,xzkecq,0
13,xwfp3n,0
14,xt1e51,0
15,y23a7e,0
16,xxp2cg,0
17,xv281p,0
18,xuoe1r,0
19,xzegs9,0
20,y61ih2,0
21,y4ymnm,0
22,y1rl24,0
23,y4asbi,0
24,xw7zco,0
25,xuiidt,0
26,y4r572,0
27,xt7tap,0
28,y307gl,0
29,y4ryf2,0
30,xy02nu,0
31,y1es5k,0
32,xwpo0w,0
33,xw8f6n,0
34,xyrabm,0
35,xvq6pb,0
36,y0nh6m,0
37,y2hb48,0
38,xutg4c,0
39,y0l7td,0
40,xyco1q,0
41,y4v5bs,0
42,y2c035,0
43,xurt57,0
44,xu4uwg,0
45,y3bdbn,0
46,xy8lfb,0
47,y3tapr,0
48,xurxdn,0
49,y62bil,0
50,y4cidy,0
51,xwnoov,0
52,xy14w3,0
53,xuhsvj,0
54,xtwzxd,0
55,y3ecpg,0
56,y4cn4v,0
57,xuqcuu,0
58,xu6u3h,0
59,xzyccr,0
60,y3h9xu,0
61,y427ep,0
62,xstrkb,0
63,xxhjdx,0
64,y5zcp7,0
65,xztuzm,0
66,xv6zzk,0
67,xyc1k1,0
68,xuva08,0
69,y058um,0
70,xuojul,0
71,y2zq3s,0
72,xx4m6n,0
73,xu6i0m,0
74,xul5ck,0
75,xt1cj6,0
76,y0ho0h,0
77,xud009,0
78,xzj04e,0
79,y55h9i,0
80,xtjuth,0
81,xvhoeh,0
82,y3409u,0
83,y1eqmb,0
84,xzb63f,0
85,xwaa22,0
86,xwrgpu,0
87,y3vzpb,0
88,xtvt94,0
89,y3p3ab,0
90,y5ldeq,0
91,xvsjps,0
92,y0gx9g,0
93,y01ft0,0
94,y4770e,0
95,y0rbwl,0
96,y0ev17,0
97,y3dqjh,0
98,xzt12x,0
99,xzkg6r,0
100,xz48i2,0
101,y4wylp,0
102,xwu7iy,0
103,xvn16t,0
104,xsybzt,0
105,xzx956,0
106,y59042,0
107,xtqi7z,0
108,xtxrj6,0
109,xwoqnp,0
110,xu70jr,0
111,xv8qqr,0
112,y0msw8,0
113,xt3kfx,0
114,xv018w,0
115,xzl4zb,0
116,xyx5qk,0
117,xzu8ch,0
118,xy1072,0
119,xzk8g8,0
120,xx8nkc,0
121,xzx7os,0
122,xtfjn7,0
123,xtugf6,0
124,xtcna2,0
125,xvhm47,0
126,xvwfgv,0
127,y3hmvf,0
128,y1859k,0
129,y6fiu3,0
130,xxwqvs,0
131,xxzs0f,0
132,y52wvd,0
133,y35esw,0
134,y037fw,0
135,xwdu59,0
136,y4sejl,0
137,y3ygq2,0
