,MemeID,CommentScore
0,htju9o,"[0, 0, 0]"
1,ijudmu,"[0.0, 1.0, 0.0]"
2,snnt0l,"[0, 0, 0]"
3,pkz199,"[0.8333333333333334, 0.16666666666666666, 0.0]"
4,s3o332,"[1.0, 0.0, 0.0]"
5,svt4ci,"[1.0, 0.0, 0.0]"
6,pxk9e0,"[0, 0, 0]"
7,mbq8yu,"[1.0, 0.0, 0.0]"
8,v40uq6,"[0, 0, 0]"
9,n334hy,"[0, 0, 0]"
10,moavc9,"[1.0, 0.0, 0.0]"
11,tx1bv3,"[1.0, 0.0, 0.0]"
12,oa6jbv,"[0.6153846153846154, 0.38461538461538464, 0.0]"
13,hmfhyz,"[0, 0, 0]"
14,edxhyg,"[1.0, 0.0, 0.0]"
15,gy0jbj,"[0, 0, 0]"
16,hrayyz,"[0, 0, 0]"
17,xhivrq,"[1.0, 0.0, 0.0]"
18,bum68i,"[0.8, 0.2, 0.0]"
19,f4k2lh,"[0, 0, 0]"
20,oujbo1,"[0, 0, 0]"
21,n9wbqs,"[1.0, 0.0, 0.0]"
22,q4x8sm,"[1.0, 0.0, 0.0]"
23,r654qv,"[1.0, 0.0, 0.0]"
24,japxwc,"[0.9090909090909091, 0.09090909090909091, 0.0]"
25,s5dygv,"[1.0, 0.0, 0.0]"
26,h7x36s,"[0.5, 0.5, 0.0]"
27,kjq833,"[1.0, 0.0, 0.0]"
28,qk0adh,"[0.7272727272727273, 0.2727272727272727, 0.0]"
29,jcbbol,"[1.0, 0.0, 0.0]"
30,wo1k0f,"[0, 0, 0]"
31,qa5mcg,"[0, 0, 0]"
32,sulp00,"[1.0, 0.0, 0.0]"
33,sf0k84,"[1.0, 0.0, 0.0]"
34,vj8qmv,"[0.5, 0.5, 0.0]"
35,r2kgc3,"[1.0, 0.0, 0.0]"
36,hyhueq,"[1.0, 0.0, 0.0]"
37,c7fwr2,"[1.0, 0.0, 0.0]"
38,msiq7h,"[0.9166666666666666, 0.08333333333333333, 0.0]"
39,ih477s,"[1.0, 0.0, 0.0]"
40,c4oyj0,"[1.0, 0.0, 0.0]"
41,s1z8g6,"[1.0, 0.0, 0.0]"
42,h0op4a,"[0.5, 0.5, 0.0]"
43,o8x1gd,"[0.875, 0.125, 0.0]"
44,qy33ev,"[1.0, 0.0, 0.0]"
45,xuy75x,"[1.0, 0.0, 0.0]"
